# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5854       1621        431         18         18      0.040      0.500      0.785      0.645      0.712 
Train:          1     1.5854       6621       1586         57         84      0.050      0.596      0.803      0.701      0.778 
All:          1     1.5854       8270       1989         78         99      0.047      0.559      0.802      0.683      0.765 
Test:          2     1.4203       1609        443         16         20      0.043      0.556      0.780      0.670      0.746 
Train:          2     1.4203       6630       1577         48         93      0.056      0.660      0.805      0.734      0.812 
All:          2     1.4203       8284       1975         64        113      0.054      0.638      0.805      0.723      0.798 
Test:          3     1.4571       1599        453         13         23      0.048      0.639      0.777      0.709      0.768 
Train:          3     1.4571       6635       1572         43         98      0.059      0.695      0.807      0.752      0.830 
All:          3     1.4571       8290       1969         58        119      0.057      0.672      0.806      0.740      0.818 
Test:          4     1.3723       1624        428         12         24      0.053      0.667      0.789      0.729      0.803 
Train:          4     1.3723       6639       1568         39        102      0.061      0.723      0.807      0.766      0.856 
All:          4     1.3723       8297       1962         51        126      0.060      0.712      0.807      0.760      0.846 
Test:          5     1.2899       1629        423         12         24      0.054      0.667      0.792      0.730      0.815 
Train:          5     1.2899       6638       1569         40        101      0.060      0.716      0.807      0.763      0.840 
All:          5     1.2899       8296       1963         52        125      0.060      0.706      0.807      0.757      0.834 
Test:          6     1.2912       1647        405         20         16      0.038      0.444      0.796      0.624      0.704 
Train:          6     1.2912       6600       1607         78         63      0.038      0.447      0.798      0.626      0.703 
All:          6     1.2912       8250       2009         98         79      0.038      0.446      0.798      0.625      0.703 
Test:          7     1.3299       1638        414         11         25      0.057      0.694      0.796      0.746      0.796 
Train:          7     1.3299       6636       1571         42         99      0.059      0.702      0.807      0.755      0.817 
All:          7     1.3299       8294       1965         54        123      0.059      0.695      0.807      0.752      0.813 
Test:          8     1.2784       1653        399         11         25      0.059      0.694      0.804      0.750      0.835 
Train:          8     1.2784       6643       1564         35        106      0.063      0.752      0.808      0.781      0.865 
All:          8     1.2784       8302       1957         46        131      0.063      0.740      0.808      0.775      0.859 
Test:          9     1.2119       1651        401         11         25      0.059      0.694      0.803      0.750      0.830 
