# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4315       6569       1638        109         32      0.019      0.227      0.791      0.514      0.522 
2     1.3827       6577       1630        101         40      0.024      0.284      0.793      0.543      0.564 
3     1.3235       6624       1583         54         87      0.052      0.617      0.804      0.712      0.783 
4     1.2658       6636       1571         42         99      0.059      0.702      0.807      0.755      0.837 
5     1.2667       6637       1570         41        100      0.060      0.709      0.807      0.759      0.844 
6     1.2824       6637       1570         41        100      0.060      0.709      0.807      0.759      0.846 
7     1.2694       6637       1570         41        100      0.060      0.709      0.807      0.759      0.843 
8     1.2348       6630       1577         48         93      0.056      0.660      0.805      0.734      0.829 
9     1.2227       6622       1585         56         85      0.051      0.603      0.803      0.705      0.800 
10     1.2254       6619       1588         59         82      0.049      0.582      0.803      0.694      0.783 
11     1.2241       6620       1587         58         83      0.050      0.589      0.803      0.698      0.798 
12     1.1981       6628       1579         50         91      0.054      0.645      0.805      0.726      0.821 
13     1.1703       6631       1576         47         94      0.056      0.667      0.806      0.737      0.835 
14     1.1826       6632       1575         46         95      0.057      0.674      0.806      0.741      0.841 
15     1.1688       6632       1575         46         95      0.057      0.674      0.806      0.741      0.841 
16      1.157       6630       1577         48         93      0.056      0.660      0.805      0.734      0.833 
17     1.1403       6630       1577         48         93      0.056      0.660      0.805      0.734      0.817 
18     1.1404       6625       1582         53         88      0.053      0.624      0.804      0.716      0.800 
19     1.1393       6627       1580         51         90      0.054      0.638      0.805      0.723      0.802 
20     1.1107       6630       1577         48         93      0.056      0.660      0.805      0.734      0.814 
21     1.1197       6632       1575         46         95      0.057      0.674      0.806      0.741      0.830 
22     1.1072       6632       1575         46         95      0.057      0.674      0.806      0.741      0.835 
23     1.1116       6633       1574         45         96      0.057      0.681      0.806      0.745      0.832 
24     1.0897       6630       1577         48         93      0.056      0.660      0.805      0.734      0.821 
25      1.094       6629       1578         49         92      0.055      0.652      0.805      0.730      0.809 
26     1.0643       6629       1578         49         92      0.055      0.652      0.805      0.730      0.806 
27     1.0562       6630       1577         48         93      0.056      0.660      0.805      0.734      0.820 
28     1.0553       6633       1574         45         96      0.057      0.681      0.806      0.745      0.829 
29     1.0728       6633       1574         45         96      0.057      0.681      0.806      0.745      0.830 
30     1.0725       6633       1574         45         96      0.057      0.681      0.806      0.745      0.830 
31     1.0488       6633       1574         45         96      0.057      0.681      0.806      0.745      0.828 
32     1.0476       6632       1575         46         95      0.057      0.674      0.806      0.741      0.827 
33     1.0344       6634       1573         44         97      0.058      0.688      0.806      0.748      0.832 
34     1.0511       6634       1573         44         97      0.058      0.688      0.806      0.748      0.833 
35     1.0326       6634       1573         44         97      0.058      0.688      0.806      0.748      0.831 
36      1.031       6636       1571         42         99      0.059      0.702      0.807      0.755      0.837 
37     1.0339       6636       1571         42         99      0.059      0.702      0.807      0.755      0.843 
38     1.0468       6637       1570         41        100      0.060      0.709      0.807      0.759      0.842 
39     1.0362       6634       1573         44         97      0.058      0.688      0.806      0.748      0.832 
40      1.017       6635       1572         43         98      0.059      0.695      0.807      0.752      0.837 
41     1.0158       6638       1569         40        101      0.060      0.716      0.807      0.763      0.844 
42     1.0053       6638       1569         40        101      0.060      0.716      0.807      0.763      0.849 
43     1.0016       6638       1569         40        101      0.060      0.716      0.807      0.763      0.845 
44     1.0209       6637       1570         41        100      0.060      0.709      0.807      0.759      0.838 
45     1.0041       6638       1569         40        101      0.060      0.716      0.807      0.763      0.841 
46     1.0345       6638       1569         40        101      0.060      0.716      0.807      0.763      0.852 
47    0.99548       6639       1568         39        102      0.061      0.723      0.807      0.766      0.851 
48    0.97989       6639       1568         39        102      0.061      0.723      0.807      0.766      0.841 
49     1.0196       6640       1567         38        103      0.062      0.730      0.808      0.770      0.843 
50     1.0005       6640       1567         38        103      0.062      0.730      0.808      0.770      0.853 
51     1.0218       6642       1565         36        105      0.063      0.745      0.808      0.777      0.857 
52     1.0022       6639       1568         39        102      0.061      0.723      0.807      0.766      0.853 
53     0.9996       6640       1567         38        103      0.062      0.730      0.808      0.770      0.846 
54     1.0298       6641       1566         37        104      0.062      0.738      0.808      0.773      0.857 
55    0.99532       6640       1567         38        103      0.062      0.730      0.808      0.770      0.860 
56    0.98958       6640       1567         38        103      0.062      0.730      0.808      0.770      0.856 
57    0.96798       6640       1567         38        103      0.062      0.730      0.808      0.770      0.846 
58     1.0164       6641       1566         37        104      0.062      0.738      0.808      0.773      0.854 
59    0.98304       6642       1565         36        105      0.063      0.745      0.808      0.777      0.863 
60    0.97776       6644       1563         34        107      0.064      0.759      0.809      0.784      0.865 
61    0.98115       6643       1564         35        106      0.063      0.752      0.808      0.781      0.861 
62    0.97854       6641       1566         37        104      0.062      0.738      0.808      0.773      0.850 
63    0.98777       6640       1567         38        103      0.062      0.730      0.808      0.770      0.855 
64    0.99756       6642       1565         36        105      0.063      0.745      0.808      0.777      0.863 
65    0.96476       6644       1563         34        107      0.064      0.759      0.809      0.784      0.866 
66    0.98237       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
67    0.96838       6640       1567         38        103      0.062      0.730      0.808      0.770      0.857 
68    0.95695       6642       1565         36        105      0.063      0.745      0.808      0.777      0.856 
69    0.95191       6641       1566         37        104      0.062      0.738      0.808      0.773      0.861 
70    0.95853       6645       1562         33        108      0.065      0.766      0.809      0.788      0.867 
71    0.94831       6645       1562         33        108      0.065      0.766      0.809      0.788      0.869 
72    0.95682       6645       1562         33        108      0.065      0.766      0.809      0.788      0.867 
73     0.9496       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
74    0.96919       6643       1564         35        106      0.063      0.752      0.808      0.781      0.865 
75    0.92962       6644       1563         34        107      0.064      0.759      0.809      0.784      0.868 
76    0.95275       6647       1560         31        110      0.066      0.780      0.809      0.795      0.869 
77    0.95566       6646       1561         32        109      0.065      0.773      0.809      0.791      0.866 
78    0.94052       6644       1563         34        107      0.064      0.759      0.809      0.784      0.862 
79    0.94812       6646       1561         32        109      0.065      0.773      0.809      0.791      0.864 
80     0.9616       6647       1560         31        110      0.066      0.780      0.809      0.795      0.868 
81    0.92809       6648       1559         30        111      0.066      0.787      0.810      0.799      0.870 
82    0.91673       6648       1559         30        111      0.066      0.787      0.810      0.799      0.871 
83    0.95537       6646       1561         32        109      0.065      0.773      0.809      0.791      0.872 
84    0.93905       6646       1561         32        109      0.065      0.773      0.809      0.791      0.874 
85    0.92933       6646       1561         32        109      0.065      0.773      0.809      0.791      0.874 
86    0.91408       6648       1559         30        111      0.066      0.787      0.810      0.799      0.872 
87    0.95132       6649       1558         29        112      0.067      0.794      0.810      0.802      0.872 
88    0.92997       6648       1559         30        111      0.066      0.787      0.810      0.799      0.873 
89    0.93601       6648       1559         30        111      0.066      0.787      0.810      0.799      0.873 
90    0.95521       6648       1559         30        111      0.066      0.787      0.810      0.799      0.873 
91    0.93594       6648       1559         30        111      0.066      0.787      0.810      0.799      0.872 
92    0.93694       6648       1559         30        111      0.066      0.787      0.810      0.799      0.874 
93      0.925       6647       1560         31        110      0.066      0.780      0.809      0.795      0.878 
94    0.91247       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
95     0.9295       6648       1559         30        111      0.066      0.787      0.810      0.799      0.876 
96    0.93933       6650       1557         28        113      0.068      0.801      0.810      0.806      0.875 
97    0.92058       6648       1559         30        111      0.066      0.787      0.810      0.799      0.878 
98    0.88628       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
99    0.90711       6648       1559         30        111      0.066      0.787      0.810      0.799      0.876 
100    0.93555       6650       1557         28        113      0.068      0.801      0.810      0.806      0.875 
101    0.91976       6649       1558         29        112      0.067      0.794      0.810      0.802      0.875 
102    0.89556       6648       1559         30        111      0.066      0.787      0.810      0.799      0.878 
103    0.90391       6648       1559         30        111      0.066      0.787      0.810      0.799      0.880 
104    0.90144       6649       1558         29        112      0.067      0.794      0.810      0.802      0.879 
105    0.91311       6649       1558         29        112      0.067      0.794      0.810      0.802      0.880 
106    0.90432       6649       1558         29        112      0.067      0.794      0.810      0.802      0.882 
107    0.90493       6648       1559         30        111      0.066      0.787      0.810      0.799      0.882 
108    0.86874       6651       1556         27        114      0.068      0.809      0.810      0.809      0.878 
109    0.91489       6649       1558         29        112      0.067      0.794      0.810      0.802      0.881 
110    0.91505       6649       1558         29        112      0.067      0.794      0.810      0.802      0.883 
111    0.93511       6649       1558         29        112      0.067      0.794      0.810      0.802      0.882 
112    0.87661       6651       1556         27        114      0.068      0.809      0.810      0.809      0.880 
113    0.94205       6648       1559         30        111      0.066      0.787      0.810      0.799      0.884 
114    0.87385       6647       1560         31        110      0.066      0.780      0.809      0.795      0.885 
115     0.9075       6648       1559         30        111      0.066      0.787      0.810      0.799      0.884 
116     0.8796       6649       1558         29        112      0.067      0.794      0.810      0.802      0.883 
117    0.90011       6648       1559         30        111      0.066      0.787      0.810      0.799      0.884 
118    0.88033       6649       1558         29        112      0.067      0.794      0.810      0.802      0.885 
119    0.90709       6650       1557         28        113      0.068      0.801      0.810      0.806      0.885 
120    0.90539       6650       1557         28        113      0.068      0.801      0.810      0.806      0.885 
121    0.89023       6650       1557         28        113      0.068      0.801      0.810      0.806      0.885 
122    0.86882       6651       1556         27        114      0.068      0.809      0.810      0.809      0.884 
123    0.87922       6651       1556         27        114      0.068      0.809      0.810      0.809      0.885 
124    0.88437       6651       1556         27        114      0.068      0.809      0.810      0.809      0.887 
125     0.9236       6649       1558         29        112      0.067      0.794      0.810      0.802      0.888 
126    0.92967       6649       1558         29        112      0.067      0.794      0.810      0.802      0.887 
127    0.86805       6650       1557         28        113      0.068      0.801      0.810      0.806      0.883 
128    0.87598       6649       1558         29        112      0.067      0.794      0.810      0.802      0.887 
129    0.89553       6649       1558         29        112      0.067      0.794      0.810      0.802      0.889 
130    0.91298       6650       1557         28        113      0.068      0.801      0.810      0.806      0.887 
131    0.88749       6652       1555         26        115      0.069      0.816      0.811      0.813      0.882 
132     0.9073       6652       1555         26        115      0.069      0.816      0.811      0.813      0.884 
133    0.88849       6650       1557         28        113      0.068      0.801      0.810      0.806      0.890 
134    0.87605       6653       1554         25        116      0.069      0.823      0.811      0.817      0.890 
135    0.90807       6650       1557         28        113      0.068      0.801      0.810      0.806      0.888 
136    0.86963       6653       1554         25        116      0.069      0.823      0.811      0.817      0.883 
137    0.93084       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
138    0.89432       6650       1557         28        113      0.068      0.801      0.810      0.806      0.889 
139    0.91954       6650       1557         28        113      0.068      0.801      0.810      0.806      0.888 
140    0.89563       6651       1556         27        114      0.068      0.809      0.810      0.809      0.884 
141    0.89265       6652       1555         26        115      0.069      0.816      0.811      0.813      0.886 
142     0.8751       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
143    0.86078       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
144    0.89956       6652       1555         26        115      0.069      0.816      0.811      0.813      0.888 
145    0.89899       6650       1557         28        113      0.068      0.801      0.810      0.806      0.888 
146    0.86318       6651       1556         27        114      0.068      0.809      0.810      0.809      0.890 
147    0.87967       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
148    0.88762       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
149    0.88417       6650       1557         28        113      0.068      0.801      0.810      0.806      0.889 
150    0.86824       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
151    0.85857       6652       1555         26        115      0.069      0.816      0.811      0.813      0.890 
152     0.8511       6651       1556         27        114      0.068      0.809      0.810      0.809      0.891 
153      0.877       6654       1553         24        117      0.070      0.830      0.811      0.820      0.891 
154    0.87428       6651       1556         27        114      0.068      0.809      0.810      0.809      0.890 
155    0.85792       6653       1554         25        116      0.069      0.823      0.811      0.817      0.891 
156    0.86779       6652       1555         26        115      0.069      0.816      0.811      0.813      0.892 
157    0.87701       6651       1556         27        114      0.068      0.809      0.810      0.809      0.890 
158    0.83115       6651       1556         27        114      0.068      0.809      0.810      0.809      0.883 
159    0.91264       6650       1557         28        113      0.068      0.801      0.810      0.806      0.888 
160    0.88045       6650       1557         28        113      0.068      0.801      0.810      0.806      0.893 
161    0.90602       6653       1554         25        116      0.069      0.823      0.811      0.817      0.893 
162    0.85982       6653       1554         25        116      0.069      0.823      0.811      0.817      0.888 
163    0.89045       6653       1554         25        116      0.069      0.823      0.811      0.817      0.890 
164    0.87575       6653       1554         25        116      0.069      0.823      0.811      0.817      0.894 
165     0.9025       6653       1554         25        116      0.069      0.823      0.811      0.817      0.895 
166    0.86055       6652       1555         26        115      0.069      0.816      0.811      0.813      0.892 
167    0.86509       6652       1555         26        115      0.069      0.816      0.811      0.813      0.889 
168     0.8525       6651       1556         27        114      0.068      0.809      0.810      0.809      0.892 
169    0.83923       6651       1556         27        114      0.068      0.809      0.810      0.809      0.893 
170    0.86686       6651       1556         27        114      0.068      0.809      0.810      0.809      0.894 
171    0.83281       6652       1555         26        115      0.069      0.816      0.811      0.813      0.891 
172    0.86056       6651       1556         27        114      0.068      0.809      0.810      0.809      0.889 
173    0.91894       6652       1555         26        115      0.069      0.816      0.811      0.813      0.893 
174    0.87358       6650       1557         28        113      0.068      0.801      0.810      0.806      0.895 
175    0.88322       6651       1556         27        114      0.068      0.809      0.810      0.809      0.893 
176     0.8626       6652       1555         26        115      0.069      0.816      0.811      0.813      0.888 
177    0.90499       6652       1555         26        115      0.069      0.816      0.811      0.813      0.891 
