# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3079       8266       1993         82         95      0.045      0.537      0.801      0.671      0.756 
2      1.272       8265       1994         83         94      0.045      0.531      0.801      0.668      0.775 
3     1.2241       8278       1981         70        107      0.051      0.605      0.803      0.706      0.796 
4     1.1921       8280       1979         68        109      0.052      0.616      0.804      0.711      0.802 
5     1.1737       8283       1976         65        112      0.054      0.633      0.804      0.720      0.809 
6     1.1689       8284       1975         64        113      0.054      0.638      0.805      0.723      0.813 
7     1.1475       8286       1973         62        115      0.055      0.650      0.805      0.729      0.812 
8     1.1193       8290       1969         58        119      0.057      0.672      0.806      0.740      0.820 
9     1.0953       8293       1966         55        122      0.058      0.689      0.806      0.749      0.824 
10     1.1088       8290       1969         58        119      0.057      0.672      0.806      0.740      0.828 
11      1.082       8294       1965         54        123      0.059      0.695      0.807      0.752      0.831 
12     1.0707       8293       1966         55        122      0.058      0.689      0.806      0.749      0.831 
13     1.0403       8295       1964         53        124      0.059      0.701      0.807      0.755      0.836 
14     1.0457       8287       1972         61        116      0.056      0.655      0.805      0.732      0.833 
15     1.0866       8287       1972         61        116      0.056      0.655      0.805      0.732      0.832 
16     1.0212       8287       1972         61        116      0.056      0.655      0.805      0.732      0.833 
17     1.0424       8288       1971         60        117      0.056      0.661      0.805      0.734      0.838 
18     1.0282       8288       1971         60        117      0.056      0.661      0.805      0.734      0.837 
19    0.98226       8287       1972         61        116      0.056      0.655      0.805      0.732      0.832 
20     1.0047       8290       1969         58        119      0.057      0.672      0.806      0.740      0.840 
21       1.02       8289       1970         59        118      0.057      0.667      0.806      0.737      0.840 
22     1.0128       8289       1970         59        118      0.057      0.667      0.806      0.737      0.841 
23     1.0176       8289       1970         59        118      0.057      0.667      0.806      0.737      0.842 
24     1.0058       8292       1967         56        121      0.058      0.684      0.806      0.746      0.846 
25     1.0015       8292       1967         56        121      0.058      0.684      0.806      0.746      0.848 
26    0.99498       8292       1967         56        121      0.058      0.684      0.806      0.746      0.847 
27    0.99769       8296       1963         52        125      0.060      0.706      0.807      0.757      0.846 
28    0.98189       8299       1960         49        128      0.061      0.723      0.807      0.766      0.846 
29    0.98725       8299       1960         49        128      0.061      0.723      0.807      0.766      0.847 
30     1.0176       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
31    0.97529       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
32    0.96983       8300       1959         48        129      0.062      0.729      0.808      0.769      0.843 
33    0.96719       8301       1958         47        130      0.062      0.734      0.808      0.772      0.845 
34    0.96112       8298       1961         50        127      0.061      0.718      0.807      0.763      0.843 
35     0.9613       8300       1959         48        129      0.062      0.729      0.808      0.769      0.844 
36    0.95899       8297       1962         51        126      0.060      0.712      0.807      0.760      0.847 
37    0.94891       8297       1962         51        126      0.060      0.712      0.807      0.760      0.845 
38     0.9537       8300       1959         48        129      0.062      0.729      0.808      0.769      0.851 
39    0.98489       8300       1959         48        129      0.062      0.729      0.808      0.769      0.850 
40    0.94017       8301       1958         47        130      0.062      0.734      0.808      0.772      0.853 
41    0.95378       8301       1958         47        130      0.062      0.734      0.808      0.772      0.855 
42    0.94063       8302       1957         46        131      0.063      0.740      0.808      0.775      0.856 
43    0.92062       8301       1958         47        130      0.062      0.734      0.808      0.772      0.850 
44    0.90874       8297       1962         51        126      0.060      0.712      0.807      0.760      0.846 
45    0.95665       8306       1953         42        135      0.065      0.763      0.809      0.786      0.845 
46    0.93102       8298       1961         50        127      0.061      0.718      0.807      0.763      0.843 
47    0.92492       8298       1961         50        127      0.061      0.718      0.807      0.763      0.832 
48    0.92351       8299       1960         49        128      0.061      0.723      0.807      0.766      0.815 
49    0.95322       8299       1960         49        128      0.061      0.723      0.807      0.766      0.827 
50      0.932       8295       1964         53        124      0.059      0.701      0.807      0.755      0.842 
51    0.95099       8305       1954         43        134      0.064      0.757      0.809      0.783      0.855 
52     0.9138       8302       1957         46        131      0.063      0.740      0.808      0.775      0.851 
53    0.93173       8302       1957         46        131      0.063      0.740      0.808      0.775      0.864 
54    0.90399       8302       1957         46        131      0.063      0.740      0.808      0.775      0.868 
55    0.90459       8304       1955         44        133      0.064      0.751      0.808      0.780      0.867 
56    0.91106       8305       1954         43        134      0.064      0.757      0.809      0.783      0.868 
57      0.907       8306       1953         42        135      0.065      0.763      0.809      0.786      0.870 
58    0.91832       8306       1953         42        135      0.065      0.763      0.809      0.786      0.871 
