# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3412       6615       1592         63         78      0.047      0.553      0.802      0.680      0.772 
2     1.2944       6615       1592         63         78      0.047      0.553      0.802      0.680      0.781 
3     1.2772       6615       1592         63         78      0.047      0.553      0.802      0.680      0.787 
4     1.2491       6615       1592         63         78      0.047      0.553      0.802      0.680      0.796 
5     1.2194       6619       1588         59         82      0.049      0.582      0.803      0.694      0.803 
6      1.193       6625       1582         53         88      0.053      0.624      0.804      0.716      0.808 
7     1.1458       6629       1578         49         92      0.055      0.652      0.805      0.730      0.814 
8     1.1604       6628       1579         50         91      0.054      0.645      0.805      0.726      0.819 
9     1.1243       6630       1577         48         93      0.056      0.660      0.805      0.734      0.821 
10     1.0992       6630       1577         48         93      0.056      0.660      0.805      0.734      0.822 
11     1.1004       6632       1575         46         95      0.057      0.674      0.806      0.741      0.823 
12     1.0801       6632       1575         46         95      0.057      0.674      0.806      0.741      0.825 
13     1.0897       6632       1575         46         95      0.057      0.674      0.806      0.741      0.827 
14      1.048       6632       1575         46         95      0.057      0.674      0.806      0.741      0.831 
15     1.0621       6632       1575         46         95      0.057      0.674      0.806      0.741      0.834 
16      1.041       6633       1574         45         96      0.057      0.681      0.806      0.745      0.831 
17     1.0372       6635       1572         43         98      0.059      0.695      0.807      0.752      0.836 
18     1.0478       6633       1574         45         96      0.057      0.681      0.806      0.745      0.838 
19       1.03       6634       1573         44         97      0.058      0.688      0.806      0.748      0.840 
20    0.99791       6634       1573         44         97      0.058      0.688      0.806      0.748      0.842 
21     1.0277       6633       1574         45         96      0.057      0.681      0.806      0.745      0.845 
22     1.0141       6633       1574         45         96      0.057      0.681      0.806      0.745      0.844 
23     1.0082       6634       1573         44         97      0.058      0.688      0.806      0.748      0.850 
24     1.0072       6634       1573         44         97      0.058      0.688      0.806      0.748      0.853 
25     0.9847       6633       1574         45         96      0.057      0.681      0.806      0.745      0.854 
26    0.95673       6634       1573         44         97      0.058      0.688      0.806      0.748      0.855 
27    0.98303       6634       1573         44         97      0.058      0.688      0.806      0.748      0.856 
28    0.98799       6636       1571         42         99      0.059      0.702      0.807      0.755      0.833 
29    0.99446       6636       1571         42         99      0.059      0.702      0.807      0.755      0.858 
30    0.98955       6635       1572         43         98      0.059      0.695      0.807      0.752      0.857 
31     1.0166       6635       1572         43         98      0.059      0.695      0.807      0.752      0.855 
32    0.98382       6637       1570         41        100      0.060      0.709      0.807      0.759      0.834 
33    0.99531       6636       1571         42         99      0.059      0.702      0.807      0.755      0.828 
34    0.98472       6637       1570         41        100      0.060      0.709      0.807      0.759      0.840 
35     0.9527       6634       1573         44         97      0.058      0.688      0.806      0.748      0.856 
36     0.9541       6636       1571         42         99      0.059      0.702      0.807      0.755      0.858 
37    0.96188       6636       1571         42         99      0.059      0.702      0.807      0.755      0.858 
38    0.96283       6637       1570         41        100      0.060      0.709      0.807      0.759      0.858 
39    0.96825       6638       1569         40        101      0.060      0.716      0.807      0.763      0.855 
40    0.96528       6637       1570         41        100      0.060      0.709      0.807      0.759      0.863 
41    0.96444       6635       1572         43         98      0.059      0.695      0.807      0.752      0.862 
42    0.95839       6637       1570         41        100      0.060      0.709      0.807      0.759      0.863 
43    0.96643       6636       1571         42         99      0.059      0.702      0.807      0.755      0.864 
44     0.9487       6635       1572         43         98      0.059      0.695      0.807      0.752      0.863 
45    0.96308       6637       1570         41        100      0.060      0.709      0.807      0.759      0.866 
46    0.94566       6638       1569         40        101      0.060      0.716      0.807      0.763      0.867 
47    0.95408       6638       1569         40        101      0.060      0.716      0.807      0.763      0.868 
48    0.93559       6639       1568         39        102      0.061      0.723      0.807      0.766      0.867 
49     0.9167       6637       1570         41        100      0.060      0.709      0.807      0.759      0.864 
50    0.90672       6640       1567         38        103      0.062      0.730      0.808      0.770      0.868 
51    0.95881       6640       1567         38        103      0.062      0.730      0.808      0.770      0.870 
52    0.93137       6641       1566         37        104      0.062      0.738      0.808      0.773      0.865 
53    0.91293       6639       1568         39        102      0.061      0.723      0.807      0.766      0.865 
54    0.94045       6643       1564         35        106      0.063      0.752      0.808      0.781      0.872 
55    0.94571       6641       1566         37        104      0.062      0.738      0.808      0.773      0.872 
56    0.92304       6637       1570         41        100      0.060      0.709      0.807      0.759      0.871 
57    0.92689       6639       1568         39        102      0.061      0.723      0.807      0.766      0.870 
58    0.91672       6643       1564         35        106      0.063      0.752      0.808      0.781      0.867 
59    0.91668       6644       1563         34        107      0.064      0.759      0.809      0.784      0.871 
60    0.91611       6643       1564         35        106      0.063      0.752      0.808      0.781      0.874 
61    0.91187       6643       1564         35        106      0.063      0.752      0.808      0.781      0.873 
62     0.8791       6643       1564         35        106      0.063      0.752      0.808      0.781      0.874 
63    0.89689       6643       1564         35        106      0.063      0.752      0.808      0.781      0.876 
64    0.89563       6642       1565         36        105      0.063      0.745      0.808      0.777      0.875 
65    0.88818       6641       1566         37        104      0.062      0.738      0.808      0.773      0.868 
66    0.92951       6641       1566         37        104      0.062      0.738      0.808      0.773      0.871 
67    0.89181       6643       1564         35        106      0.063      0.752      0.808      0.781      0.878 
68    0.87963       6644       1563         34        107      0.064      0.759      0.809      0.784      0.881 
69    0.87793       6642       1565         36        105      0.063      0.745      0.808      0.777      0.878 
70    0.87244       6641       1566         37        104      0.062      0.738      0.808      0.773      0.875 
71    0.86081       6641       1566         37        104      0.062      0.738      0.808      0.773      0.876 
72    0.88257       6643       1564         35        106      0.063      0.752      0.808      0.781      0.880 
73    0.86759       6644       1563         34        107      0.064      0.759      0.809      0.784      0.882 
74    0.90835       6643       1564         35        106      0.063      0.752      0.808      0.781      0.883 
75    0.85613       6643       1564         35        106      0.063      0.752      0.808      0.781      0.882 
76    0.88117       6643       1564         35        106      0.063      0.752      0.808      0.781      0.881 
77    0.86708       6644       1563         34        107      0.064      0.759      0.809      0.784      0.884 
78    0.88299       6649       1558         29        112      0.067      0.794      0.810      0.802      0.885 
79    0.89696       6642       1565         36        105      0.063      0.745      0.808      0.777      0.881 
80     0.8732       6643       1564         35        106      0.063      0.752      0.808      0.781      0.880 
81    0.87426       6644       1563         34        107      0.064      0.759      0.809      0.784      0.878 
82    0.88567       6644       1563         34        107      0.064      0.759      0.809      0.784      0.883 
83    0.87392       6647       1560         31        110      0.066      0.780      0.809      0.795      0.884 
84     0.8524       6647       1560         31        110      0.066      0.780      0.809      0.795      0.883 
85    0.86655       6645       1562         33        108      0.065      0.766      0.809      0.788      0.881 
86    0.87951       6646       1561         32        109      0.065      0.773      0.809      0.791      0.884 
87    0.85432       6648       1559         30        111      0.066      0.787      0.810      0.799      0.887 
88    0.84667       6646       1561         32        109      0.065      0.773      0.809      0.791      0.886 
89    0.86353       6647       1560         31        110      0.066      0.780      0.809      0.795      0.885 
90    0.84174       6645       1562         33        108      0.065      0.766      0.809      0.788      0.882 
91    0.84844       6647       1560         31        110      0.066      0.780      0.809      0.795      0.886 
92    0.84046       6647       1560         31        110      0.066      0.780      0.809      0.795      0.886 
93    0.84599       6647       1560         31        110      0.066      0.780      0.809      0.795      0.888 
94    0.83487       6648       1559         30        111      0.066      0.787      0.810      0.799      0.888 
95    0.83593       6647       1560         31        110      0.066      0.780      0.809      0.795      0.885 
96    0.84711       6642       1565         36        105      0.063      0.745      0.808      0.777      0.873 
97    0.87949       6641       1566         37        104      0.062      0.738      0.808      0.773      0.855 
98    0.86992       6644       1563         34        107      0.064      0.759      0.809      0.784      0.885 
99    0.87459       6645       1562         33        108      0.065      0.766      0.809      0.788      0.887 
100    0.87727       6645       1562         33        108      0.065      0.766      0.809      0.788      0.890 
101    0.84603       6647       1560         31        110      0.066      0.780      0.809      0.795      0.889 
102    0.87837       6649       1558         29        112      0.067      0.794      0.810      0.802      0.891 
103    0.83561       6647       1560         31        110      0.066      0.780      0.809      0.795      0.887 
104    0.85611       6652       1555         26        115      0.069      0.816      0.811      0.813      0.894 
105    0.83639       6655       1552         23        118      0.071      0.837      0.811      0.824      0.892 
106    0.85594       6650       1557         28        113      0.068      0.801      0.810      0.806      0.887 
107    0.83266       6649       1558         29        112      0.067      0.794      0.810      0.802      0.888 
108    0.83375       6646       1561         32        109      0.065      0.773      0.809      0.791      0.887 
109    0.84792       6649       1558         29        112      0.067      0.794      0.810      0.802      0.894 
110    0.84973       6649       1558         29        112      0.067      0.794      0.810      0.802      0.895 
111    0.84095       6651       1556         27        114      0.068      0.809      0.810      0.809      0.896 
112    0.84871       6651       1556         27        114      0.068      0.809      0.810      0.809      0.896 
113    0.81092       6654       1553         24        117      0.070      0.830      0.811      0.820      0.895 
114    0.83665       6649       1558         29        112      0.067      0.794      0.810      0.802      0.885 
115    0.83961       6653       1554         25        116      0.069      0.823      0.811      0.817      0.896 
116    0.85254       6648       1559         30        111      0.066      0.787      0.810      0.799      0.894 
117    0.85381       6650       1557         28        113      0.068      0.801      0.810      0.806      0.889 
118    0.83432       6650       1557         28        113      0.068      0.801      0.810      0.806      0.889 
119    0.82002       6650       1557         28        113      0.068      0.801      0.810      0.806      0.894 
120    0.84024       6654       1553         24        117      0.070      0.830      0.811      0.820      0.899 
121    0.82061       6654       1553         24        117      0.070      0.830      0.811      0.820      0.900 
122    0.84345       6652       1555         26        115      0.069      0.816      0.811      0.813      0.897 
123    0.80226       6651       1556         27        114      0.068      0.809      0.810      0.809      0.896 
124    0.83264       6654       1553         24        117      0.070      0.830      0.811      0.820      0.900 
125    0.82645       6654       1553         24        117      0.070      0.830      0.811      0.820      0.903 
126     0.8096       6656       1551         22        119      0.071      0.844      0.812      0.827      0.904 
127    0.82229       6654       1553         24        117      0.070      0.830      0.811      0.820      0.903 
128    0.78628       6654       1553         24        117      0.070      0.830      0.811      0.820      0.899 
129    0.80809       6653       1554         25        116      0.069      0.823      0.811      0.817      0.896 
130    0.81677       6653       1554         25        116      0.069      0.823      0.811      0.817      0.899 
131    0.81453       6655       1552         23        118      0.071      0.837      0.811      0.824      0.903 
132    0.79384       6655       1552         23        118      0.071      0.837      0.811      0.824      0.903 
133    0.79091       6654       1553         24        117      0.070      0.830      0.811      0.820      0.901 
134    0.80033       6652       1555         26        115      0.069      0.816      0.811      0.813      0.899 
135      0.824       6654       1553         24        117      0.070      0.830      0.811      0.820      0.896 
136    0.82465       6656       1551         22        119      0.071      0.844      0.812      0.827      0.903 
137    0.78632       6658       1549         20        121      0.072      0.858      0.812      0.835      0.904 
138    0.83758       6656       1551         22        119      0.071      0.844      0.812      0.827      0.900 
139    0.78803       6654       1553         24        117      0.070      0.830      0.811      0.820      0.896 
140    0.80389       6650       1557         28        113      0.068      0.801      0.810      0.806      0.896 
141    0.84798       6657       1550         21        120      0.072      0.851      0.812      0.831      0.906 
142    0.82872       6650       1557         28        113      0.068      0.801      0.810      0.806      0.893 
143    0.85512       6653       1554         25        116      0.069      0.823      0.811      0.817      0.903 
144    0.81041       6653       1554         25        116      0.069      0.823      0.811      0.817      0.899 
145    0.81237       6650       1557         28        113      0.068      0.801      0.810      0.806      0.895 
146    0.84313       6650       1557         28        113      0.068      0.801      0.810      0.806      0.895 
147    0.82498       6648       1559         30        111      0.066      0.787      0.810      0.799      0.889 
148    0.81993       6648       1559         30        111      0.066      0.787      0.810      0.799      0.891 
149     0.8064       6652       1555         26        115      0.069      0.816      0.811      0.813      0.900 
150    0.84491       6656       1551         22        119      0.071      0.844      0.812      0.827      0.906 
151    0.80635       6653       1554         25        116      0.069      0.823      0.811      0.817      0.901 
152    0.81175       6650       1557         28        113      0.068      0.801      0.810      0.806      0.896 
153    0.80844       6650       1557         28        113      0.068      0.801      0.810      0.806      0.897 
154    0.82304       6655       1552         23        118      0.071      0.837      0.811      0.824      0.906 
155    0.78848       6652       1555         26        115      0.069      0.816      0.811      0.813      0.900 
156    0.76829       6650       1557         28        113      0.068      0.801      0.810      0.806      0.893 
157    0.82213       6651       1556         27        114      0.068      0.809      0.810      0.809      0.892 
158    0.78517       6654       1553         24        117      0.070      0.830      0.811      0.820      0.907 
159    0.78495       6652       1555         26        115      0.069      0.816      0.811      0.813      0.903 
160    0.78357       6649       1558         29        112      0.067      0.794      0.810      0.802      0.903 
