# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3267       1630        422         14         22      0.050      0.611      0.791      0.703      0.782 
Train:          1     1.3267       6613       1594         65         76      0.046      0.539      0.801      0.672      0.764 
All:          1     1.3267       8267       1992         81         96      0.046      0.542      0.801      0.674      0.768 
Test:          2     1.2417       1626        426         14         22      0.049      0.611      0.789      0.702      0.790 
Train:          2     1.2417       6614       1593         64         77      0.046      0.546      0.802      0.676      0.779 
All:          2     1.2417       8266       1993         82         95      0.045      0.537      0.801      0.671      0.781 
Test:          3     1.2107       1652        400         12         24      0.057      0.667      0.803      0.736      0.795 
Train:          3     1.2107       6620       1587         58         83      0.050      0.589      0.803      0.698      0.786 
All:          3     1.2107       8277       1982         71        106      0.051      0.599      0.803      0.703      0.788 
Test:          4     1.1877       1651        401         12         24      0.056      0.667      0.802      0.736      0.798 
Train:          4     1.1877       6619       1588         59         82      0.049      0.582      0.803      0.694      0.790 
All:          4     1.1877       8277       1982         71        106      0.051      0.599      0.803      0.703      0.792 
Test:          5     1.1801       1650        402         12         24      0.056      0.667      0.802      0.735      0.802 
Train:          5     1.1801       6619       1588         59         82      0.049      0.582      0.803      0.694      0.793 
All:          5     1.1801       8275       1984         73        104      0.050      0.588      0.803      0.697      0.795 
Test:          6     1.1831       1650        402         13         23      0.054      0.639      0.801      0.721      0.805 
Train:          6     1.1831       6619       1588         59         82      0.049      0.582      0.803      0.694      0.796 
All:          6     1.1831       8275       1984         73        104      0.050      0.588      0.803      0.697      0.798 
Test:          7     1.1382       1649        403         12         24      0.056      0.667      0.801      0.735      0.810 
Train:          7     1.1382       6621       1586         57         84      0.050      0.596      0.803      0.701      0.800 
All:          7     1.1382       8279       1980         69        108      0.052      0.610      0.804      0.709      0.802 
Test:          8     1.1423       1647        405         12         24      0.056      0.667      0.800      0.735      0.815 
Train:          8     1.1423       6622       1585         56         85      0.051      0.603      0.803      0.705      0.804 
All:          8     1.1423       8280       1979         68        109      0.052      0.616      0.804      0.711      0.806 
Test:          9     1.1365       1650        402         12         24      0.056      0.667      0.802      0.735      0.825 
Train:          9     1.1365       6627       1580         51         90      0.054      0.638      0.805      0.723      0.811 
All:          9     1.1365       8284       1975         64        113      0.054      0.638      0.805      0.723      0.814 
Test:         10     1.1246       1648        404         11         25      0.058      0.694      0.801      0.749      0.832 
Train:         10     1.1246       6625       1582         53         88      0.053      0.624      0.804      0.716      0.815 
All:         10     1.1246       8284       1975         64        113      0.054      0.638      0.805      0.723      0.818 
Test:         11     1.0773       1657        395         11         25      0.060      0.694      0.806      0.751      0.836 
Train:         11     1.0773       6625       1582         53         88      0.053      0.624      0.804      0.716      0.820 
All:         11     1.0773       8284       1975         64        113      0.054      0.638      0.805      0.723      0.823 
Test:         12     1.1077       1667        385         10         26      0.063      0.722      0.811      0.767      0.835 
Train:         12     1.1077       6628       1579         50         91      0.054      0.645      0.805      0.726      0.823 
All:         12     1.1077       8289       1970         59        118      0.057      0.667      0.806      0.737      0.825 
Test:         13     1.0944       1653        399         10         26      0.061      0.722      0.804      0.764      0.833 
Train:         13     1.0944       6628       1579         50         91      0.054      0.645      0.805      0.726      0.825 
All:         13     1.0944       8288       1971         60        117      0.056      0.661      0.805      0.734      0.826 
Test:         14     1.0817       1648        404         10         26      0.060      0.722      0.802      0.763      0.833 
Train:         14     1.0817       6627       1580         51         90      0.054      0.638      0.805      0.723      0.827 
All:         14     1.0817       8287       1972         61        116      0.056      0.655      0.805      0.732      0.828 
Test:         15     1.0491       1653        399         10         26      0.061      0.722      0.804      0.764      0.833 
Train:         15     1.0491       6625       1582         53         88      0.053      0.624      0.804      0.716      0.828 
All:         15     1.0491       8284       1975         64        113      0.054      0.638      0.805      0.723      0.829 
Test:         16     1.0454       1651        401         10         26      0.061      0.722      0.803      0.763      0.833 
Train:         16     1.0454       6628       1579         50         91      0.054      0.645      0.805      0.726      0.829 
All:         16     1.0454       8288       1971         60        117      0.056      0.661      0.805      0.734      0.830 
Test:         17     1.0548       1647        405          9         27      0.062      0.750      0.802      0.776      0.831 
Train:         17     1.0548       6628       1579         50         91      0.054      0.645      0.805      0.726      0.830 
All:         17     1.0548       8289       1970         59        118      0.057      0.667      0.806      0.737      0.830 
Test:         18     1.0088       1652        400         10         26      0.061      0.722      0.804      0.764      0.831 
Train:         18     1.0088       6629       1578         49         92      0.055      0.652      0.805      0.730      0.831 
All:         18     1.0088       8289       1970         59        118      0.057      0.667      0.806      0.737      0.831 
Test:         19     1.0246       1651        401         11         25      0.059      0.694      0.803      0.750      0.830 
Train:         19     1.0246       6628       1579         50         91      0.054      0.645      0.805      0.726      0.832 
All:         19     1.0246       8287       1972         61        116      0.056      0.655      0.805      0.732      0.831 
Test:         20     1.0409       1652        400         10         26      0.061      0.722      0.804      0.764      0.829 
Train:         20     1.0409       6630       1577         48         93      0.056      0.660      0.805      0.734      0.832 
All:         20     1.0409       8289       1970         59        118      0.057      0.667      0.806      0.737      0.831 
Test:         21     1.0178       1655        397         10         26      0.061      0.722      0.805      0.764      0.828 
Train:         21     1.0178       6632       1575         46         95      0.057      0.674      0.806      0.741      0.833 
All:         21     1.0178       8291       1968         57        120      0.057      0.678      0.806      0.743      0.831 
Test:         22      1.018       1649        403         11         25      0.058      0.694      0.802      0.749      0.829 
Train:         22      1.018       6632       1575         46         95      0.057      0.674      0.806      0.741      0.833 
All:         22      1.018       8290       1969         58        119      0.057      0.672      0.806      0.740      0.832 
Test:         23     1.0297       1651        401         11         25      0.059      0.694      0.803      0.750      0.831 
Train:         23     1.0297       6631       1576         47         94      0.056      0.667      0.806      0.737      0.835 
All:         23     1.0297       8289       1970         59        118      0.057      0.667      0.806      0.737      0.834 
Test:         24     1.0103       1657        395         10         26      0.062      0.722      0.806      0.765      0.835 
Train:         24     1.0103       6630       1577         48         93      0.056      0.660      0.805      0.734      0.836 
All:         24     1.0103       8290       1969         58        119      0.057      0.672      0.806      0.740      0.836 
Test:         25     0.9904       1653        399         10         26      0.061      0.722      0.804      0.764      0.839 
Train:         25     0.9904       6630       1577         48         93      0.056      0.660      0.805      0.734      0.839 
All:         25     0.9904       8290       1969         58        119      0.057      0.672      0.806      0.740      0.838 
Test:         26    0.98519       1645        407         10         26      0.060      0.722      0.800      0.762      0.840 
Train:         26    0.98519       6629       1578         49         92      0.055      0.652      0.805      0.730      0.841 
All:         26    0.98519       8289       1970         59        118      0.057      0.667      0.806      0.737      0.840 
Test:         27    0.97293       1658        394         12         24      0.057      0.667      0.806      0.737      0.837 
Train:         27    0.97293       6629       1578         49         92      0.055      0.652      0.805      0.730      0.843 
All:         27    0.97293       8287       1972         61        116      0.056      0.655      0.805      0.732      0.842 
Test:         28    0.98595       1656        396         11         25      0.059      0.694      0.805      0.751      0.829 
Train:         28    0.98595       6632       1575         46         95      0.057      0.674      0.806      0.741      0.844 
All:         28    0.98595       8290       1969         58        119      0.057      0.672      0.806      0.740      0.841 
Test:         29     0.9878       1653        399         12         24      0.057      0.667      0.803      0.736      0.826 
Train:         29     0.9878       6632       1575         46         95      0.057      0.674      0.806      0.741      0.846 
All:         29     0.9878       8290       1969         58        119      0.057      0.672      0.806      0.740      0.842 
Test:         30    0.96187       1651        401         12         24      0.056      0.667      0.802      0.736      0.826 
Train:         30    0.96187       6632       1575         46         95      0.057      0.674      0.806      0.741      0.848 
All:         30    0.96187       8290       1969         58        119      0.057      0.672      0.806      0.740      0.843 
Test:         31    0.97825       1658        394         11         25      0.060      0.694      0.806      0.751      0.805 
Train:         31    0.97825       6632       1575         46         95      0.057      0.674      0.806      0.741      0.845 
All:         31    0.97825       8291       1968         57        120      0.057      0.678      0.806      0.743      0.837 
Test:         32    0.97857       1663        389         12         24      0.058      0.667      0.808      0.739      0.794 
Train:         32    0.97857       6633       1574         45         96      0.057      0.681      0.806      0.745      0.844 
All:         32    0.97857       8291       1968         57        120      0.057      0.678      0.806      0.743      0.833 
Test:         33    0.96067       1668        384         12         24      0.059      0.667      0.810      0.740      0.783 
Train:         33    0.96067       6631       1576         47         94      0.056      0.667      0.806      0.737      0.840 
All:         33    0.96067       8289       1970         59        118      0.057      0.667      0.806      0.737      0.828 
Test:         34    0.95633       1651        401         10         26      0.061      0.722      0.803      0.763      0.837 
Train:         34    0.95633       6634       1573         44         97      0.058      0.688      0.806      0.748      0.853 
All:         34    0.95633       8294       1965         54        123      0.059      0.695      0.807      0.752      0.850 
Test:         35    0.98933       1653        399         10         26      0.061      0.722      0.804      0.764      0.841 
Train:         35    0.98933       6637       1570         41        100      0.060      0.709      0.807      0.759      0.855 
