# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     2.6365       6555       1652        123         18      0.011      0.128      0.787      0.463      0.401 
2     3.4506       6642       1565         36        105      0.063      0.745      0.808      0.777      0.830 
3     1.2528       6650       1557         28        113      0.068      0.801      0.810      0.806      0.868 
4     1.6965       6654       1553         24        117      0.070      0.830      0.811      0.820      0.874 
5     1.5966       6651       1556         27        114      0.068      0.809      0.810      0.809      0.860 
6     1.2535       6645       1562         33        108      0.065      0.766      0.809      0.788      0.833 
7     1.1541       6637       1570         41        100      0.060      0.709      0.807      0.759      0.814 
8     1.2398       6643       1564         35        106      0.063      0.752      0.808      0.781      0.820 
9     1.1577       6644       1563         34        107      0.064      0.759      0.809      0.784      0.831 
10     1.0488       6648       1559         30        111      0.066      0.787      0.810      0.799      0.849 
11    0.98091       6648       1559         30        111      0.066      0.787      0.810      0.799      0.860 
12    0.94901       6649       1558         29        112      0.067      0.794      0.810      0.802      0.864 
13    0.99648       6648       1559         30        111      0.066      0.787      0.810      0.799      0.865 
14    0.99447       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
15     1.0106       6647       1560         31        110      0.066      0.780      0.809      0.795      0.865 
16    0.99153       6648       1559         30        111      0.066      0.787      0.810      0.799      0.866 
17    0.96113       6647       1560         31        110      0.066      0.780      0.809      0.795      0.868 
18    0.94537       6649       1558         29        112      0.067      0.794      0.810      0.802      0.869 
19    0.93415       6650       1557         28        113      0.068      0.801      0.810      0.806      0.873 
20    0.93902       6652       1555         26        115      0.069      0.816      0.811      0.813      0.875 
21    0.92613       6652       1555         26        115      0.069      0.816      0.811      0.813      0.879 
22     0.9209       6652       1555         26        115      0.069      0.816      0.811      0.813      0.884 
23    0.88186       6653       1554         25        116      0.069      0.823      0.811      0.817      0.889 
24    0.85815       6654       1553         24        117      0.070      0.830      0.811      0.820      0.892 
25    0.91488       6653       1554         25        116      0.069      0.823      0.811      0.817      0.895 
26    0.90005       6654       1553         24        117      0.070      0.830      0.811      0.820      0.898 
27     0.8661       6654       1553         24        117      0.070      0.830      0.811      0.820      0.900 
28    0.84908       6654       1553         24        117      0.070      0.830      0.811      0.820      0.901 
29     0.8502       6656       1551         22        119      0.071      0.844      0.812      0.827      0.902 
30     0.8372       6656       1551         22        119      0.071      0.844      0.812      0.827      0.903 
31    0.86489       6656       1551         22        119      0.071      0.844      0.812      0.827      0.904 
32    0.80682       6657       1550         21        120      0.072      0.851      0.812      0.831      0.905 
33    0.84887       6658       1549         20        121      0.072      0.858      0.812      0.835      0.906 
34    0.80999       6658       1549         20        121      0.072      0.858      0.812      0.835      0.908 
35    0.84262       6658       1549         20        121      0.072      0.858      0.812      0.835      0.909 
36    0.80283       6658       1549         20        121      0.072      0.858      0.812      0.835      0.910 
37    0.78123       6658       1549         20        121      0.072      0.858      0.812      0.835      0.911 
38    0.81297       6658       1549         20        121      0.072      0.858      0.812      0.835      0.913 
39    0.80155       6658       1549         20        121      0.072      0.858      0.812      0.835      0.914 
40     0.7622       6658       1549         20        121      0.072      0.858      0.812      0.835      0.915 
41     0.7566       6659       1548         19        122      0.073      0.865      0.812      0.838      0.915 
42    0.76076       6659       1548         19        122      0.073      0.865      0.812      0.838      0.916 
43    0.76698       6660       1547         18        123      0.074      0.872      0.813      0.842      0.916 
44    0.76507       6660       1547         18        123      0.074      0.872      0.813      0.842      0.918 
45    0.74513       6660       1547         18        123      0.074      0.872      0.813      0.842      0.918 
46    0.74455       6660       1547         18        123      0.074      0.872      0.813      0.842      0.919 
47    0.74903       6660       1547         18        123      0.074      0.872      0.813      0.842      0.920 
48    0.79695       6660       1547         18        123      0.074      0.872      0.813      0.842      0.920 
49    0.73982       6660       1547         18        123      0.074      0.872      0.813      0.842      0.920 
50    0.76898       6660       1547         18        123      0.074      0.872      0.813      0.842      0.921 
51    0.76527       6659       1548         19        122      0.073      0.865      0.812      0.838      0.921 
52     0.7443       6659       1548         19        122      0.073      0.865      0.812      0.838      0.922 
53    0.75553       6660       1547         18        123      0.074      0.872      0.813      0.842      0.923 
54    0.73443       6661       1546         17        124      0.074      0.879      0.813      0.846      0.923 
55    0.73922       6661       1546         17        124      0.074      0.879      0.813      0.846      0.923 
56    0.74897       6662       1545         16        125      0.075      0.887      0.813      0.849      0.923 
57     0.7313       6663       1544         15        126      0.075      0.894      0.813      0.853      0.924 
58    0.75685       6663       1544         15        126      0.075      0.894      0.813      0.853      0.925 
59    0.76944       6662       1545         16        125      0.075      0.887      0.813      0.849      0.927 
60    0.75735       6662       1545         16        125      0.075      0.887      0.813      0.849      0.927 
61    0.76611       6663       1544         15        126      0.075      0.894      0.813      0.853      0.928 
62    0.76333       6662       1545         16        125      0.075      0.887      0.813      0.849      0.928 
63    0.74441       6663       1544         15        126      0.075      0.894      0.813      0.853      0.929 
64    0.73347       6663       1544         15        126      0.075      0.894      0.813      0.853      0.929 
65    0.70792       6663       1544         15        126      0.075      0.894      0.813      0.853      0.929 
66    0.72646       6662       1545         16        125      0.075      0.887      0.813      0.849      0.928 
67    0.73442       6662       1545         16        125      0.075      0.887      0.813      0.849      0.929 
68    0.70803       6661       1546         17        124      0.074      0.879      0.813      0.846      0.930 
69    0.73137       6662       1545         16        125      0.075      0.887      0.813      0.849      0.931 
70    0.70576       6662       1545         16        125      0.075      0.887      0.813      0.849      0.931 
71    0.70225       6661       1546         17        124      0.074      0.879      0.813      0.846      0.931 
72     0.7145       6662       1545         16        125      0.075      0.887      0.813      0.849      0.931 
73    0.72536       6662       1545         16        125      0.075      0.887      0.813      0.849      0.931 
74    0.67825       6661       1546         17        124      0.074      0.879      0.813      0.846      0.932 
75    0.73732       6662       1545         16        125      0.075      0.887      0.813      0.849      0.933 
76    0.71158       6663       1544         15        126      0.075      0.894      0.813      0.853      0.933 
77    0.74677       6664       1543         14        127      0.076      0.901      0.813      0.856      0.934 
78    0.72513       6664       1543         14        127      0.076      0.901      0.813      0.856      0.935 
79    0.67825       6664       1543         14        127      0.076      0.901      0.813      0.856      0.935 
80    0.68643       6664       1543         14        127      0.076      0.901      0.813      0.856      0.936 
81    0.68143       6664       1543         14        127      0.076      0.901      0.813      0.856      0.937 
82    0.70238       6665       1542         13        128      0.077      0.908      0.814      0.860      0.937 
83    0.68787       6665       1542         13        128      0.077      0.908      0.814      0.860      0.938 
84    0.67721       6665       1542         13        128      0.077      0.908      0.814      0.860      0.938 
85    0.68847       6665       1542         13        128      0.077      0.908      0.814      0.860      0.938 
86    0.71804       6665       1542         13        128      0.077      0.908      0.814      0.860      0.938 
87    0.70062       6665       1542         13        128      0.077      0.908      0.814      0.860      0.938 
88    0.68663       6665       1542         13        128      0.077      0.908      0.814      0.860      0.939 
89     0.6656       6665       1542         13        128      0.077      0.908      0.814      0.860      0.939 
90    0.66723       6665       1542         13        128      0.077      0.908      0.814      0.860      0.940 
91    0.68964       6665       1542         13        128      0.077      0.908      0.814      0.860      0.941 
92    0.70649       6665       1542         13        128      0.077      0.908      0.814      0.860      0.941 
93    0.66744       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
94    0.70503       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
95    0.67363       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
96    0.66775       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
97    0.70381       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
98    0.68796       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
99    0.65077       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
100    0.65312       6665       1542         13        128      0.077      0.908      0.814      0.860      0.942 
101    0.65015       6665       1542         13        128      0.077      0.908      0.814      0.860      0.943 
102    0.63595       6666       1541         12        129      0.077      0.915      0.814      0.864      0.944 
103    0.63518       6668       1539         10        131      0.078      0.929      0.814      0.871      0.945 
104    0.66713       6668       1539         10        131      0.078      0.929      0.814      0.871      0.946 
105    0.66769       6667       1540         11        130      0.078      0.922      0.814      0.867      0.946 
