# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7195       8301       1958         47        130      0.062      0.734      0.808      0.772      0.852 
2     1.6162       8307       1952         41        136      0.065      0.768      0.809      0.789      0.847 
3     1.3064       8300       1959         48        129      0.062      0.729      0.808      0.769      0.804 
4     1.1391       8296       1963         52        125      0.060      0.706      0.807      0.757      0.805 
5     1.1293       8296       1963         52        125      0.060      0.706      0.807      0.757      0.820 
6     1.0631       8301       1958         47        130      0.062      0.734      0.808      0.772      0.832 
7    0.98871       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
8    0.96011       8306       1953         42        135      0.065      0.763      0.809      0.786      0.851 
9    0.96575       8308       1951         40        137      0.066      0.774      0.809      0.792      0.857 
10    0.95104       8310       1949         38        139      0.067      0.785      0.810      0.798      0.862 
11    0.93808       8309       1950         39        138      0.066      0.780      0.809      0.795      0.864 
12    0.92195       8309       1950         39        138      0.066      0.780      0.809      0.795      0.865 
13    0.90108       8309       1950         39        138      0.066      0.780      0.809      0.795      0.866 
14    0.93372       8311       1948         37        140      0.067      0.791      0.810      0.801      0.868 
15    0.90016       8311       1948         37        140      0.067      0.791      0.810      0.801      0.871 
16    0.88361       8313       1946         35        142      0.068      0.802      0.810      0.806      0.875 
17     0.8727       8315       1944         33        144      0.069      0.814      0.811      0.812      0.879 
18    0.87947       8314       1945         34        143      0.068      0.808      0.810      0.809      0.882 
19    0.83865       8315       1944         33        144      0.069      0.814      0.811      0.812      0.884 
20    0.86368       8315       1944         33        144      0.069      0.814      0.811      0.812      0.886 
21    0.84267       8315       1944         33        144      0.069      0.814      0.811      0.812      0.889 
22    0.82737       8315       1944         33        144      0.069      0.814      0.811      0.812      0.893 
23    0.79001       8317       1942         31        146      0.070      0.825      0.811      0.818      0.896 
24    0.80737       8317       1942         31        146      0.070      0.825      0.811      0.818      0.899 
25    0.80082       8317       1942         31        146      0.070      0.825      0.811      0.818      0.902 
26    0.77152       8319       1940         29        148      0.071      0.836      0.811      0.824      0.904 
