# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.7195       1651        401         11         25      0.059      0.694      0.803      0.750      0.838 
Train:          1     1.7195       6642       1565         36        105      0.063      0.745      0.808      0.777      0.855 
All:          1     1.7195       8301       1958         47        130      0.062      0.734      0.808      0.772      0.852 
Test:          2     1.6162       1672        380          9         27      0.066      0.750      0.814      0.782      0.831 
Train:          2     1.6162       6646       1561         32        109      0.065      0.773      0.809      0.791      0.851 
All:          2     1.6162       8307       1952         41        136      0.065      0.768      0.809      0.789      0.847 
Test:          3     1.3064       1681        371         13         23      0.058      0.639      0.816      0.729      0.777 
Train:          3     1.3064       6643       1564         35        106      0.063      0.752      0.808      0.781      0.812 
All:          3     1.3064       8300       1959         48        129      0.062      0.729      0.808      0.769      0.804 
Test:          4     1.1391       1683        369         14         22      0.056      0.611      0.817      0.716      0.779 
Train:          4     1.1391       6640       1567         38        103      0.062      0.730      0.808      0.770      0.812 
All:          4     1.1391       8296       1963         52        125      0.060      0.706      0.807      0.757      0.805 
Test:          5     1.1293       1674        378         11         25      0.062      0.694      0.814      0.755      0.798 
Train:          5     1.1293       6637       1570         41        100      0.060      0.709      0.807      0.759      0.826 
All:          5     1.1293       8296       1963         52        125      0.060      0.706      0.807      0.757      0.820 
Test:          6     1.0631       1686        366         11         25      0.064      0.694      0.819      0.758      0.813 
Train:          6     1.0631       6642       1565         36        105      0.063      0.745      0.808      0.777      0.837 
All:          6     1.0631       8301       1958         47        130      0.062      0.734      0.808      0.772      0.832 
Test:          7    0.98871       1692        360         11         25      0.065      0.694      0.822      0.760      0.825 
Train:          7    0.98871       6641       1566         37        104      0.062      0.738      0.808      0.773      0.847 
All:          7    0.98871       8300       1959         48        129      0.062      0.729      0.808      0.769      0.842 
Test:          8    0.96011       1697        355         10         26      0.068      0.722      0.825      0.775      0.834 
Train:          8    0.96011       6646       1561         32        109      0.065      0.773      0.809      0.791      0.856 
All:          8    0.96011       8306       1953         42        135      0.065      0.763      0.809      0.786      0.851 
Test:          9    0.96575       1690        362         10         26      0.067      0.722      0.822      0.773      0.839 
Train:          9    0.96575       6648       1559         30        111      0.066      0.787      0.810      0.799      0.862 
All:          9    0.96575       8308       1951         40        137      0.066      0.774      0.809      0.792      0.857 
Test:         10    0.95104       1690        362         10         26      0.067      0.722      0.822      0.773      0.843 
Train:         10    0.95104       6649       1558         29        112      0.067      0.794      0.810      0.802      0.867 
All:         10    0.95104       8310       1949         38        139      0.067      0.785      0.810      0.798      0.862 
Test:         11    0.93808       1682        370         10         26      0.066      0.722      0.818      0.771      0.845 
Train:         11    0.93808       6649       1558         29        112      0.067      0.794      0.810      0.802      0.869 
All:         11    0.93808       8309       1950         39        138      0.066      0.780      0.809      0.795      0.864 
Test:         12    0.92195       1681        371          9         27      0.068      0.750      0.818      0.785      0.846 
Train:         12    0.92195       6648       1559         30        111      0.066      0.787      0.810      0.799      0.870 
All:         12    0.92195       8309       1950         39        138      0.066      0.780      0.809      0.795      0.865 
Test:         13    0.90108       1685        367          9         27      0.069      0.750      0.820      0.786      0.846 
Train:         13    0.90108       6647       1560         31        110      0.066      0.780      0.809      0.795      0.871 
All:         13    0.90108       8309       1950         39        138      0.066      0.780      0.809      0.795      0.866 
Test:         14    0.93372       1681        371          9         27      0.068      0.750      0.818      0.785      0.847 
Train:         14    0.93372       6649       1558         29        112      0.067      0.794      0.810      0.802      0.873 
All:         14    0.93372       8311       1948         37        140      0.067      0.791      0.810      0.801      0.868 
Test:         15    0.90016       1678        374          9         27      0.067      0.750      0.817      0.784      0.847 
Train:         15    0.90016       6650       1557         28        113      0.068      0.801      0.810      0.806      0.878 
All:         15    0.90016       8311       1948         37        140      0.067      0.791      0.810      0.801      0.871 
Test:         16    0.88361       1678        374          9         27      0.067      0.750      0.817      0.784      0.848 
Train:         16    0.88361       6652       1555         26        115      0.069      0.816      0.811      0.813      0.882 
All:         16    0.88361       8313       1946         35        142      0.068      0.802      0.810      0.806      0.875 
Test:         17     0.8727       1672        380          9         27      0.066      0.750      0.814      0.782      0.850 
Train:         17     0.8727       6654       1553         24        117      0.070      0.830      0.811      0.820      0.886 
All:         17     0.8727       8315       1944         33        144      0.069      0.814      0.811      0.812      0.879 
Test:         18    0.87947       1663        389          9         27      0.065      0.750      0.809      0.780      0.851 
Train:         18    0.87947       6653       1554         25        116      0.069      0.823      0.811      0.817      0.890 
All:         18    0.87947       8314       1945         34        143      0.068      0.808      0.810      0.809      0.882 
Test:         19    0.83865       1663        389          9         27      0.065      0.750      0.809      0.780      0.852 
Train:         19    0.83865       6654       1553         24        117      0.070      0.830      0.811      0.820      0.892 
All:         19    0.83865       8315       1944         33        144      0.069      0.814      0.811      0.812      0.884 
Test:         20    0.86368       1669        383          9         27      0.066      0.750      0.812      0.782      0.855 
Train:         20    0.86368       6654       1553         24        117      0.070      0.830      0.811      0.820      0.895 
