# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4411       8255       2004         93         84      0.040      0.475      0.799      0.640      0.670 
2     1.3634       8296       1963         52        125      0.060      0.706      0.807      0.757      0.838 
3     1.3118       8295       1964         53        124      0.059      0.701      0.807      0.755      0.841 
4     1.2937       8296       1963         52        125      0.060      0.706      0.807      0.757      0.842 
5      1.266       8295       1964         53        124      0.059      0.701      0.807      0.755      0.842 
6     1.2355       8293       1966         55        122      0.058      0.689      0.806      0.749      0.838 
7      1.214       8294       1965         54        123      0.059      0.695      0.807      0.752      0.833 
8     1.1874       8294       1965         54        123      0.059      0.695      0.807      0.752      0.831 
9     1.1563       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
10      1.121       8301       1958         47        130      0.062      0.734      0.808      0.772      0.837 
11     1.0974       8301       1958         47        130      0.062      0.734      0.808      0.772      0.837 
12     1.0605       8298       1961         50        127      0.061      0.718      0.807      0.763      0.836 
13     1.0426       8299       1960         49        128      0.061      0.723      0.807      0.766      0.835 
14     1.0158       8301       1958         47        130      0.062      0.734      0.808      0.772      0.839 
15     1.0011       8301       1958         47        130      0.062      0.734      0.808      0.772      0.844 
16    0.98314       8300       1959         48        129      0.062      0.729      0.808      0.769      0.845 
17    0.95654       8299       1960         49        128      0.061      0.723      0.807      0.766      0.844 
18    0.93969       8299       1960         49        128      0.061      0.723      0.807      0.766      0.849 
19    0.92751       8301       1958         47        130      0.062      0.734      0.808      0.772      0.852 
20    0.96485       8301       1958         47        130      0.062      0.734      0.808      0.772      0.853 
21     0.9334       8300       1959         48        129      0.062      0.729      0.808      0.769      0.855 
22    0.93878       8300       1959         48        129      0.062      0.729      0.808      0.769      0.856 
23    0.91034       8299       1960         49        128      0.061      0.723      0.807      0.766      0.857 
24    0.90385       8301       1958         47        130      0.062      0.734      0.808      0.772      0.858 
25    0.91117       8301       1958         47        130      0.062      0.734      0.808      0.772      0.858 
26    0.91469       8303       1956         45        132      0.063      0.746      0.808      0.778      0.859 
27     0.9003       8304       1955         44        133      0.064      0.751      0.808      0.780      0.860 
28    0.94676       8302       1957         46        131      0.063      0.740      0.808      0.775      0.859 
29    0.89827       8302       1957         46        131      0.063      0.740      0.808      0.775      0.859 
30    0.90357       8302       1957         46        131      0.063      0.740      0.808      0.775      0.859 
31    0.92047       8302       1957         46        131      0.063      0.740      0.808      0.775      0.860 
32    0.89558       8303       1956         45        132      0.063      0.746      0.808      0.778      0.860 
33    0.89663       8304       1955         44        133      0.064      0.751      0.808      0.780      0.859 
34    0.87126       8305       1954         43        134      0.064      0.757      0.809      0.783      0.860 
35    0.87753       8305       1954         43        134      0.064      0.757      0.809      0.783      0.861 
36    0.89233       8305       1954         43        134      0.064      0.757      0.809      0.783      0.861 
37    0.88701       8305       1954         43        134      0.064      0.757      0.809      0.783      0.861 
38    0.89443       8304       1955         44        133      0.064      0.751      0.808      0.780      0.861 
39     0.8736       8304       1955         44        133      0.064      0.751      0.808      0.780      0.862 
40      0.884       8303       1956         45        132      0.063      0.746      0.808      0.778      0.862 
41    0.88469       8302       1957         46        131      0.063      0.740      0.808      0.775      0.862 
42    0.88497       8303       1956         45        132      0.063      0.746      0.808      0.778      0.861 
43    0.87244       8304       1955         44        133      0.064      0.751      0.808      0.780      0.862 
44    0.89001       8305       1954         43        134      0.064      0.757      0.809      0.783      0.862 
45    0.90863       8304       1955         44        133      0.064      0.751      0.808      0.780      0.862 
46    0.87705       8304       1955         44        133      0.064      0.751      0.808      0.780      0.862 
47    0.87398       8304       1955         44        133      0.064      0.751      0.808      0.780      0.863 
48    0.88743       8305       1954         43        134      0.064      0.757      0.809      0.783      0.863 
49    0.88151       8305       1954         43        134      0.064      0.757      0.809      0.783      0.864 
50    0.89494       8306       1953         42        135      0.065      0.763      0.809      0.786      0.864 
51    0.91386       8303       1956         45        132      0.063      0.746      0.808      0.778      0.865 
52    0.88246       8306       1953         42        135      0.065      0.763      0.809      0.786      0.865 
53    0.85905       8307       1952         41        136      0.065      0.768      0.809      0.789      0.865 
54    0.86245       8307       1952         41        136      0.065      0.768      0.809      0.789      0.866 
55    0.87445       8307       1952         41        136      0.065      0.768      0.809      0.789      0.866 
56    0.87304       8306       1953         42        135      0.065      0.763      0.809      0.786      0.866 
57    0.84638       8306       1953         42        135      0.065      0.763      0.809      0.786      0.866 
58    0.90001       8306       1953         41        136      0.065      0.768      0.809      0.789      0.866 
59    0.86819       8307       1952         41        136      0.065      0.768      0.809      0.789      0.867 
60    0.83208       8307       1952         41        136      0.065      0.768      0.809      0.789      0.867 
61    0.87214       8307       1952         41        136      0.065      0.768      0.809      0.789      0.867 
62    0.86921       8308       1951         40        137      0.066      0.774      0.809      0.792      0.867 
63    0.91063       8308       1951         40        137      0.066      0.774      0.809      0.792      0.868 
64    0.87474       8307       1952         41        136      0.065      0.768      0.809      0.789      0.868 
65    0.87035       8306       1953         42        135      0.065      0.763      0.809      0.786      0.868 
66    0.87018       8304       1955         44        133      0.064      0.751      0.808      0.780      0.868 
67    0.85983       8304       1955         44        133      0.064      0.751      0.808      0.780      0.868 
68    0.86666       8307       1952         41        136      0.065      0.768      0.809      0.789      0.869 
69    0.87882       8308       1951         40        137      0.066      0.774      0.809      0.792      0.869 
70    0.86971       8308       1951         40        137      0.066      0.774      0.809      0.792      0.869 
71     0.8708       8308       1951         40        137      0.066      0.774      0.809      0.792      0.869 
72    0.85673       8308       1951         40        137      0.066      0.774      0.809      0.792      0.870 
73    0.86868       8307       1952         41        136      0.065      0.768      0.809      0.789      0.870 
74    0.89859       8304       1955         44        133      0.064      0.751      0.808      0.780      0.869 
75    0.84722       8304       1955         44        133      0.064      0.751      0.808      0.780      0.869 
76    0.83993       8305       1954         43        134      0.064      0.757      0.809      0.783      0.870 
77    0.86226       8307       1952         41        136      0.065      0.768      0.809      0.789      0.870 
78    0.87626       8308       1951         40        137      0.066      0.774      0.809      0.792      0.870 
79    0.85334       8309       1950         39        138      0.066      0.780      0.809      0.795      0.871 
80    0.86335       8309       1950         39        138      0.066      0.780      0.809      0.795      0.871 
81    0.86359       8309       1950         39        138      0.066      0.780      0.809      0.795      0.871 
82    0.87297       8307       1952         41        136      0.065      0.768      0.809      0.789      0.871 
83    0.85525       8305       1954         43        134      0.064      0.757      0.809      0.783      0.871 
84    0.86951       8304       1955         44        133      0.064      0.751      0.808      0.780      0.871 
85    0.81848       8305       1954         43        134      0.064      0.757      0.809      0.783      0.872 
86    0.84405       8307       1952         41        136      0.065      0.768      0.809      0.789      0.872 
87     0.8539       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
88    0.84328       8308       1951         40        137      0.066      0.774      0.809      0.792      0.872 
89    0.84201       8308       1951         40        137      0.066      0.774      0.809      0.792      0.873 
90    0.86113       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
91     0.8648       8308       1951         40        137      0.066      0.774      0.809      0.792      0.873 
92    0.84933       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
93    0.86196       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
94    0.83691       8310       1949         38        139      0.067      0.785      0.810      0.798      0.874 
95    0.83974       8313       1946         35        142      0.068      0.802      0.810      0.806      0.875 
96    0.88453       8313       1946         35        142      0.068      0.802      0.810      0.806      0.875 
97    0.83859       8314       1945         34        143      0.068      0.808      0.810      0.809      0.875 
98    0.87848       8312       1947         36        141      0.068      0.797      0.810      0.803      0.875 
99    0.89236       8310       1949         38        139      0.067      0.785      0.810      0.798      0.875 
100    0.86348       8308       1951         40        137      0.066      0.774      0.809      0.792      0.874 
101    0.85448       8307       1952         41        136      0.065      0.768      0.809      0.789      0.874 
102    0.86943       8307       1952         41        136      0.065      0.768      0.809      0.789      0.874 
103    0.85402       8311       1948         37        140      0.067      0.791      0.810      0.801      0.875 
104    0.83408       8315       1944         33        144      0.069      0.814      0.811      0.812      0.876 
105    0.86288       8314       1945         34        143      0.068      0.808      0.810      0.809      0.876 
106    0.85833       8314       1945         34        143      0.068      0.808      0.810      0.809      0.876 
107    0.84365       8315       1944         33        144      0.069      0.814      0.811      0.812      0.876 
108    0.85507       8310       1949         38        139      0.067      0.785      0.810      0.798      0.875 
109    0.84954       8305       1954         43        134      0.064      0.757      0.809      0.783      0.873 
110    0.83089       8307       1952         41        136      0.065      0.768      0.809      0.789      0.874 
111    0.83826       8310       1949         38        139      0.067      0.785      0.810      0.798      0.875 
112    0.85255       8314       1945         34        143      0.068      0.808      0.810      0.809      0.877 
113    0.82918       8314       1945         34        143      0.068      0.808      0.810      0.809      0.877 
114    0.87033       8314       1945         34        143      0.068      0.808      0.810      0.809      0.877 
115    0.84731       8315       1944         33        144      0.069      0.814      0.811      0.812      0.877 
116     0.8707       8313       1946         35        142      0.068      0.802      0.810      0.806      0.877 
117    0.84601       8310       1949         38        139      0.067      0.785      0.810      0.798      0.876 
118    0.83989       8306       1953         42        135      0.065      0.763      0.809      0.786      0.875 
119    0.86465       8306       1953         42        135      0.065      0.763      0.809      0.786      0.875 
120    0.82825       8309       1950         39        138      0.066      0.780      0.809      0.795      0.876 
121    0.83018       8316       1943         32        145      0.069      0.819      0.811      0.815      0.878 
122     0.8427       8313       1946         35        142      0.068      0.802      0.810      0.806      0.878 
123    0.85035       8314       1945         34        143      0.068      0.808      0.810      0.809      0.878 
124    0.80979       8314       1945         34        143      0.068      0.808      0.810      0.809      0.878 
125    0.84576       8315       1944         33        144      0.069      0.814      0.811      0.812      0.878 
126    0.83822       8314       1945         34        143      0.068      0.808      0.810      0.809      0.878 
127    0.84607       8308       1951         40        137      0.066      0.774      0.809      0.792      0.877 
128    0.83305       8306       1953         42        135      0.065      0.763      0.809      0.786      0.876 
129    0.87914       8309       1950         39        138      0.066      0.780      0.809      0.795      0.877 
130    0.83916       8311       1948         37        140      0.067      0.791      0.810      0.801      0.878 
131    0.85291       8313       1946         35        142      0.068      0.802      0.810      0.806      0.878 
132    0.84287       8314       1945         34        143      0.068      0.808      0.810      0.809      0.879 
133    0.84694       8313       1946         35        142      0.068      0.802      0.810      0.806      0.879 
134    0.85385       8313       1946         35        142      0.068      0.802      0.810      0.806      0.879 
135    0.85375       8313       1946         35        142      0.068      0.802      0.810      0.806      0.878 
136     0.8318       8310       1949         38        139      0.067      0.785      0.810      0.798      0.877 
137    0.85261       8311       1948         37        140      0.067      0.791      0.810      0.801      0.877 
138    0.83288       8312       1947         36        141      0.068      0.797      0.810      0.803      0.878 
139     0.8356       8311       1948         37        140      0.067      0.791      0.810      0.801      0.879 
140    0.84979       8312       1947         36        141      0.068      0.797      0.810      0.803      0.880 
141    0.83709       8313       1946         35        142      0.068      0.802      0.810      0.806      0.880 
142    0.82639       8314       1945         34        143      0.068      0.808      0.810      0.809      0.880 
143    0.84696       8314       1945         34        143      0.068      0.808      0.810      0.809      0.881 
144    0.81499       8313       1946         35        142      0.068      0.802      0.810      0.806      0.881 
145    0.84923       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
146    0.84208       8312       1947         36        141      0.068      0.797      0.810      0.803      0.880 
147    0.82049       8312       1947         36        141      0.068      0.797      0.810      0.803      0.879 
148    0.84092       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
149    0.86066       8313       1946         35        142      0.068      0.802      0.810      0.806      0.882 
150    0.81377       8311       1948         37        140      0.067      0.791      0.810      0.801      0.882 
151    0.82433       8314       1945         34        143      0.068      0.808      0.810      0.809      0.882 
152     0.8447       8314       1945         34        143      0.068      0.808      0.810      0.809      0.882 
153    0.85448       8314       1945         34        143      0.068      0.808      0.810      0.809      0.881 
154    0.81393       8314       1945         34        143      0.068      0.808      0.810      0.809      0.881 
155    0.84897       8314       1945         34        143      0.068      0.808      0.810      0.809      0.880 
156     0.8268       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
157    0.82056       8313       1946         35        142      0.068      0.802      0.810      0.806      0.881 
158    0.84981       8313       1946         35        142      0.068      0.802      0.810      0.806      0.881 
159    0.84372       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
160    0.83253       8313       1946         35        142      0.068      0.802      0.810      0.806      0.882 
161    0.83608       8315       1944         33        144      0.069      0.814      0.811      0.812      0.882 
162    0.83271       8313       1946         35        142      0.068      0.802      0.810      0.806      0.881 
163    0.81434       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
164    0.83383       8312       1947         36        141      0.068      0.797      0.810      0.803      0.881 
165    0.85261       8313       1946         35        142      0.068      0.802      0.810      0.806      0.882 
166    0.83242       8313       1946         35        142      0.068      0.802      0.810      0.806      0.883 
167    0.83197       8313       1946         35        142      0.068      0.802      0.810      0.806      0.883 
168    0.81213       8313       1946         35        142      0.068      0.802      0.810      0.806      0.882 
169    0.83039       8312       1947         36        141      0.068      0.797      0.810      0.803      0.882 
170    0.84377       8312       1947         36        141      0.068      0.797      0.810      0.803      0.882 
171    0.84072       8312       1947         36        141      0.068      0.797      0.810      0.803      0.882 
172    0.85454       8309       1950         39        138      0.066      0.780      0.809      0.795      0.883 
173    0.84406       8312       1947         36        141      0.068      0.797      0.810      0.803      0.883 
174    0.84293       8312       1947         36        141      0.068      0.797      0.810      0.803      0.883 
175    0.83485       8313       1946         35        142      0.068      0.802      0.810      0.806      0.884 
176    0.85528       8313       1946         35        142      0.068      0.802      0.810      0.806      0.884 
