# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4997       6561       1646        117         24      0.014      0.170      0.789      0.485      0.402 
2     1.3834       6621       1586         57         84      0.050      0.596      0.803      0.701      0.787 
3     1.3308       6623       1584         55         86      0.051      0.610      0.804      0.708      0.813 
4     1.3237       6628       1579         50         91      0.054      0.645      0.805      0.726      0.821 
5     1.3177       6628       1579         50         91      0.054      0.645      0.805      0.726      0.826 
6     1.2945       6629       1578         49         92      0.055      0.652      0.805      0.730      0.830 
7     1.2712       6632       1575         46         95      0.057      0.674      0.806      0.741      0.834 
8     1.2483       6635       1572         43         98      0.059      0.695      0.807      0.752      0.837 
9     1.2378       6635       1572         43         98      0.059      0.695      0.807      0.752      0.838 
10     1.2127       6635       1572         43         98      0.059      0.695      0.807      0.752      0.840 
11     1.2056       6636       1571         42         99      0.059      0.702      0.807      0.755      0.842 
12      1.169       6635       1572         43         98      0.059      0.695      0.807      0.752      0.844 
13     1.1406       6637       1570         41        100      0.060      0.709      0.807      0.759      0.845 
14     1.1303       6636       1571         42         99      0.059      0.702      0.807      0.755      0.846 
15     1.0989       6636       1571         42         99      0.059      0.702      0.807      0.755      0.847 
16     1.0749       6637       1570         41        100      0.060      0.709      0.807      0.759      0.846 
17     1.0589       6638       1569         40        101      0.060      0.716      0.807      0.763      0.848 
18     1.0366       6639       1568         39        102      0.061      0.723      0.807      0.766      0.850 
19    0.99483       6639       1568         39        102      0.061      0.723      0.807      0.766      0.852 
20    0.99288       6640       1567         38        103      0.062      0.730      0.808      0.770      0.853 
21    0.98204       6640       1567         38        103      0.062      0.730      0.808      0.770      0.853 
22    0.96929       6639       1568         39        102      0.061      0.723      0.807      0.766      0.855 
23    0.97271       6640       1567         38        103      0.062      0.730      0.808      0.770      0.856 
24    0.95248       6640       1567         38        103      0.062      0.730      0.808      0.770      0.857 
25    0.95013       6639       1568         39        102      0.061      0.723      0.807      0.766      0.858 
26    0.94482       6639       1568         39        102      0.061      0.723      0.807      0.766      0.858 
27    0.94469       6639       1568         39        102      0.061      0.723      0.807      0.766      0.860 
28    0.94321       6637       1570         41        100      0.060      0.709      0.807      0.759      0.860 
29    0.94968       6638       1569         40        101      0.060      0.716      0.807      0.763      0.860 
30    0.94821       6637       1570         41        100      0.060      0.709      0.807      0.759      0.860 
31    0.95236       6636       1571         42         99      0.059      0.702      0.807      0.755      0.860 
32    0.95231       6636       1571         42         99      0.059      0.702      0.807      0.755      0.860 
33    0.96088       6636       1571         42         99      0.059      0.702      0.807      0.755      0.860 
34    0.92241       6637       1570         41        100      0.060      0.709      0.807      0.759      0.860 
35    0.95108       6636       1571         42         99      0.059      0.702      0.807      0.755      0.860 
36    0.96079       6636       1571         42         99      0.059      0.702      0.807      0.755      0.860 
37    0.93573       6636       1571         42         99      0.059      0.702      0.807      0.755      0.861 
38     0.9598       6636       1571         42         99      0.059      0.702      0.807      0.755      0.861 
39    0.94108       6637       1570         41        100      0.060      0.709      0.807      0.759      0.862 
40    0.92211       6638       1569         40        101      0.060      0.716      0.807      0.763      0.862 
41    0.93755       6638       1569         40        101      0.060      0.716      0.807      0.763      0.862 
42     0.9151       6640       1567         38        103      0.062      0.730      0.808      0.770      0.862 
