# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.4997       1646        406         32          4      0.010      0.111      0.790      0.457      0.364 
Train:          1     1.4997       6561       1646        117         24      0.014      0.170      0.789      0.485      0.402 
All:          1     1.4997       8199       2060        149         28      0.013      0.158      0.788      0.479      0.395 
Test:          2     1.3834       1657        395         18         18      0.044      0.500      0.802      0.654      0.717 
Train:          2     1.3834       6621       1586         57         84      0.050      0.596      0.803      0.701      0.787 
All:          2     1.3834       8273       1986         75        102      0.049      0.576      0.803      0.691      0.773 
Test:          3     1.3308       1653        399         16         20      0.048      0.556      0.801      0.681      0.753 
Train:          3     1.3308       6623       1584         55         86      0.051      0.610      0.804      0.708      0.813 
All:          3     1.3308       8277       1982         71        106      0.051      0.599      0.803      0.703      0.801 
Test:          4     1.3237       1653        399         16         20      0.048      0.556      0.801      0.681      0.767 
Train:          4     1.3237       6628       1579         50         91      0.054      0.645      0.805      0.726      0.821 
All:          4     1.3237       8282       1977         66        111      0.053      0.627      0.804      0.717      0.810 
Test:          5     1.3177       1657        395         14         22      0.053      0.611      0.804      0.709      0.779 
Train:          5     1.3177       6628       1579         50         91      0.054      0.645      0.805      0.726      0.826 
All:          5     1.3177       8284       1975         64        113      0.054      0.638      0.805      0.723      0.817 
Test:          6     1.2945       1652        400         14         22      0.052      0.611      0.802      0.708      0.791 
Train:          6     1.2945       6629       1578         49         92      0.055      0.652      0.805      0.730      0.830 
All:          6     1.2945       8285       1974         63        114      0.055      0.644      0.805      0.726      0.822 
Test:          7     1.2712       1654        398         14         22      0.052      0.611      0.803      0.709      0.804 
Train:          7     1.2712       6632       1575         46         95      0.057      0.674      0.806      0.741      0.834 
All:          7     1.2712       8287       1972         61        116      0.056      0.655      0.805      0.732      0.828 
Test:          8     1.2483       1649        403         12         24      0.056      0.667      0.801      0.735      0.813 
Train:          8     1.2483       6635       1572         43         98      0.059      0.695      0.807      0.752      0.837 
All:          8     1.2483       8293       1966         55        122      0.058      0.689      0.806      0.749      0.832 
Test:          9     1.2378       1648        404         12         24      0.056      0.667      0.801      0.735      0.817 
Train:          9     1.2378       6635       1572         43         98      0.059      0.695      0.807      0.752      0.838 
All:          9     1.2378       8292       1967         56        121      0.058      0.684      0.806      0.746      0.834 
Test:         10     1.2127       1661        391         13         23      0.056      0.639      0.807      0.724      0.817 
Train:         10     1.2127       6635       1572         43         98      0.059      0.695      0.807      0.752      0.840 
All:         10     1.2127       8292       1967         56        121      0.058      0.684      0.806      0.746      0.835 
Test:         11     1.2056       1656        396         12         24      0.057      0.667      0.805      0.737      0.815 
Train:         11     1.2056       6636       1571         42         99      0.059      0.702      0.807      0.755      0.842 
All:         11     1.2056       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
Test:         12      1.169       1661        391         12         24      0.058      0.667      0.807      0.738      0.813 
Train:         12      1.169       6635       1572         43         98      0.059      0.695      0.807      0.752      0.844 
All:         12      1.169       8293       1966         55        122      0.058      0.689      0.806      0.749      0.838 
Test:         13     1.1406       1657        395         13         23      0.055      0.639      0.805      0.723      0.814 
Train:         13     1.1406       6637       1570         41        100      0.060      0.709      0.807      0.759      0.845 
All:         13     1.1406       8294       1965         54        123      0.059      0.695      0.807      0.752      0.839 
Test:         14     1.1303       1659        393         13         23      0.055      0.639      0.806      0.724      0.817 
Train:         14     1.1303       6636       1571         42         99      0.059      0.702      0.807      0.755      0.846 
All:         14     1.1303       8293       1966         55        122      0.058      0.689      0.806      0.749      0.840 
Test:         15     1.0989       1659        393         12         24      0.058      0.667      0.806      0.738      0.822 
Train:         15     1.0989       6636       1571         42         99      0.059      0.702      0.807      0.755      0.847 
All:         15     1.0989       8294       1965         54        123      0.059      0.695      0.807      0.752      0.842 
