# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3751       8281       1978         67        110      0.053      0.621      0.804      0.714      0.797 
2     1.2812       8283       1976         65        112      0.054      0.633      0.804      0.720      0.809 
3     1.2837       8284       1975         64        113      0.054      0.638      0.805      0.723      0.814 
4     1.2631       8288       1971         60        117      0.056      0.661      0.805      0.734      0.819 
5     1.2436       8289       1970         59        118      0.057      0.667      0.806      0.737      0.822 
6     1.2096       8292       1967         56        121      0.058      0.684      0.806      0.746      0.825 
7     1.1903       8293       1966         55        122      0.058      0.689      0.806      0.749      0.826 
8     1.1805       8292       1967         56        121      0.058      0.684      0.806      0.746      0.828 
9     1.1517       8291       1968         57        120      0.057      0.678      0.806      0.743      0.831 
10     1.1234       8292       1967         56        121      0.058      0.684      0.806      0.746      0.834 
11     1.1023       8293       1966         55        122      0.058      0.689      0.806      0.749      0.836 
12     1.0676       8292       1967         56        121      0.058      0.684      0.806      0.746      0.838 
13     1.0723       8292       1967         56        121      0.058      0.684      0.806      0.746      0.839 
14     1.0536       8293       1966         55        122      0.058      0.689      0.806      0.749      0.841 
15      1.015       8293       1966         55        122      0.058      0.689      0.806      0.749      0.841 
16     1.0102       8294       1965         54        123      0.059      0.695      0.807      0.752      0.843 
17    0.97678       8296       1963         52        125      0.060      0.706      0.807      0.757      0.845 
18    0.99093       8297       1962         51        126      0.060      0.712      0.807      0.760      0.847 
19     0.9648       8297       1962         51        126      0.060      0.712      0.807      0.760      0.848 
20    0.95769       8297       1962         51        126      0.060      0.712      0.807      0.760      0.848 
21    0.95429       8297       1962         51        126      0.060      0.712      0.807      0.760      0.849 
22    0.98362       8297       1962         51        126      0.060      0.712      0.807      0.760      0.851 
23    0.96776       8297       1962         51        126      0.060      0.712      0.807      0.760      0.852 
24    0.97329       8297       1962         51        126      0.060      0.712      0.807      0.760      0.853 
25    0.93456       8297       1962         51        126      0.060      0.712      0.807      0.760      0.853 
26    0.95147       8296       1963         52        125      0.060      0.706      0.807      0.757      0.854 
27    0.95683       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
28    0.98405       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
29    0.95584       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
30    0.96342       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
31    0.94549       8294       1965         54        123      0.059      0.695      0.807      0.752      0.856 
32    0.93439       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
33    0.94873       8294       1965         54        123      0.059      0.695      0.807      0.752      0.855 
34    0.94926       8295       1964         53        124      0.059      0.701      0.807      0.755      0.855 
35    0.92518       8296       1963         52        125      0.060      0.706      0.807      0.757      0.856 
36    0.96051       8297       1962         51        126      0.060      0.712      0.807      0.760      0.857 
37    0.93129       8297       1962         51        126      0.060      0.712      0.807      0.760      0.858 
38    0.93657       8299       1960         49        128      0.061      0.723      0.807      0.766      0.858 
39    0.93083       8299       1960         49        128      0.061      0.723      0.807      0.766      0.858 
40    0.92632       8300       1959         48        129      0.062      0.729      0.808      0.769      0.859 
41    0.92204       8302       1957         46        131      0.063      0.740      0.808      0.775      0.859 
42    0.92975       8303       1956         45        132      0.063      0.746      0.808      0.778      0.860 
43    0.91201       8303       1956         45        132      0.063      0.746      0.808      0.778      0.860 
44    0.94529       8303       1956         45        132      0.063      0.746      0.808      0.778      0.860 
45    0.94035       8301       1958         47        130      0.062      0.734      0.808      0.772      0.860 
46    0.93315       8302       1957         46        131      0.063      0.740      0.808      0.775      0.861 
47    0.92087       8301       1958         47        130      0.062      0.734      0.808      0.772      0.861 
48    0.90887       8301       1958         47        130      0.062      0.734      0.808      0.772      0.861 
49    0.90938       8299       1960         49        128      0.061      0.723      0.807      0.766      0.861 
50    0.90976       8299       1960         49        128      0.061      0.723      0.807      0.766      0.860 
51    0.91159       8299       1960         49        128      0.061      0.723      0.807      0.766      0.861 
52    0.92486       8301       1958         47        130      0.062      0.734      0.808      0.772      0.862 
53    0.91168       8301       1958         47        130      0.062      0.734      0.808      0.772      0.862 
54    0.91283       8301       1958         47        130      0.062      0.734      0.808      0.772      0.862 
55    0.91214       8301       1958         47        130      0.062      0.734      0.808      0.772      0.862 
56     0.8972       8301       1958         47        130      0.062      0.734      0.808      0.772      0.863 
57    0.88488       8301       1958         47        130      0.062      0.734      0.808      0.772      0.864 
58    0.90343       8304       1955         44        133      0.064      0.751      0.808      0.780      0.865 
59    0.89843       8303       1956         45        132      0.063      0.746      0.808      0.778      0.865 
60    0.91674       8303       1956         45        132      0.063      0.746      0.808      0.778      0.865 
61    0.91036       8303       1956         45        132      0.063      0.746      0.808      0.778      0.865 
62    0.91591       8302       1957         46        131      0.063      0.740      0.808      0.775      0.866 
63    0.89832       8304       1955         44        133      0.064      0.751      0.808      0.780      0.867 
64    0.87032       8304       1955         44        133      0.064      0.751      0.808      0.780      0.867 
65    0.91801       8303       1956         45        132      0.063      0.746      0.808      0.778      0.866 
66    0.87384       8303       1956         45        132      0.063      0.746      0.808      0.778      0.866 
67    0.91001       8302       1957         46        131      0.063      0.740      0.808      0.775      0.867 
68    0.89876       8303       1956         45        132      0.063      0.746      0.808      0.778      0.867 
69    0.88929       8303       1956         45        132      0.063      0.746      0.808      0.778      0.867 
70    0.90184       8302       1957         46        131      0.063      0.740      0.808      0.775      0.867 
71    0.90213       8305       1954         43        134      0.064      0.757      0.809      0.783      0.869 
72    0.88151       8306       1953         42        135      0.065      0.763      0.809      0.786      0.870 
73    0.87526       8307       1952         41        136      0.065      0.768      0.809      0.789      0.871 
74    0.90096       8306       1953         42        135      0.065      0.763      0.809      0.786      0.871 
75     0.8828       8305       1954         43        134      0.064      0.757      0.809      0.783      0.871 
76    0.86587       8308       1951         40        137      0.066      0.774      0.809      0.792      0.872 
77    0.89339       8309       1950         39        138      0.066      0.780      0.809      0.795      0.872 
78    0.88623       8309       1950         39        138      0.066      0.780      0.809      0.795      0.872 
79    0.88732       8307       1952         41        136      0.065      0.768      0.809      0.789      0.872 
80     0.8843       8306       1953         42        135      0.065      0.763      0.809      0.786      0.872 
81     0.8705       8309       1950         39        138      0.066      0.780      0.809      0.795      0.873 
82    0.88705       8309       1950         39        138      0.066      0.780      0.809      0.795      0.874 
83    0.87585       8309       1950         39        138      0.066      0.780      0.809      0.795      0.874 
84    0.89854       8309       1950         39        138      0.066      0.780      0.809      0.795      0.875 
85    0.88021       8309       1950         39        138      0.066      0.780      0.809      0.795      0.875 
86    0.86022       8310       1949         38        139      0.067      0.785      0.810      0.798      0.875 
87    0.87718       8310       1949         38        139      0.067      0.785      0.810      0.798      0.876 
88    0.90061       8310       1949         38        139      0.067      0.785      0.810      0.798      0.876 
