# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.4377       1668        384         17         19      0.047      0.528      0.808      0.670      0.748 
Train:          1     1.4377       6608       1599         70         71      0.043      0.504      0.800      0.654      0.704 
All:          1     1.4377       8262       1997         86         91      0.044      0.514      0.800      0.660      0.713 
Test:          2     1.3456       1663        389         12         24      0.058      0.667      0.808      0.739      0.809 
Train:          2     1.3456       6625       1582         53         88      0.053      0.624      0.804      0.716      0.795 
All:          2     1.3456       8283       1976         65        112      0.054      0.633      0.804      0.720      0.798 
Test:          3     1.3197       1658        394         12         24      0.057      0.667      0.806      0.737      0.815 
Train:          3     1.3197       6631       1576         47         94      0.056      0.667      0.806      0.737      0.810 
All:          3     1.3197       8289       1970         59        118      0.057      0.667      0.806      0.737      0.811 
Test:          4      1.303       1646        406         12         24      0.056      0.667      0.800      0.734      0.814 
Train:          4      1.303       6631       1576         47         94      0.056      0.667      0.806      0.737      0.815 
All:          4      1.303       8289       1970         59        118      0.057      0.667      0.806      0.737      0.815 
Test:          5     1.2759       1656        396         12         24      0.057      0.667      0.805      0.737      0.807 
Train:          5     1.2759       6631       1576         47         94      0.056      0.667      0.806      0.737      0.816 
All:          5     1.2759       8289       1970         59        118      0.057      0.667      0.806      0.737      0.814 
Test:          6     1.2369       1646        406         14         22      0.051      0.611      0.799      0.707      0.796 
Train:          6     1.2369       6631       1576         47         94      0.056      0.667      0.806      0.737      0.812 
All:          6     1.2369       8286       1973         62        115      0.055      0.650      0.805      0.729      0.809 
Test:          7     1.2189       1648        404         15         21      0.049      0.583      0.799      0.693      0.784 
Train:          7     1.2189       6631       1576         47         94      0.056      0.667      0.806      0.737      0.808 
All:          7     1.2189       8286       1973         62        115      0.055      0.650      0.805      0.729      0.804 
Test:          8     1.1936       1650        402         16         20      0.047      0.556      0.800      0.680      0.781 
Train:          8     1.1936       6630       1577         48         93      0.056      0.660      0.805      0.734      0.808 
All:          8     1.1936       8284       1975         64        113      0.054      0.638      0.805      0.723      0.803 
Test:          9       1.19       1650        402         14         22      0.052      0.611      0.801      0.708      0.786 
Train:          9       1.19       6632       1575         46         95      0.057      0.674      0.806      0.741      0.813 
All:          9       1.19       8287       1972         61        116      0.056      0.655      0.805      0.732      0.807 
Test:         10     1.1722       1639        413         14         22      0.051      0.611      0.795      0.705      0.793 
Train:         10     1.1722       6632       1575         46         95      0.057      0.674      0.806      0.741      0.819 
All:         10     1.1722       8288       1971         60        117      0.056      0.661      0.805      0.734      0.814 
Test:         11     1.1165       1645        407         14         22      0.051      0.611      0.798      0.706      0.801 
Train:         11     1.1165       6636       1571         42         99      0.059      0.702      0.807      0.755      0.824 
All:         11     1.1165       8292       1967         56        121      0.058      0.684      0.806      0.746      0.819 
Test:         12     1.0951       1650        402         14         22      0.052      0.611      0.801      0.708      0.804 
Train:         12     1.0951       6637       1570         41        100      0.060      0.709      0.807      0.759      0.829 
All:         12     1.0951       8293       1966         55        122      0.058      0.689      0.806      0.749      0.824 
Test:         13     1.0971       1650        402         13         23      0.054      0.639      0.801      0.721      0.805 
Train:         13     1.0971       6637       1570         41        100      0.060      0.709      0.807      0.759      0.831 
All:         13     1.0971       8293       1966         55        122      0.058      0.689      0.806      0.749      0.826 
Test:         14     1.0697       1653        399         14         22      0.052      0.611      0.802      0.708      0.805 
Train:         14     1.0697       6639       1568         39        102      0.061      0.723      0.807      0.766      0.832 
All:         14     1.0697       8295       1964         53        124      0.059      0.701      0.807      0.755      0.827 
Test:         15     1.0495       1659        393         13         23      0.055      0.639      0.806      0.724      0.806 
Train:         15     1.0495       6638       1569         40        101      0.060      0.716      0.807      0.763      0.836 
All:         15     1.0495       8295       1964         53        124      0.059      0.701      0.807      0.755      0.830 
Test:         16     1.0289       1655        397         13         23      0.055      0.639      0.804      0.723      0.811 
Train:         16     1.0289       6638       1569         40        101      0.060      0.716      0.807      0.763      0.841 
All:         16     1.0289       8295       1964         53        124      0.059      0.701      0.807      0.755      0.834 
Test:         17    0.99932       1652        400         13         23      0.054      0.639      0.802      0.722      0.815 
Train:         17    0.99932       6639       1568         39        102      0.061      0.723      0.807      0.766      0.844 
All:         17    0.99932       8296       1963         52        125      0.060      0.706      0.807      0.757      0.838 
Test:         18     1.0199       1654        398         13         23      0.055      0.639      0.803      0.722      0.819 
Train:         18     1.0199       6639       1568         39        102      0.061      0.723      0.807      0.766      0.847 
All:         18     1.0199       8296       1963         52        125      0.060      0.706      0.807      0.757      0.841 
Test:         19    0.96399       1649        403         11         25      0.058      0.694      0.802      0.749      0.819 
Train:         19    0.96399       6639       1568         39        102      0.061      0.723      0.807      0.766      0.849 
All:         19    0.96399       8298       1961         50        127      0.061      0.718      0.807      0.763      0.843 
Test:         20    0.98952       1644        408         11         25      0.058      0.694      0.799      0.748      0.821 
Train:         20    0.98952       6637       1570         41        100      0.060      0.709      0.807      0.759      0.852 
All:         20    0.98952       8295       1964         53        124      0.059      0.701      0.807      0.755      0.845 
Test:         21    0.95897       1643        409         12         24      0.055      0.667      0.798      0.734      0.824 
Train:         21    0.95897       6639       1568         39        102      0.061      0.723      0.807      0.766      0.854 
All:         21    0.95897       8296       1963         52        125      0.060      0.706      0.807      0.757      0.848 
Test:         22    0.96423       1642        410         11         25      0.057      0.694      0.798      0.747      0.825 
Train:         22    0.96423       6639       1568         39        102      0.061      0.723      0.807      0.766      0.856 
All:         22    0.96423       8297       1962         51        126      0.060      0.712      0.807      0.760      0.849 
Test:         23    0.94061       1649        403         11         25      0.058      0.694      0.802      0.749      0.827 
Train:         23    0.94061       6640       1567         38        103      0.062      0.730      0.808      0.770      0.857 
All:         23    0.94061       8299       1960         49        128      0.061      0.723      0.807      0.766      0.851 
Test:         24    0.97592       1654        398         11         25      0.059      0.694      0.804      0.750      0.828 
Train:         24    0.97592       6641       1566         37        104      0.062      0.738      0.808      0.773      0.858 
All:         24    0.97592       8300       1959         48        129      0.062      0.729      0.808      0.769      0.852 
Test:         25    0.95101       1651        401         11         25      0.059      0.694      0.803      0.750      0.831 
Train:         25    0.95101       6641       1566         37        104      0.062      0.738      0.808      0.773      0.859 
All:         25    0.95101       8300       1959         48        129      0.062      0.729      0.808      0.769      0.853 
Test:         26    0.93415       1652        400         11         25      0.059      0.694      0.803      0.750      0.831 
Train:         26    0.93415       6640       1567         38        103      0.062      0.730      0.808      0.770      0.860 
All:         26    0.93415       8299       1960         49        128      0.061      0.723      0.807      0.766      0.854 
Test:         27    0.94696       1651        401         11         25      0.059      0.694      0.803      0.750      0.832 
Train:         27    0.94696       6640       1567         38        103      0.062      0.730      0.808      0.770      0.861 
All:         27    0.94696       8299       1960         49        128      0.061      0.723      0.807      0.766      0.855 
Test:         28    0.92545       1648        404         11         25      0.058      0.694      0.801      0.749      0.833 
Train:         28    0.92545       6640       1567         38        103      0.062      0.730      0.808      0.770      0.861 
All:         28    0.92545       8299       1960         49        128      0.061      0.723      0.807      0.766      0.855 
Test:         29     0.9555       1645        407         11         25      0.058      0.694      0.800      0.748      0.834 
Train:         29     0.9555       6639       1568         39        102      0.061      0.723      0.807      0.766      0.861 
All:         29     0.9555       8297       1962         51        126      0.060      0.712      0.807      0.760      0.855 
Test:         30    0.91932       1644        408         12         24      0.056      0.667      0.799      0.734      0.833 
Train:         30    0.91932       6641       1566         37        104      0.062      0.738      0.808      0.773      0.861 
All:         30    0.91932       8298       1961         50        127      0.061      0.718      0.807      0.763      0.856 
Test:         31    0.96055       1640        412         12         24      0.055      0.667      0.797      0.733      0.834 
Train:         31    0.96055       6640       1567         38        103      0.062      0.730      0.808      0.770      0.861 
All:         31    0.96055       8298       1961         50        127      0.061      0.718      0.807      0.763      0.856 
Test:         32    0.94181       1645        407         12         24      0.056      0.667      0.799      0.734      0.835 
Train:         32    0.94181       6640       1567         38        103      0.062      0.730      0.808      0.770      0.861 
All:         32    0.94181       8298       1961         50        127      0.061      0.718      0.807      0.763      0.856 
Test:         33    0.92867       1640        412         12         24      0.055      0.667      0.797      0.733      0.835 
