# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4647       6615       1592         63         78      0.047      0.553      0.802      0.680      0.745 
2     1.3443       6635       1572         43         98      0.059      0.695      0.807      0.752      0.831 
3     1.3078       6634       1573         44         97      0.058      0.688      0.806      0.748      0.834 
4      1.306       6635       1572         43         98      0.059      0.695      0.807      0.752      0.837 
5     1.2927       6639       1568         39        102      0.061      0.723      0.807      0.766      0.841 
6     1.2597       6634       1573         44         97      0.058      0.688      0.806      0.748      0.840 
7     1.2237       6632       1575         46         95      0.057      0.674      0.806      0.741      0.828 
8     1.2168       6629       1578         49         92      0.055      0.652      0.805      0.730      0.821 
9     1.1996       6631       1576         47         94      0.056      0.667      0.806      0.737      0.826 
10     1.1687       6631       1576         47         94      0.056      0.667      0.806      0.737      0.834 
11     1.1465       6635       1572         43         98      0.059      0.695      0.807      0.752      0.841 
12     1.1119       6636       1571         42         99      0.059      0.702      0.807      0.755      0.843 
13     1.1125       6636       1571         42         99      0.059      0.702      0.807      0.755      0.843 
14     1.0852       6637       1570         41        100      0.060      0.709      0.807      0.759      0.841 
15      1.037       6634       1573         44         97      0.058      0.688      0.806      0.748      0.837 
16     1.0147       6635       1572         43         98      0.059      0.695      0.807      0.752      0.837 
17     1.0161       6641       1566         37        104      0.062      0.738      0.808      0.773      0.843 
18     1.0031       6641       1566         37        104      0.062      0.738      0.808      0.773      0.849 
19    0.99023       6643       1564         35        106      0.063      0.752      0.808      0.781      0.852 
20    0.97485       6642       1565         36        105      0.063      0.745      0.808      0.777      0.854 
21    0.97388       6643       1564         35        106      0.063      0.752      0.808      0.781      0.856 
22    0.94857       6642       1565         36        105      0.063      0.745      0.808      0.777      0.858 
23    0.96084       6642       1565         36        105      0.063      0.745      0.808      0.777      0.860 
24    0.98222       6642       1565         36        105      0.063      0.745      0.808      0.777      0.862 
25    0.92493       6641       1566         37        104      0.062      0.738      0.808      0.773      0.862 
26    0.94814       6641       1566         37        104      0.062      0.738      0.808      0.773      0.863 
27    0.94596       6641       1566         37        104      0.062      0.738      0.808      0.773      0.863 
28    0.96703       6641       1566         37        104      0.062      0.738      0.808      0.773      0.862 
29    0.92856       6638       1569         40        101      0.060      0.716      0.807      0.763      0.862 
30    0.92871       6640       1567         38        103      0.062      0.730      0.808      0.770      0.862 
31    0.93853       6640       1567         38        103      0.062      0.730      0.808      0.770      0.863 
32    0.98622       6640       1567         38        103      0.062      0.730      0.808      0.770      0.863 
33    0.96969       6639       1568         39        102      0.061      0.723      0.807      0.766      0.863 
34    0.93148       6639       1568         39        102      0.061      0.723      0.807      0.766      0.863 
35    0.92894       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
36    0.92537       6641       1566         37        104      0.062      0.738      0.808      0.773      0.864 
37    0.95987       6641       1566         37        104      0.062      0.738      0.808      0.773      0.864 
38    0.93749       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
39    0.93883       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
40    0.91633       6642       1565         36        105      0.063      0.745      0.808      0.777      0.864 
41    0.92042       6643       1564         35        106      0.063      0.752      0.808      0.781      0.864 
42    0.91172       6644       1563         34        107      0.064      0.759      0.809      0.784      0.864 
43    0.92011       6643       1564         35        106      0.063      0.752      0.808      0.781      0.865 
44    0.92908       6642       1565         36        105      0.063      0.745      0.808      0.777      0.865 
45      0.934       6642       1565         36        105      0.063      0.745      0.808      0.777      0.865 
46    0.91303       6642       1565         36        105      0.063      0.745      0.808      0.777      0.866 
47    0.89892       6645       1562         33        108      0.065      0.766      0.809      0.788      0.866 
48    0.93379       6645       1562         33        108      0.065      0.766      0.809      0.788      0.866 
49    0.93023       6645       1562         33        108      0.065      0.766      0.809      0.788      0.866 
50    0.92317       6645       1562         33        108      0.065      0.766      0.809      0.788      0.867 
51    0.90357       6646       1561         32        109      0.065      0.773      0.809      0.791      0.867 
52    0.90751       6645       1562         33        108      0.065      0.766      0.809      0.788      0.867 
53    0.91003       6645       1562         33        108      0.065      0.766      0.809      0.788      0.868 
54    0.91226       6645       1562         33        108      0.065      0.766      0.809      0.788      0.868 
55    0.92201       6644       1563         34        107      0.064      0.759      0.809      0.784      0.868 
56    0.89618       6644       1563         34        107      0.064      0.759      0.809      0.784      0.868 
57    0.90546       6644       1563         34        107      0.064      0.759      0.809      0.784      0.869 
58    0.90784       6644       1563         34        107      0.064      0.759      0.809      0.784      0.869 
59    0.90575       6644       1563         34        107      0.064      0.759      0.809      0.784      0.869 
60    0.88854       6644       1563         34        107      0.064      0.759      0.809      0.784      0.869 
61    0.89948       6643       1564         35        106      0.063      0.752      0.808      0.781      0.870 
62    0.91305       6644       1563         34        107      0.064      0.759      0.809      0.784      0.870 
63    0.91259       6644       1563         34        107      0.064      0.759      0.809      0.784      0.870 
64    0.89496       6644       1563         34        107      0.064      0.759      0.809      0.784      0.870 
65     0.8974       6644       1563         34        107      0.064      0.759      0.809      0.784      0.871 
66    0.90662       6644       1563         34        107      0.064      0.759      0.809      0.784      0.871 
67    0.90456       6644       1563         34        107      0.064      0.759      0.809      0.784      0.872 
68    0.91093       6645       1562         33        108      0.065      0.766      0.809      0.788      0.872 
69    0.88171       6644       1563         34        107      0.064      0.759      0.809      0.784      0.872 
70    0.91079       6645       1562         33        108      0.065      0.766      0.809      0.788      0.872 
71    0.91732       6645       1562         33        108      0.065      0.766      0.809      0.788      0.873 
72    0.90089       6646       1561         32        109      0.065      0.773      0.809      0.791      0.873 
73    0.89415       6647       1560         31        110      0.066      0.780      0.809      0.795      0.874 
74    0.90994       6646       1561         32        109      0.065      0.773      0.809      0.791      0.874 
75    0.87464       6646       1561         32        109      0.065      0.773      0.809      0.791      0.874 
76    0.88101       6647       1560         31        110      0.066      0.780      0.809      0.795      0.874 
77    0.87113       6648       1559         30        111      0.066      0.787      0.810      0.799      0.875 
78    0.89347       6647       1560         31        110      0.066      0.780      0.809      0.795      0.875 
79    0.89358       6646       1561         32        109      0.065      0.773      0.809      0.791      0.875 
80    0.90979       6645       1562         33        108      0.065      0.766      0.809      0.788      0.875 
81     0.8706       6647       1560         31        110      0.066      0.780      0.809      0.795      0.876 
82     0.8868       6647       1560         31        110      0.066      0.780      0.809      0.795      0.876 
83    0.89214       6647       1560         31        110      0.066      0.780      0.809      0.795      0.876 
84    0.88568       6647       1560         31        110      0.066      0.780      0.809      0.795      0.876 
85    0.90426       6647       1560         31        110      0.066      0.780      0.809      0.795      0.876 
86    0.87034       6647       1560         31        110      0.066      0.780      0.809      0.795      0.877 
87    0.91464       6647       1560         31        110      0.066      0.780      0.809      0.795      0.877 
88    0.88433       6648       1559         30        111      0.066      0.787      0.810      0.799      0.877 
89    0.89071       6647       1560         31        110      0.066      0.780      0.809      0.795      0.877 
90    0.88805       6647       1560         31        110      0.066      0.780      0.809      0.795      0.878 
91    0.89503       6648       1559         30        111      0.066      0.787      0.810      0.799      0.878 
92    0.86557       6648       1559         30        111      0.066      0.787      0.810      0.799      0.878 
93    0.90406       6648       1559         30        111      0.066      0.787      0.810      0.799      0.878 
94    0.89747       6649       1558         29        112      0.067      0.794      0.810      0.802      0.878 
95    0.87439       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
96    0.90408       6647       1560         31        110      0.066      0.780      0.809      0.795      0.879 
97    0.87466       6647       1560         31        110      0.066      0.780      0.809      0.795      0.878 
98    0.89821       6647       1560         31        110      0.066      0.780      0.809      0.795      0.878 
99    0.89369       6647       1560         31        110      0.066      0.780      0.809      0.795      0.879 
100    0.88031       6648       1559         30        111      0.066      0.787      0.810      0.799      0.879 
101    0.89365       6649       1558         29        112      0.067      0.794      0.810      0.802      0.880 
102    0.88841       6649       1558         29        112      0.067      0.794      0.810      0.802      0.880 
103    0.87375       6649       1558         29        112      0.067      0.794      0.810      0.802      0.880 
104    0.89937       6649       1558         29        112      0.067      0.794      0.810      0.802      0.879 
105    0.88544       6650       1557         28        113      0.068      0.801      0.810      0.806      0.880 
106     0.8568       6651       1556         27        114      0.068      0.809      0.810      0.809      0.880 
107    0.90314       6650       1557         28        113      0.068      0.801      0.810      0.806      0.880 
108     0.8723       6648       1559         30        111      0.066      0.787      0.810      0.799      0.880 
109    0.87162       6649       1558         29        112      0.067      0.794      0.810      0.802      0.880 
110    0.89614       6648       1559         30        111      0.066      0.787      0.810      0.799      0.881 
111     0.8546       6650       1557         28        113      0.068      0.801      0.810      0.806      0.881 
112    0.88617       6649       1558         29        112      0.067      0.794      0.810      0.802      0.881 
113    0.87378       6651       1556         27        114      0.068      0.809      0.810      0.809      0.881 
114    0.87459       6651       1556         27        114      0.068      0.809      0.810      0.809      0.881 
115    0.88489       6651       1556         27        114      0.068      0.809      0.810      0.809      0.881 
116    0.88128       6651       1556         27        114      0.068      0.809      0.810      0.809      0.882 
117    0.89179       6651       1556         27        114      0.068      0.809      0.810      0.809      0.882 
118    0.88434       6647       1560         31        110      0.066      0.780      0.809      0.795      0.882 
119    0.86365       6647       1560         31        110      0.066      0.780      0.809      0.795      0.882 
120    0.87054       6648       1559         30        111      0.066      0.787      0.810      0.799      0.883 
121     0.8574       6650       1557         28        113      0.068      0.801      0.810      0.806      0.883 
122    0.87885       6652       1555         26        115      0.069      0.816      0.811      0.813      0.883 
123    0.89113       6652       1555         26        115      0.069      0.816      0.811      0.813      0.884 
124    0.86955       6652       1555         26        115      0.069      0.816      0.811      0.813      0.884 
125    0.87092       6653       1554         25        116      0.069      0.823      0.811      0.817      0.884 
126    0.84602       6653       1554         25        116      0.069      0.823      0.811      0.817      0.884 
127    0.85908       6652       1555         26        115      0.069      0.816      0.811      0.813      0.885 
128    0.83026       6651       1556         27        114      0.068      0.809      0.810      0.809      0.885 
129    0.87494       6650       1557         28        113      0.068      0.801      0.810      0.806      0.884 
130     0.8594       6649       1558         29        112      0.067      0.794      0.810      0.802      0.884 
131    0.86761       6650       1557         28        113      0.068      0.801      0.810      0.806      0.885 
132    0.88843       6652       1555         26        115      0.069      0.816      0.811      0.813      0.885 
133    0.88045       6654       1553         24        117      0.070      0.830      0.811      0.820      0.885 
134    0.86513       6653       1554         25        116      0.069      0.823      0.811      0.817      0.885 
135    0.84469       6652       1555         26        115      0.069      0.816      0.811      0.813      0.886 
136    0.84539       6652       1555         26        115      0.069      0.816      0.811      0.813      0.886 
137    0.90741       6654       1553         24        117      0.070      0.830      0.811      0.820      0.887 
138    0.87188       6652       1555         26        115      0.069      0.816      0.811      0.813      0.885 
139    0.88425       6650       1557         28        113      0.068      0.801      0.810      0.806      0.884 
140    0.87125       6649       1558         29        112      0.067      0.794      0.810      0.802      0.885 
141    0.89091       6651       1556         27        114      0.068      0.809      0.810      0.809      0.887 
142    0.86672       6654       1553         24        117      0.070      0.830      0.811      0.820      0.887 
143    0.88155       6653       1554         25        116      0.069      0.823      0.811      0.817      0.885 
144    0.89095       6653       1554         25        116      0.069      0.823      0.811      0.817      0.884 
145    0.85981       6651       1556         27        114      0.068      0.809      0.810      0.809      0.884 
146    0.88869       6653       1554         25        116      0.069      0.823      0.811      0.817      0.885 
147    0.90266       6652       1555         26        115      0.069      0.816      0.811      0.813      0.886 
148    0.86338       6653       1554         25        116      0.069      0.823      0.811      0.817      0.887 
149    0.86456       6651       1556         27        114      0.068      0.809      0.810      0.809      0.887 
150    0.85481       6651       1556         27        114      0.068      0.809      0.810      0.809      0.886 
151    0.86526       6651       1556         27        114      0.068      0.809      0.810      0.809      0.886 
152     0.8573       6651       1556         27        114      0.068      0.809      0.810      0.809      0.886 
153    0.85681       6652       1555         26        115      0.069      0.816      0.811      0.813      0.887 
154    0.84481       6651       1556         27        114      0.068      0.809      0.810      0.809      0.888 
155     0.8533       6651       1556         27        114      0.068      0.809      0.810      0.809      0.888 
