# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1      1.553       1631        421         31          5      0.012      0.139      0.784      0.467      0.379 
Train:          1      1.553       6562       1645        116         25      0.015      0.177      0.789      0.488      0.434 
All:          1      1.553       8201       2058        147         30      0.014      0.169      0.789      0.484      0.423 
Test:          2     1.4658       1640        412         28          8      0.019      0.222      0.789      0.511      0.464 
Train:          2     1.4658       6573       1634        105         36      0.022      0.255      0.792      0.528      0.506 
All:          2     1.4658       8215       2044        133         44      0.021      0.249      0.791      0.525      0.498 
Test:          3     1.3855       1627        425         25         11      0.025      0.306      0.784      0.549      0.551 
Train:          3     1.3855       6584       1623         94         47      0.028      0.333      0.794      0.568      0.586 
All:          3     1.3855       8229       2030        119         58      0.028      0.328      0.794      0.565      0.579 
Test:          4     1.3563       1634        418         23         13      0.030      0.361      0.789      0.579      0.608 
Train:          4     1.3563       6598       1609         80         61      0.037      0.433      0.798      0.618      0.646 
All:          4     1.3563       8245       2014        103         74      0.035      0.418      0.797      0.611      0.638 
Test:          5     1.3407       1648        404         22         14      0.033      0.389      0.796      0.596      0.631 
Train:          5     1.3407       6604       1603         73         68      0.041      0.482      0.799      0.643      0.677 
All:          5     1.3407       8252       2007         95         82      0.039      0.463      0.799      0.634      0.668 
Test:          6     1.3055       1654        398         20         16      0.039      0.444      0.800      0.625      0.639 
Train:          6     1.3055       6611       1596         67         74      0.044      0.525      0.801      0.665      0.690 
All:          6     1.3055       8261       1998         87         90      0.043      0.508      0.800      0.657      0.680 
Test:          7     1.2907       1652        400         20         16      0.038      0.444      0.799      0.625      0.647 
Train:          7     1.2907       6612       1595         66         75      0.045      0.532      0.801      0.669      0.701 
All:          7     1.2907       8262       1997         86         91      0.044      0.514      0.800      0.660      0.690 
Test:          8     1.2773       1657        395         20         16      0.039      0.444      0.801      0.626      0.656 
Train:          8     1.2773       6614       1593         64         77      0.046      0.546      0.802      0.676      0.707 
All:          8     1.2773       8264       1995         84         93      0.045      0.525      0.801      0.665      0.696 
Test:          9     1.2431       1655        397         20         16      0.039      0.444      0.800      0.625      0.666 
Train:          9     1.2431       6615       1592         63         78      0.047      0.553      0.802      0.680      0.712 
All:          9     1.2431       8265       1994         83         94      0.045      0.531      0.801      0.668      0.703 
Test:         10     1.2203       1652        400         20         16      0.038      0.444      0.799      0.625      0.682 
Train:         10     1.2203       6616       1591         62         79      0.047      0.560      0.802      0.683      0.721 
All:         10     1.2203       8266       1993         82         95      0.045      0.537      0.801      0.671      0.713 
Test:         11     1.2658       1653        399         20         16      0.039      0.444      0.799      0.625      0.697 
Train:         11     1.2658       6619       1588         59         82      0.049      0.582      0.803      0.694      0.729 
All:         11     1.2658       8269       1990         79         98      0.047      0.554      0.802      0.680      0.723 
Test:         12     1.2421       1652        400         20         16      0.038      0.444      0.799      0.625      0.712 
Train:         12     1.2421       6612       1595         58         83      0.049      0.589      0.802      0.697      0.737 
All:         12     1.2421       8265       1994         78         99      0.047      0.559      0.801      0.682      0.732 
Test:         13     1.2316       1660        392         20         16      0.039      0.444      0.803      0.627      0.729 
Train:         13     1.2316       6622       1585         56         85      0.051      0.603      0.803      0.705      0.746 
All:         13     1.2316       8273       1986         75        102      0.049      0.576      0.803      0.691      0.743 
Test:         14     1.2075       1657        395         19         17      0.041      0.472      0.802      0.640      0.743 
Train:         14     1.2075       6624       1583         54         87      0.052      0.617      0.804      0.712      0.753 
All:         14     1.2075       8275       1984         73        104      0.050      0.588      0.803      0.697      0.751 
Test:         15     1.2055       1661        391         19         17      0.042      0.472      0.804      0.641      0.754 
