# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7682       8204       2055        144         33      0.016      0.186      0.789      0.493      0.459 
2     1.5994       8200       2059        148         29      0.014      0.164      0.789      0.482      0.407 
3     1.4699       8199       2060        149         28      0.013      0.158      0.788      0.479      0.396 
4     1.4682       8201       2058        147         30      0.014      0.169      0.789      0.484      0.438 
5     1.5005       8206       2053        142         35      0.017      0.198      0.790      0.499      0.504 
6     1.4607       8220       2039        128         49      0.023      0.277      0.792      0.539      0.565 
7     1.4163       8231       2028        117         60      0.029      0.339      0.794      0.571      0.617 
8     1.3988       8249       2010         99         78      0.037      0.441      0.798      0.622      0.666 
9     1.3191       8260       1999         88         89      0.043      0.503      0.800      0.654      0.706 
10     1.3233       8267       1992         81         96      0.046      0.542      0.801      0.674      0.740 
11     1.2635       8275       1984         73        104      0.050      0.588      0.803      0.697      0.765 
12     1.2286       8279       1980         69        108      0.052      0.610      0.804      0.709      0.781 
13     1.2574       8281       1978         67        110      0.053      0.621      0.804      0.714      0.790 
14     1.2598       8282       1977         66        111      0.053      0.627      0.804      0.717      0.792 
15     1.2333       8283       1976         65        112      0.054      0.633      0.804      0.720      0.791 
16     1.2519       8280       1979         68        109      0.052      0.616      0.804      0.711      0.787 
17     1.2519       8278       1981         70        107      0.051      0.605      0.803      0.706      0.782 
18     1.2058       8276       1983         72        105      0.050      0.593      0.803      0.700      0.776 
19     1.1904       8276       1983         72        105      0.050      0.593      0.803      0.700      0.770 
20     1.2004       8275       1984         73        104      0.050      0.588      0.803      0.697      0.765 
21     1.1894       8275       1984         73        104      0.050      0.588      0.803      0.697      0.762 
22     1.1819       8275       1984         73        104      0.050      0.588      0.803      0.697      0.761 
23     1.1968       8276       1983         72        105      0.050      0.593      0.803      0.700      0.762 
24     1.2129       8277       1982         71        106      0.051      0.599      0.803      0.703      0.765 
25     1.1442       8279       1980         69        108      0.052      0.610      0.804      0.709      0.770 
26      1.147       8279       1980         69        108      0.052      0.610      0.804      0.709      0.776 
27     1.1894       8280       1979         68        109      0.052      0.616      0.804      0.711      0.782 
28      1.175       8279       1980         69        108      0.052      0.610      0.804      0.709      0.788 
29     1.1503       8280       1979         68        109      0.052      0.616      0.804      0.711      0.794 
30     1.1992       8282       1977         66        111      0.053      0.627      0.804      0.717      0.799 
31     1.1583       8284       1975         64        113      0.054      0.638      0.805      0.723      0.803 
32     1.1205       8285       1974         63        114      0.055      0.644      0.805      0.726      0.805 
33     1.1775       8285       1974         63        114      0.055      0.644      0.805      0.726      0.807 
34     1.1719       8287       1972         61        116      0.056      0.655      0.805      0.732      0.808 
35     1.1339       8288       1971         60        117      0.056      0.661      0.805      0.734      0.808 
36     1.1427       8288       1971         60        117      0.056      0.661      0.805      0.734      0.807 
37     1.1484       8288       1971         60        117      0.056      0.661      0.805      0.734      0.807 
38     1.1643       8288       1971         60        117      0.056      0.661      0.805      0.734      0.807 
39     1.1434       8288       1971         60        117      0.056      0.661      0.805      0.734      0.808 
40     1.1473       8288       1971         60        117      0.056      0.661      0.805      0.734      0.809 
41     1.1282       8288       1971         60        117      0.056      0.661      0.805      0.734      0.811 
42     1.1721       8288       1971         60        117      0.056      0.661      0.805      0.734      0.814 
43     1.1399       8288       1971         60        117      0.056      0.661      0.805      0.734      0.817 
44     1.1429       8288       1971         60        117      0.056      0.661      0.805      0.734      0.819 
45     1.1141       8289       1970         59        118      0.057      0.667      0.806      0.737      0.822 
46     1.1382       8289       1970         59        118      0.057      0.667      0.806      0.737      0.824 
47      1.145       8290       1969         58        119      0.057      0.672      0.806      0.740      0.825 
48     1.1392       8290       1969         58        119      0.057      0.672      0.806      0.740      0.826 
49      1.111       8290       1969         58        119      0.057      0.672      0.806      0.740      0.827 
50     1.1093       8290       1969         58        119      0.057      0.672      0.806      0.740      0.828 
51      1.128       8290       1969         58        119      0.057      0.672      0.806      0.740      0.829 
52     1.1328       8290       1969         58        119      0.057      0.672      0.806      0.740      0.829 
53     1.1604       8290       1969         58        119      0.057      0.672      0.806      0.740      0.829 
54     1.1326       8290       1969         58        119      0.057      0.672      0.806      0.740      0.830 
55      1.113       8290       1969         58        119      0.057      0.672      0.806      0.740      0.830 
56     1.1523       8290       1969         58        119      0.057      0.672      0.806      0.740      0.831 
57     1.1382       8290       1969         58        119      0.057      0.672      0.806      0.740      0.832 
58     1.1287       8290       1969         58        119      0.057      0.672      0.806      0.740      0.834 
59     1.1242       8291       1968         57        120      0.057      0.678      0.806      0.743      0.836 
60     1.1165       8291       1968         57        120      0.057      0.678      0.806      0.743      0.838 
61     1.1274       8291       1968         57        120      0.057      0.678      0.806      0.743      0.840 
62     1.1287       8291       1968         57        120      0.057      0.678      0.806      0.743      0.841 
63     1.1096       8291       1968         57        120      0.057      0.678      0.806      0.743      0.842 
64     1.0819       8290       1969         58        119      0.057      0.672      0.806      0.740      0.843 
65     1.1342       8291       1968         57        120      0.057      0.678      0.806      0.743      0.843 
66     1.1176       8292       1967         56        121      0.058      0.684      0.806      0.746      0.843 
67     1.1307       8292       1967         56        121      0.058      0.684      0.806      0.746      0.844 
68     1.0953       8294       1965         54        123      0.059      0.695      0.807      0.752      0.845 
69     1.1002       8293       1966         55        122      0.058      0.689      0.806      0.749      0.845 
70     1.0852       8293       1966         55        122      0.058      0.689      0.806      0.749      0.846 
71     1.0924       8294       1965         54        123      0.059      0.695      0.807      0.752      0.847 
72     1.0903       8294       1965         54        123      0.059      0.695      0.807      0.752      0.848 
73     1.0953       8294       1965         54        123      0.059      0.695      0.807      0.752      0.848 
74      1.107       8294       1965         54        123      0.059      0.695      0.807      0.752      0.848 
75     1.0908       8294       1965         54        123      0.059      0.695      0.807      0.752      0.848 
76     1.0994       8295       1964         53        124      0.059      0.701      0.807      0.755      0.848 
77     1.1103       8295       1964         53        124      0.059      0.701      0.807      0.755      0.848 
78     1.0966       8295       1964         53        124      0.059      0.701      0.807      0.755      0.848 
79     1.0543       8295       1964         53        124      0.059      0.701      0.807      0.755      0.848 
80     1.0645       8296       1963         52        125      0.060      0.706      0.807      0.757      0.849 
81     1.1051       8296       1963         52        125      0.060      0.706      0.807      0.757      0.850 
82     1.0705       8296       1963         52        125      0.060      0.706      0.807      0.757      0.851 
83     1.0968       8296       1963         52        125      0.060      0.706      0.807      0.757      0.853 
84     1.1042       8298       1961         50        127      0.061      0.718      0.807      0.763      0.854 
85     1.0983       8298       1961         50        127      0.061      0.718      0.807      0.763      0.855 
86     1.0797       8299       1960         49        128      0.061      0.723      0.807      0.766      0.856 
87     1.0691       8300       1959         48        129      0.062      0.729      0.808      0.769      0.857 
88     1.0755       8301       1958         47        130      0.062      0.734      0.808      0.772      0.857 
89     1.0932       8301       1958         47        130      0.062      0.734      0.808      0.772      0.858 
90     1.0665       8301       1958         47        130      0.062      0.734      0.808      0.772      0.858 
91     1.0868       8301       1958         47        130      0.062      0.734      0.808      0.772      0.859 
92     1.0852       8300       1959         48        129      0.062      0.729      0.808      0.769      0.860 
93       1.08       8300       1959         48        129      0.062      0.729      0.808      0.769      0.860 
94     1.0477       8300       1959         48        129      0.062      0.729      0.808      0.769      0.861 
95     1.0642       8301       1958         47        130      0.062      0.734      0.808      0.772      0.861 
96     1.0604       8302       1957         46        131      0.063      0.740      0.808      0.775      0.862 
97     1.0511       8302       1957         46        131      0.063      0.740      0.808      0.775      0.862 
98     1.0804       8302       1957         46        131      0.063      0.740      0.808      0.775      0.862 
99     1.0633       8303       1956         45        132      0.063      0.746      0.808      0.778      0.863 
100      1.066       8303       1956         45        132      0.063      0.746      0.808      0.778      0.863 
101     1.0686       8303       1956         45        132      0.063      0.746      0.808      0.778      0.863 
102     1.0624       8303       1956         45        132      0.063      0.746      0.808      0.778      0.863 
103      1.098       8302       1957         46        131      0.063      0.740      0.808      0.775      0.864 
104     1.0686       8302       1957         46        131      0.063      0.740      0.808      0.775      0.864 
105      1.076       8301       1958         47        130      0.062      0.734      0.808      0.772      0.864 
106     1.0391       8301       1958         47        130      0.062      0.734      0.808      0.772      0.865 
107     1.0511       8301       1958         47        130      0.062      0.734      0.808      0.772      0.865 
108     1.0514       8301       1958         47        130      0.062      0.734      0.808      0.772      0.865 
109     1.0691       8300       1959         48        129      0.062      0.729      0.808      0.769      0.866 
110     1.0478       8302       1957         46        131      0.063      0.740      0.808      0.775      0.866 
111     1.0369       8302       1957         46        131      0.063      0.740      0.808      0.775      0.866 
112     1.0468       8302       1957         46        131      0.063      0.740      0.808      0.775      0.867 
113       1.05       8302       1957         46        131      0.063      0.740      0.808      0.775      0.867 
114     1.0585       8301       1958         47        130      0.062      0.734      0.808      0.772      0.866 
115     1.1003       8302       1957         46        131      0.063      0.740      0.808      0.775      0.866 
116     1.0135       8302       1957         46        131      0.063      0.740      0.808      0.775      0.866 
117     1.0636       8303       1956         45        132      0.063      0.746      0.808      0.778      0.866 
118     1.0706       8303       1956         45        132      0.063      0.746      0.808      0.778      0.866 
