# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7682       6563       1644        115         26      0.016      0.184      0.789      0.492      0.456 
2     1.5994       6559       1648        119         22      0.013      0.156      0.788      0.478      0.413 
3     1.4699       6557       1650        121         20      0.012      0.142      0.788      0.470      0.405 
4     1.4682       6561       1646        117         24      0.014      0.170      0.789      0.485      0.448 
5     1.5005       6565       1642        113         28      0.017      0.199      0.790      0.499      0.514 
6     1.4607       6575       1632        103         38      0.023      0.270      0.792      0.535      0.574 
7     1.4163       6584       1623         94         47      0.028      0.333      0.794      0.568      0.625 
8     1.3988       6599       1608         79         62      0.037      0.440      0.798      0.622      0.672 
9     1.3191       6609       1598         69         72      0.043      0.511      0.800      0.658      0.711 
10     1.3233       6613       1594         65         76      0.046      0.539      0.801      0.672      0.745 
11     1.2635       6619       1588         59         82      0.049      0.582      0.803      0.694      0.769 
12     1.2286       6620       1587         58         83      0.050      0.589      0.803      0.698      0.785 
13     1.2574       6622       1585         56         85      0.051      0.603      0.803      0.705      0.793 
14     1.2598       6623       1584         55         86      0.051      0.610      0.804      0.708      0.795 
15     1.2333       6625       1582         53         88      0.053      0.624      0.804      0.716      0.795 
16     1.2519       6622       1585         56         85      0.051      0.603      0.803      0.705      0.792 
17     1.2519       6622       1585         56         85      0.051      0.603      0.803      0.705      0.788 
18     1.2058       6620       1587         58         83      0.050      0.589      0.803      0.698      0.782 
19     1.1904       6620       1587         58         83      0.050      0.589      0.803      0.698      0.777 
20     1.2004       6620       1587         58         83      0.050      0.589      0.803      0.698      0.773 
21     1.1894       6620       1587         58         83      0.050      0.589      0.803      0.698      0.771 
22     1.1819       6620       1587         58         83      0.050      0.589      0.803      0.698      0.770 
23     1.1968       6621       1586         57         84      0.050      0.596      0.803      0.701      0.772 
24     1.2129       6623       1584         55         86      0.051      0.610      0.804      0.708      0.775 
25     1.1442       6623       1584         55         86      0.051      0.610      0.804      0.708      0.779 
26      1.147       6624       1583         54         87      0.052      0.617      0.804      0.712      0.784 
27     1.1894       6626       1581         52         89      0.053      0.631      0.804      0.719      0.789 
28      1.175       6625       1582         53         88      0.053      0.624      0.804      0.716      0.795 
29     1.1503       6624       1583         54         87      0.052      0.617      0.804      0.712      0.799 
30     1.1992       6626       1581         52         89      0.053      0.631      0.804      0.719      0.803 
31     1.1583       6628       1579         50         91      0.054      0.645      0.805      0.726      0.806 
32     1.1205       6629       1578         49         92      0.055      0.652      0.805      0.730      0.808 
33     1.1775       6631       1576         47         94      0.056      0.667      0.806      0.737      0.809 
34     1.1719       6631       1576         47         94      0.056      0.667      0.806      0.737      0.810 
35     1.1339       6632       1575         46         95      0.057      0.674      0.806      0.741      0.810 
36     1.1427       6632       1575         46         95      0.057      0.674      0.806      0.741      0.810 
37     1.1484       6632       1575         46         95      0.057      0.674      0.806      0.741      0.810 
38     1.1643       6632       1575         46         95      0.057      0.674      0.806      0.741      0.810 
39     1.1434       6632       1575         46         95      0.057      0.674      0.806      0.741      0.811 
