# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7676       7770       2051        578         37      0.018      0.060      0.748      0.426      0.380 
2     1.6537       7770       2051        578         37      0.018      0.060      0.748      0.426      0.389 
3     1.5663       7772       2049        576         39      0.019      0.063      0.748      0.427      0.399 
4     1.5116       7778       2043        570         45      0.022      0.073      0.750      0.433      0.412 
5     1.4574       7787       2034        561         54      0.026      0.088      0.751      0.440      0.432 
6     1.4097       7799       2022        549         66      0.032      0.107      0.754      0.451      0.468 
7     1.3646       7848       1973        500        115      0.055      0.187      0.763      0.493      0.530 
8     1.3574       7885       1936        463        152      0.073      0.247      0.770      0.525      0.622 
9     1.3316       7908       1913        440        175      0.084      0.285      0.775      0.545      0.648 
10     1.3022       7914       1907        434        181      0.087      0.294      0.776      0.550      0.656 
11     1.2888       7921       1900        427        188      0.090      0.306      0.777      0.556      0.660 
12     1.2737       7930       1891        418        197      0.094      0.320      0.779      0.564      0.665 
13     1.2748       7934       1887        414        201      0.096      0.327      0.780      0.567      0.670 
14     1.2644       7944       1877        404        211      0.101      0.343      0.781      0.576      0.676 
15     1.2631       7950       1871        398        217      0.104      0.353      0.783      0.581      0.682 
16     1.2691       7958       1863        390        225      0.108      0.366      0.784      0.588      0.688 
17     1.2535       7965       1856        383        232      0.111      0.377      0.785      0.594      0.694 
18     1.2346       7977       1844        371        244      0.117      0.397      0.788      0.604      0.698 
19      1.231       7985       1836        363        252      0.121      0.410      0.789      0.611      0.702 
20      1.224       7984       1837        364        251      0.120      0.408      0.789      0.611      0.703 
21     1.2158       7986       1835        362        253      0.121      0.411      0.789      0.612      0.704 
22     1.2087       7987       1834        361        254      0.122      0.413      0.790      0.613      0.705 
23     1.2147       7988       1833        360        255      0.122      0.415      0.790      0.614      0.706 
24     1.2077       7988       1833        360        255      0.122      0.415      0.790      0.614      0.707 
25     1.1922       7990       1831        358        257      0.123      0.418      0.790      0.616      0.707 
26     1.1834       7992       1829        356        259      0.124      0.421      0.791      0.617      0.708 
27     1.1907       7993       1828        355        260      0.125      0.423      0.791      0.618      0.709 
28     1.1868       7993       1828        355        260      0.125      0.423      0.791      0.618      0.711 
29     1.1764       7995       1826        353        262      0.125      0.426      0.791      0.620      0.713 
30     1.1749       8002       1819        346        269      0.129      0.437      0.793      0.626      0.715 
31     1.1568       8007       1814        341        274      0.131      0.446      0.794      0.630      0.717 
32     1.1601       8007       1814        341        274      0.131      0.446      0.794      0.630      0.718 
33     1.1578       8014       1807        334        281      0.135      0.457      0.795      0.636      0.720 
34     1.1539       8017       1804        331        284      0.136      0.462      0.795      0.639      0.721 
35     1.1533       8019       1802        329        286      0.137      0.465      0.796      0.641      0.722 
36      1.149       8019       1802        329        286      0.137      0.465      0.796      0.641      0.723 
37     1.1469       8020       1801        328        287      0.137      0.467      0.796      0.642      0.724 
38     1.1441       8018       1803        330        285      0.136      0.463      0.796      0.640      0.724 
39     1.1429       8016       1805        332        283      0.136      0.460      0.795      0.638      0.725 
40     1.1507       8015       1806        333        282      0.135      0.459      0.795      0.637      0.726 
41     1.1329       8017       1804        331        284      0.136      0.462      0.795      0.639      0.727 
42     1.1382       8022       1799        326        289      0.138      0.470      0.796      0.643      0.728 
43     1.1392       8026       1795        322        293      0.140      0.476      0.797      0.647      0.729 
44     1.1362       8028       1793        320        295      0.141      0.480      0.798      0.649      0.730 
45     1.1385       8027       1794        321        294      0.141      0.478      0.797      0.648      0.730 
46     1.1384       8030       1791        318        297      0.142      0.483      0.798      0.650      0.731 
47     1.1326       8032       1789        316        299      0.143      0.486      0.798      0.652      0.732 
48     1.1334       8032       1789        316        299      0.143      0.486      0.798      0.652      0.733 
49     1.1282       8031       1790        317        298      0.143      0.485      0.798      0.651      0.734 
50     1.1349       8030       1791        318        297      0.142      0.483      0.798      0.650      0.735 
51     1.1267       8034       1787        314        301      0.144      0.489      0.799      0.654      0.736 
52     1.1235       8037       1784        311        304      0.146      0.494      0.799      0.656      0.737 
53     1.1267       8037       1784        311        304      0.146      0.494      0.799      0.656      0.738 
54      1.121       8038       1783        310        305      0.146      0.496      0.799      0.657      0.738 
55     1.1164       8039       1782        309        306      0.147      0.498      0.800      0.658      0.738 
56     1.1206       8040       1781        308        307      0.147      0.499      0.800      0.659      0.739 
57     1.1202       8042       1779        306        309      0.148      0.502      0.800      0.661      0.740 
58     1.1175       8039       1782        309        306      0.147      0.498      0.800      0.658      0.742 
59     1.0995       8035       1786        313        302      0.145      0.491      0.799      0.655      0.742 
60     1.1169       8035       1786        313        302      0.145      0.491      0.799      0.655      0.743 
61     1.1101       8041       1780        307        308      0.148      0.501      0.800      0.660      0.742 
62     1.1187       8041       1780        307        308      0.148      0.501      0.800      0.660      0.742 
63     1.1353       8041       1780        307        308      0.148      0.501      0.800      0.660      0.742 
64     1.1168       8042       1779        306        309      0.148      0.502      0.800      0.661      0.744 
65     1.1084       8038       1783        310        305      0.146      0.496      0.799      0.657      0.745 
66      1.122       8042       1779        306        309      0.148      0.502      0.800      0.661      0.744 
67     1.1158       8041       1780        307        308      0.148      0.501      0.800      0.660      0.742 
68     1.1122       8036       1785        312        303      0.145      0.493      0.799      0.655      0.740 
69     1.1199       8035       1786        313        302      0.145      0.491      0.799      0.655      0.740 
70     1.1139       8036       1785        312        303      0.145      0.493      0.799      0.655      0.740 
71     1.1109       8036       1785        312        303      0.145      0.493      0.799      0.655      0.741 
72     1.1211       8038       1783        310        305      0.146      0.496      0.799      0.657      0.742 
73      1.106       8040       1781        308        307      0.147      0.499      0.800      0.659      0.742 
74     1.1058       8044       1777        304        311      0.149      0.506      0.801      0.662      0.743 
75     1.1173       8043       1778        305        310      0.148      0.504      0.800      0.662      0.743 
76      1.115       8042       1779        306        309      0.148      0.502      0.800      0.661      0.743 
77     1.1154       8044       1777        304        311      0.149      0.506      0.801      0.662      0.743 
78     1.1003       8052       1769        296        319      0.153      0.519      0.802      0.669      0.745 
79     1.0963       8046       1775        302        313      0.150      0.509      0.801      0.664      0.746 
80     1.1197       8045       1776        303        312      0.149      0.507      0.801      0.663      0.746 
81     1.1166       8046       1775        302        313      0.150      0.509      0.801      0.664      0.747 
82     1.0925       8046       1775        302        313      0.150      0.509      0.801      0.664      0.747 
83     1.1074       8041       1780        307        308      0.148      0.501      0.800      0.660      0.746 
84     1.1103       8041       1780        307        308      0.148      0.501      0.800      0.660      0.746 
85     1.1028       8047       1774        301        314      0.150      0.511      0.801      0.665      0.748 
86      1.124       8042       1779        306        309      0.148      0.502      0.800      0.661      0.745 
87     1.0987       8046       1775        302        313      0.150      0.509      0.801      0.664      0.745 
88     1.1153       8053       1768        295        320      0.153      0.520      0.802      0.670      0.747 
89     1.1102       8047       1774        301        314      0.150      0.511      0.801      0.665      0.745 
90     1.0978       8046       1775        302        313      0.150      0.509      0.801      0.664      0.743 
91     1.1006       8045       1776        303        312      0.149      0.507      0.801      0.663      0.743 
92     1.1088       8051       1770        297        318      0.152      0.517      0.802      0.668      0.747 
93     1.1006       8052       1769        296        319      0.153      0.519      0.802      0.669      0.747 
94     1.1159       8054       1767        294        321      0.154      0.522      0.803      0.671      0.748 
95     1.0981       8052       1769        296        319      0.153      0.519      0.802      0.669      0.748 
96     1.0915       8050       1771        298        317      0.152      0.515      0.802      0.668      0.749 
97     1.1113       8049       1772        299        316      0.151      0.514      0.802      0.667      0.750 
98     1.1051       8049       1772        299        316      0.151      0.514      0.802      0.667      0.750 
99     1.1082       8051       1770        297        318      0.152      0.517      0.802      0.668      0.750 
100     1.0877       8050       1771        298        317      0.152      0.515      0.802      0.668      0.750 
101     1.1005       8049       1772        299        316      0.151      0.514      0.802      0.667      0.749 
102     1.0998       8048       1773        300        315      0.151      0.512      0.801      0.666      0.750 
103     1.1045       8049       1772        299        316      0.151      0.514      0.802      0.667      0.751 
104     1.1044       8050       1771        298        317      0.152      0.515      0.802      0.668      0.751 
105     1.1114       8050       1771        298        317      0.152      0.515      0.802      0.668      0.751 
106     1.0918       8048       1773        300        315      0.151      0.512      0.801      0.666      0.751 
107     1.1005       8053       1768        295        320      0.153      0.520      0.802      0.670      0.751 
108     1.1048       8047       1774        301        314      0.150      0.511      0.801      0.665      0.750 
109     1.0995       8047       1774        301        314      0.150      0.511      0.801      0.665      0.749 
110      1.115       8052       1769        296        319      0.153      0.519      0.802      0.669      0.748 
111     1.0998       8048       1773        300        315      0.151      0.512      0.801      0.666      0.750 
112     1.0994       8057       1764        291        324      0.155      0.527      0.803      0.674      0.750 
113     1.0983       8044       1777        304        311      0.149      0.506      0.801      0.662      0.745 
114     1.1211       8046       1775        302        313      0.150      0.509      0.801      0.664      0.746 
115     1.1282       8051       1770        297        318      0.152      0.517      0.802      0.668      0.751 
116     1.1019       8048       1773        300        315      0.151      0.512      0.801      0.666      0.751 
117     1.1021       8047       1774        301        314      0.150      0.511      0.801      0.665      0.746 
118     1.0947       8049       1772        299        316      0.151      0.514      0.802      0.667      0.746 
119     1.1057       8047       1774        301        314      0.150      0.511      0.801      0.665      0.749 
120     1.1129       8053       1768        295        320      0.153      0.520      0.802      0.670      0.752 
