# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.2526       1606        359         72         51      0.124      0.415      0.794      0.616      0.719 
Train:          1     1.2526       6376       1480        302        190      0.114      0.386      0.787      0.599      0.689 
All:          1     1.2526       7975       1846        373        242      0.116      0.393      0.787      0.603      0.695 
Test:          2     1.2326       1612        353         64         59      0.143      0.480      0.800      0.650      0.736 
Train:          2     1.2326       6388       1468        290        202      0.121      0.411      0.789      0.612      0.703 
All:          2     1.2326       7995       1826        353        262      0.125      0.426      0.791      0.620      0.709 
Test:          3     1.2046       1604        361         65         58      0.138      0.472      0.796      0.644      0.751 
Train:          3     1.2046       6401       1455        277        215      0.129      0.437      0.793      0.626      0.710 
All:          3     1.2046       8006       1815        342        273      0.131      0.444      0.793      0.630      0.718 
Test:          4     1.1884       1607        358         65         58      0.139      0.472      0.797      0.645      0.741 
Train:          4     1.1884       6403       1453        275        217      0.130      0.441      0.793      0.628      0.705 
All:          4     1.1884       8008       1813        340        275      0.132      0.447      0.794      0.631      0.712 
Test:          5     1.2032       1612        353         65         58      0.141      0.472      0.800      0.646      0.748 
Train:          5     1.2032       6404       1452        274        218      0.131      0.443      0.793      0.629      0.712 
All:          5     1.2032       8010       1811        338        277      0.133      0.450      0.794      0.633      0.719 
Test:          6       1.19       1612        353         63         60      0.145      0.488      0.801      0.654      0.761 
Train:          6       1.19       6414       1442        264        228      0.137      0.463      0.796      0.640      0.723 
All:          6       1.19       8022       1799        326        289      0.138      0.470      0.796      0.643      0.731 
Test:          7     1.1757       1617        348         61         62      0.151      0.504      0.804      0.663      0.765 
Train:          7     1.1757       6416       1440        262        230      0.138      0.467      0.796      0.642      0.729 
All:          7     1.1757       8025       1796        323        292      0.140      0.475      0.797      0.646      0.736 
Test:          8     1.1666       1619        346         63         60      0.148      0.488      0.804      0.656      0.765 
Train:          8     1.1666       6413       1443        265        227      0.136      0.461      0.795      0.639      0.730 
All:          8     1.1666       8021       1800        327        288      0.138      0.468      0.796      0.643      0.737 
Test:          9     1.1669       1632        333         64         59      0.151      0.480      0.810      0.655      0.763 
Train:          9     1.1669       6417       1439        261        231      0.138      0.470      0.796      0.643      0.730 
All:          9     1.1669       8026       1795        322        293      0.140      0.476      0.797      0.647      0.736 
Test:         10     1.1556       1633        332         66         57      0.147      0.463      0.809      0.647      0.760 
Train:         10     1.1556       6414       1442        264        228      0.137      0.463      0.796      0.640      0.730 
All:         10     1.1556       8022       1799        326        289      0.138      0.470      0.796      0.643      0.736 
Test:         11     1.1627       1617        348         66         57      0.141      0.463      0.802      0.643      0.760 
Train:         11     1.1627       6414       1442        264        228      0.137      0.463      0.796      0.640      0.730 
All:         11     1.1627       8018       1803        330        285      0.136      0.463      0.796      0.640      0.736 
Test:         12     1.1519       1611        354         62         61      0.147      0.496      0.801      0.658      0.761 
Train:         12     1.1519       6419       1437        259        233      0.140      0.474      0.797      0.645      0.731 
All:         12     1.1519       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
Test:         13     1.1593       1609        356         61         62      0.148      0.504      0.800      0.661      0.763 
Train:         13     1.1593       6419       1437        259        233      0.140      0.474      0.797      0.645      0.733 
All:         13     1.1593       8028       1793        320        295      0.141      0.480      0.798      0.649      0.739 
Test:         14     1.1556       1619        346         61         62      0.152      0.504      0.805      0.664      0.765 
Train:         14     1.1556       6417       1439        261        231      0.138      0.470      0.796      0.643      0.734 
All:         14     1.1556       8026       1795        322        293      0.140      0.476      0.797      0.647      0.741 
Test:         15     1.1646       1622        343         60         63      0.155      0.512      0.807      0.669      0.766 
Train:         15     1.1646       6419       1437        259        233      0.140      0.474      0.797      0.645      0.735 
All:         15     1.1646       8031       1790        317        298      0.143      0.485      0.798      0.651      0.741 
Test:         16     1.1544       1622        343         60         63      0.155      0.512      0.807      0.669      0.766 
Train:         16     1.1544       6416       1440        262        230      0.138      0.467      0.796      0.642      0.736 
All:         16     1.1544       8027       1794        321        294      0.141      0.478      0.797      0.648      0.742 
Test:         17     1.1519       1621        344         60         63      0.155      0.512      0.807      0.669      0.765 
