# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3457       6332       1524        346        146      0.087      0.297      0.776      0.551      0.636 
2     1.3274       6346       1510        332        160      0.096      0.325      0.779      0.566      0.657 
3     1.2853       6356       1500        322        170      0.102      0.346      0.782      0.577      0.670 
4     1.2662       6363       1493        315        177      0.106      0.360      0.783      0.585      0.680 
5     1.2489       6368       1488        310        182      0.109      0.370      0.785      0.590      0.687 
6     1.2459       6377       1479        301        191      0.114      0.388      0.787      0.600      0.692 
7     1.2328       6382       1474        296        196      0.117      0.398      0.788      0.605      0.697 
8      1.231       6382       1474        296        196      0.117      0.398      0.788      0.605      0.700 
9     1.2155       6392       1464        286        206      0.123      0.419      0.790      0.616      0.704 
10     1.2203       6395       1461        283        209      0.125      0.425      0.791      0.619      0.706 
11     1.2015       6395       1461        283        209      0.125      0.425      0.791      0.619      0.708 
12     1.1965       6395       1461        283        209      0.125      0.425      0.791      0.619      0.710 
13     1.1913       6402       1454        276        216      0.129      0.439      0.793      0.627      0.714 
14     1.1838       6395       1461        282        210      0.126      0.427      0.791      0.620      0.715 
15     1.1729       6392       1464        286        206      0.123      0.419      0.790      0.616      0.712 
16     1.1679       6378       1478        300        192      0.115      0.390      0.787      0.601      0.709 
17     1.1712       6375       1481        303        189      0.113      0.384      0.786      0.598      0.709 
18     1.1667       6384       1472        294        198      0.119      0.402      0.788      0.608      0.711 
19     1.1754       6398       1458        280        212      0.127      0.431      0.792      0.623      0.716 
20     1.1698       6406       1450        272        220      0.132      0.447      0.794      0.631      0.720 
21     1.1684       6404       1452        274        218      0.131      0.443      0.793      0.629      0.722 
22     1.1672       6406       1450        272        220      0.132      0.447      0.794      0.631      0.723 
23     1.1607       6410       1446        268        224      0.134      0.455      0.795      0.636      0.723 
24     1.1625       6408       1448        270        222      0.133      0.451      0.794      0.633      0.724 
25     1.1647       6416       1440        262        230      0.138      0.467      0.796      0.642      0.726 
26     1.1601       6413       1443        265        227      0.136      0.461      0.795      0.639      0.727 
27      1.152       6412       1444        266        226      0.135      0.459      0.795      0.638      0.727 
28     1.1593       6419       1437        259        233      0.140      0.474      0.797      0.645      0.728 
29       1.16       6423       1433        255        237      0.142      0.482      0.798      0.650      0.730 
30     1.1512       6426       1430        252        240      0.144      0.488      0.799      0.653      0.734 
31     1.1458       6434       1422        244        248      0.149      0.504      0.800      0.662      0.737 
32     1.1456       6427       1429        251        241      0.144      0.490      0.799      0.654      0.737 
33      1.144       6429       1427        249        243      0.146      0.494      0.799      0.656      0.737 
34     1.1485       6433       1423        245        247      0.148      0.502      0.800      0.660      0.739 
35     1.1405       6429       1427        249        243      0.146      0.494      0.799      0.656      0.739 
36     1.1436       6427       1429        251        241      0.144      0.490      0.799      0.654      0.739 
37     1.1394       6428       1428        250        242      0.145      0.492      0.799      0.655      0.740 
38     1.1365       6431       1425        247        245      0.147      0.498      0.800      0.658      0.741 
39     1.1377       6437       1419        241        251      0.150      0.510      0.801      0.665      0.741 
40     1.1373       6434       1422        244        248      0.149      0.504      0.800      0.662      0.740 
41     1.1349       6435       1421        243        249      0.149      0.506      0.801      0.663      0.741 
42     1.1347       6432       1424        246        246      0.147      0.500      0.800      0.659      0.743 
43     1.1324       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
44     1.1303       6431       1425        247        245      0.147      0.498      0.800      0.658      0.743 
45     1.1324       6431       1425        247        245      0.147      0.498      0.800      0.658      0.743 
46     1.1394       6438       1418        240        252      0.151      0.512      0.801      0.666      0.745 
47     1.1348       6435       1421        243        249      0.149      0.506      0.801      0.663      0.745 
48     1.1282       6436       1420        242        250      0.150      0.508      0.801      0.664      0.745 
49     1.1307       6436       1420        242        250      0.150      0.508      0.801      0.664      0.745 
50     1.1333       6441       1415        237        255      0.153      0.518      0.802      0.669      0.746 
51     1.1305       6434       1422        244        248      0.149      0.504      0.800      0.662      0.745 
52     1.1276       6435       1421        243        249      0.149      0.506      0.801      0.663      0.745 
53     1.1274       6435       1421        243        249      0.149      0.506      0.801      0.663      0.746 
54     1.1247       6441       1415        237        255      0.153      0.518      0.802      0.669      0.746 
55     1.1251       6437       1419        241        251      0.150      0.510      0.801      0.665      0.746 
56     1.1254       6437       1419        241        251      0.150      0.510      0.801      0.665      0.746 
57     1.1248       6441       1415        237        255      0.153      0.518      0.802      0.669      0.747 
58     1.1295       6433       1423        245        247      0.148      0.502      0.800      0.660      0.746 
59     1.1284       6431       1425        247        245      0.147      0.498      0.800      0.658      0.746 
60     1.1293       6432       1424        246        246      0.147      0.500      0.800      0.659      0.746 
61     1.1313       6438       1418        240        252      0.151      0.512      0.801      0.666      0.747 
62     1.1299       6439       1417        239        253      0.151      0.514      0.802      0.667      0.747 
63      1.125       6439       1417        239        253      0.151      0.514      0.802      0.667      0.747 
64     1.1254       6438       1418        240        252      0.151      0.512      0.801      0.666      0.747 
65     1.1254       6439       1417        239        253      0.151      0.514      0.802      0.667      0.747 
66     1.1303       6440       1416        238        254      0.152      0.516      0.802      0.668      0.747 
67     1.1211       6440       1416        238        254      0.152      0.516      0.802      0.668      0.747 
68     1.1216       6439       1417        239        253      0.151      0.514      0.802      0.667      0.747 
69     1.1273       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
70     1.1265       6441       1415        237        255      0.153      0.518      0.802      0.669      0.747 
71     1.1223       6441       1415        237        255      0.153      0.518      0.802      0.669      0.748 
72      1.129       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
73     1.1228       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
74     1.1279       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
75     1.1244       6441       1415        237        255      0.153      0.518      0.802      0.669      0.748 
76     1.1299       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
77     1.1251       6435       1421        243        249      0.149      0.506      0.801      0.663      0.748 
78     1.1223       6436       1420        242        250      0.150      0.508      0.801      0.664      0.748 
79     1.1252       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
80     1.1219       6435       1421        243        249      0.149      0.506      0.801      0.663      0.748 
81     1.1228       6434       1422        244        248      0.149      0.504      0.800      0.662      0.748 
82     1.1249       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
83     1.1264       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
84      1.125       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
85     1.1263       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
86     1.1256       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
87     1.1237       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
88     1.1226       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
89     1.1211       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
90     1.1271       6440       1416        238        254      0.152      0.516      0.802      0.668      0.748 
91     1.1228       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
92     1.1238       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
93     1.1225       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
94     1.1275       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
95     1.1224       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
96     1.1224       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
97     1.1239       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
98     1.1252       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
99     1.1217       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
100     1.1188       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
101     1.1202       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
102     1.1224       6439       1417        239        253      0.151      0.514      0.802      0.667      0.749 
103     1.1194       6437       1419        241        251      0.150      0.510      0.801      0.665      0.749 
104     1.1236       6439       1417        239        253      0.151      0.514      0.802      0.667      0.749 
105     1.1243       6440       1416        238        254      0.152      0.516      0.802      0.668      0.749 
