# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1      2.962       1557        408         94         29      0.066      0.236      0.760      0.514      0.646 
Train:          1      2.962       6322       1534        356        136      0.081      0.276      0.774      0.541      0.655 
All:          1      2.962       7897       1924        451        164      0.079      0.267      0.772      0.535      0.653 
Test:          2     2.0105       1565        400         88         35      0.080      0.285      0.766      0.540      0.645 
Train:          2     2.0105       6337       1519        341        151      0.090      0.307      0.777      0.557      0.667 
All:          2     2.0105       7914       1907        434        181      0.087      0.294      0.776      0.550      0.663 
Test:          3     1.5234       1578        387         85         38      0.089      0.309      0.774      0.556      0.654 
Train:          3     1.5234       6342       1514        336        156      0.093      0.317      0.778      0.562      0.677 
All:          3     1.5234       7925       1896        423        192      0.092      0.312      0.778      0.560      0.672 
Test:          4     1.4279       1592        373         84         39      0.095      0.317      0.781      0.564      0.659 
Train:          4     1.4279       6346       1510        332        160      0.096      0.325      0.779      0.566      0.673 
All:          4     1.4279       7935       1886        413        202      0.097      0.328      0.780      0.568      0.670 
Test:          5     1.4065       1597        368         86         37      0.091      0.301      0.783      0.557      0.659 
Train:          5     1.4065       6347       1509        331        161      0.096      0.327      0.780      0.568      0.667 
All:          5     1.4065       7932       1889        416        199      0.095      0.324      0.779      0.566      0.665 
Test:          6     1.4028       1602        363         84         39      0.097      0.317      0.786      0.566      0.664 
Train:          6     1.4028       6350       1506        328        164      0.098      0.333      0.780      0.571      0.670 
All:          6     1.4028       7936       1885        412        203      0.097      0.330      0.780      0.569      0.668 
Test:          7     1.3499       1611        354         84         39      0.099      0.317      0.790      0.568      0.669 
Train:          7     1.3499       6345       1511        333        159      0.095      0.323      0.779      0.565      0.672 
All:          7     1.3499       7934       1887        414        201      0.096      0.327      0.780      0.567      0.672 
Test:          8       1.35       1613        352         79         44      0.111      0.358      0.794      0.589      0.676 
Train:          8       1.35       6356       1500        322        170      0.102      0.346      0.782      0.577      0.673 
All:          8       1.35       7947       1874        401        214      0.102      0.348      0.782      0.579      0.674 
Test:          9     1.3062       1608        357         78         45      0.112      0.366      0.792      0.592      0.683 
Train:          9     1.3062       6359       1497        319        173      0.104      0.352      0.782      0.581      0.674 
All:          9     1.3062       7951       1870        397        218      0.104      0.354      0.783      0.582      0.676 
