# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      1.363       7984       1837        364        251      0.120      0.408      0.789      0.611      0.699 
2     1.3029       7998       1823        350        265      0.127      0.431      0.792      0.623      0.713 
3     1.2433       8003       1818        345        270      0.129      0.439      0.793      0.627      0.717 
4      1.212       8001       1820        347        268      0.128      0.436      0.792      0.625      0.716 
5      1.198       7998       1823        350        265      0.127      0.431      0.792      0.623      0.712 
6     1.1788       8004       1817        344        271      0.130      0.441      0.793      0.628      0.712 
7     1.1711       7998       1823        350        265      0.127      0.431      0.792      0.623      0.713 
8     1.1663       8010       1811        338        277      0.133      0.450      0.794      0.633      0.719 
9     1.1621       8021       1800        327        288      0.138      0.468      0.796      0.643      0.724 
10     1.1618       8026       1795        322        293      0.140      0.476      0.797      0.647      0.727 
11     1.1546       8022       1799        326        289      0.138      0.470      0.796      0.643      0.728 
12     1.1609       8022       1799        326        289      0.138      0.470      0.796      0.643      0.728 
13      1.148       8027       1794        321        294      0.141      0.478      0.797      0.648      0.730 
14     1.1446       8029       1792        319        296      0.142      0.481      0.798      0.649      0.733 
15     1.1391       8031       1790        317        298      0.143      0.485      0.798      0.651      0.734 
16     1.1366       8028       1793        320        295      0.141      0.480      0.798      0.649      0.733 
17     1.1304       8025       1796        323        292      0.140      0.475      0.797      0.646      0.733 
18     1.1364       8025       1796        323        292      0.140      0.475      0.797      0.646      0.733 
19     1.1611       8024       1797        324        291      0.139      0.473      0.797      0.645      0.735 
20     1.1326       8027       1794        321        294      0.141      0.478      0.797      0.648      0.736 
21     1.1284       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
22     1.1407       8025       1796        323        292      0.140      0.475      0.797      0.646      0.737 
23     1.1351       8026       1795        322        293      0.140      0.476      0.797      0.647      0.738 
24      1.123       8029       1792        319        296      0.142      0.481      0.798      0.649      0.737 
25     1.1358       8030       1791        318        297      0.142      0.483      0.798      0.650      0.737 
26     1.1339       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
27     1.1307       8032       1789        316        299      0.143      0.486      0.798      0.652      0.738 
28     1.1288       8035       1786        313        302      0.145      0.491      0.799      0.655      0.739 
29     1.1285       8034       1787        314        301      0.144      0.489      0.799      0.654      0.740 
30     1.1282       8033       1788        315        300      0.144      0.488      0.798      0.653      0.741 
31      1.128       8029       1792        319        296      0.142      0.481      0.798      0.649      0.741 
32     1.1209       8031       1790        317        298      0.143      0.485      0.798      0.651      0.742 
33     1.1273       8033       1788        315        300      0.144      0.488      0.798      0.653      0.742 
34      1.128       8030       1791        318        297      0.142      0.483      0.798      0.650      0.743 
35     1.1261       8032       1789        316        299      0.143      0.486      0.798      0.652      0.743 
36     1.1199       8035       1786        313        302      0.145      0.491      0.799      0.655      0.744 
37     1.1116       8036       1785        312        303      0.145      0.493      0.799      0.655      0.744 
38     1.1154       8037       1784        311        304      0.146      0.494      0.799      0.656      0.744 
39     1.1181       8036       1785        312        303      0.145      0.493      0.799      0.655      0.744 
40     1.1147       8036       1785        312        303      0.145      0.493      0.799      0.655      0.745 
41     1.1195       8035       1786        313        302      0.145      0.491      0.799      0.655      0.745 
42     1.1184       8035       1786        313        302      0.145      0.491      0.799      0.655      0.745 
43     1.1142       8036       1785        312        303      0.145      0.493      0.799      0.655      0.746 
44     1.1086       8037       1784        311        304      0.146      0.494      0.799      0.656      0.746 
45     1.1167       8035       1786        313        302      0.145      0.491      0.799      0.655      0.746 
46     1.1171       8037       1784        311        304      0.146      0.494      0.799      0.656      0.747 
47     1.1115       8038       1783        310        305      0.146      0.496      0.799      0.657      0.747 
48     1.1135       8037       1784        311        304      0.146      0.494      0.799      0.656      0.747 
49     1.1152       8037       1784        311        304      0.146      0.494      0.799      0.656      0.747 
50      1.114       8038       1783        310        305      0.146      0.496      0.799      0.657      0.748 
51     1.1143       8037       1784        311        304      0.146      0.494      0.799      0.656      0.748 
52     1.1094       8036       1785        312        303      0.145      0.493      0.799      0.655      0.749 
53     1.1173       8037       1784        311        304      0.146      0.494      0.799      0.656      0.749 
54     1.1101       8041       1780        307        308      0.148      0.501      0.800      0.660      0.749 
55     1.1158       8041       1780        307        308      0.148      0.501      0.800      0.660      0.750 
56     1.1064       8040       1781        308        307      0.147      0.499      0.800      0.659      0.750 
57     1.1108       8041       1780        307        308      0.148      0.501      0.800      0.660      0.750 
58     1.1094       8041       1780        307        308      0.148      0.501      0.800      0.660      0.751 
59      1.106       8039       1782        309        306      0.147      0.498      0.800      0.658      0.751 
60     1.1123       8040       1781        308        307      0.147      0.499      0.800      0.659      0.751 
61     1.1139       8039       1782        309        306      0.147      0.498      0.800      0.658      0.751 
