# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gat3h.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.6688       6312       1544        366        126      0.075      0.256      0.771      0.530      0.645 
2      1.407       6361       1495        317        175      0.105      0.356      0.783      0.583      0.691 
3      1.297       6383       1473        295        197      0.118      0.400      0.788      0.606      0.706 
4     1.2438       6392       1464        286        206      0.123      0.419      0.790      0.616      0.710 
5     1.2198       6384       1472        294        198      0.119      0.402      0.788      0.608      0.709 
6      1.215       6386       1470        292        200      0.120      0.407      0.789      0.610      0.706 
7     1.1981       6376       1480        302        190      0.114      0.386      0.787      0.599      0.704 
8     1.1875       6385       1471        293        199      0.119      0.404      0.789      0.609      0.707 
9     1.1827       6396       1460        282        210      0.126      0.427      0.791      0.620      0.712 
10     1.1889       6413       1443        265        227      0.136      0.461      0.795      0.639      0.717 
11     1.1798       6415       1441        263        229      0.137      0.465      0.796      0.641      0.720 
12     1.1783       6403       1453        275        217      0.130      0.441      0.793      0.628      0.723 
13     1.1743       6411       1445        267        225      0.135      0.457      0.795      0.637      0.726 
14     1.1905       6417       1439        261        231      0.138      0.470      0.796      0.643      0.730 
15     1.1871       6425       1431        253        239      0.143      0.486      0.798      0.652      0.734 
16     1.1573       6429       1427        249        243      0.146      0.494      0.799      0.656      0.737 
17     1.1468       6433       1423        245        247      0.148      0.502      0.800      0.660      0.739 
18     1.1471       6437       1419        241        251      0.150      0.510      0.801      0.665      0.740 
19     1.1541       6434       1422        244        248      0.149      0.504      0.800      0.662      0.741 
20     1.1421       6436       1420        242        250      0.150      0.508      0.801      0.664      0.741 
21      1.152       6437       1419        241        251      0.150      0.510      0.801      0.665      0.742 
22     1.1544       6438       1418        240        252      0.151      0.512      0.801      0.666      0.743 
23     1.1373       6439       1417        239        253      0.151      0.514      0.802      0.667      0.744 
24      1.143       6442       1414        236        256      0.153      0.520      0.802      0.670      0.744 
25     1.1422       6440       1416        238        254      0.152      0.516      0.802      0.668      0.745 
26     1.1425       6439       1417        239        253      0.151      0.514      0.802      0.667      0.745 
27     1.1472       6441       1415        237        255      0.153      0.518      0.802      0.669      0.746 
28     1.1336       6442       1414        236        256      0.153      0.520      0.802      0.670      0.746 
29     1.1369       6444       1412        234        258      0.154      0.524      0.803      0.672      0.746 
30     1.1331       6441       1415        237        255      0.153      0.518      0.802      0.669      0.747 
31     1.1208       6439       1417        239        253      0.151      0.514      0.802      0.667      0.747 
32     1.1259       6439       1417        239        253      0.151      0.514      0.802      0.667      0.748 
33     1.1255       6441       1415        237        255      0.153      0.518      0.802      0.669      0.749 
34     1.1305       6443       1413        235        257      0.154      0.522      0.803      0.671      0.749 
35     1.1291       6442       1414        236        256      0.153      0.520      0.802      0.670      0.750 
36     1.1247       6442       1414        236        256      0.153      0.520      0.802      0.670      0.751 
37     1.1307       6442       1414        236        256      0.153      0.520      0.802      0.670      0.751 
38     1.1354       6442       1414        236        256      0.153      0.520      0.802      0.670      0.752 
39     1.1237       6442       1414        236        256      0.153      0.520      0.802      0.670      0.752 
40     1.1259       6444       1412        234        258      0.154      0.524      0.803      0.672      0.753 
41     1.1359       6444       1412        234        258      0.154      0.524      0.803      0.672      0.753 
42     1.1168       6442       1414        236        256      0.153      0.520      0.802      0.670      0.754 
43     1.1095       6443       1413        235        257      0.154      0.522      0.803      0.671      0.754 
44     1.1192       6442       1414        236        256      0.153      0.520      0.802      0.670      0.754 
45     1.1161       6443       1413        235        257      0.154      0.522      0.803      0.671      0.754 
46     1.1232       6444       1412        234        258      0.154      0.524      0.803      0.672      0.755 
47      1.114       6446       1410        232        260      0.156      0.528      0.803      0.674      0.755 
48     1.1187       6445       1411        233        259      0.155      0.526      0.803      0.673      0.756 
49     1.1141       6446       1410        232        260      0.156      0.528      0.803      0.674      0.756 
50     1.1089       6447       1409        231        261      0.156      0.530      0.804      0.676      0.757 
51       1.12       6449       1407        229        263      0.157      0.535      0.804      0.678      0.757 
52     1.1135       6452       1404        226        266      0.159      0.541      0.805      0.681      0.758 
53     1.1098       6452       1404        226        266      0.159      0.541      0.805      0.681      0.758 
54      1.117       6452       1404        226        266      0.159      0.541      0.805      0.681      0.759 
55      1.115       6451       1405        227        265      0.159      0.539      0.805      0.680      0.759 
56     1.1148       6451       1405        227        265      0.159      0.539      0.805      0.680      0.760 
57     1.1118       6450       1406        228        264      0.158      0.537      0.804      0.679      0.760 
58     1.1101       6451       1405        227        265      0.159      0.539      0.805      0.680      0.760 
59     1.1128       6452       1404        226        266      0.159      0.541      0.805      0.681      0.761 
60     1.1094       6450       1406        228        264      0.158      0.537      0.804      0.679      0.761 
61     1.1098       6451       1405        227        265      0.159      0.539      0.805      0.680      0.762 
62     1.1181       6454       1402        224        268      0.160      0.545      0.805      0.683      0.763 
63     1.1081       6457       1399        221        271      0.162      0.551      0.806      0.686      0.763 
64     1.1053       6458       1398        220        272      0.163      0.553      0.806      0.687      0.764 
65      1.106       6457       1399        221        271      0.162      0.551      0.806      0.686      0.764 
66     1.1117       6458       1398        220        272      0.163      0.553      0.806      0.687      0.765 
67     1.1075       6459       1397        219        273      0.163      0.555      0.806      0.689      0.765 
68     1.1068       6461       1395        217        275      0.165      0.559      0.807      0.691      0.765 
69     1.1067       6464       1392        214        278      0.166      0.565      0.808      0.694      0.765 
70     1.1086       6467       1389        211        281      0.168      0.571      0.808      0.697      0.765 
71      1.103       6466       1390        212        280      0.168      0.569      0.808      0.696      0.765 
72     1.1086       6465       1391        213        279      0.167      0.567      0.808      0.695      0.765 
73     1.1067       6465       1391        213        279      0.167      0.567      0.808      0.695      0.766 
74     1.1048       6468       1388        210        282      0.169      0.573      0.809      0.698      0.766 
75     1.1059       6466       1390        212        280      0.168      0.569      0.808      0.696      0.767 
76     1.1039       6467       1389        211        281      0.168      0.571      0.808      0.697      0.767 
77     1.1138       6465       1391        213        279      0.167      0.567      0.808      0.695      0.767 
78     1.0941       6466       1390        212        280      0.168      0.569      0.808      0.696      0.767 
79     1.1055       6469       1387        209        283      0.169      0.575      0.809      0.699      0.768 
80     1.1089       6469       1387        209        283      0.169      0.575      0.809      0.699      0.768 
81     1.1123       6470       1386        208        284      0.170      0.577      0.809      0.700      0.768 
82     1.1043       6470       1386        208        284      0.170      0.577      0.809      0.700      0.768 
83     1.1046       6469       1387        209        283      0.169      0.575      0.809      0.699      0.768 
84     1.1015       6467       1389        211        281      0.168      0.571      0.808      0.697      0.767 
85     1.1057       6468       1388        210        282      0.169      0.573      0.809      0.698      0.767 
86     1.1007       6466       1390        212        280      0.168      0.569      0.808      0.696      0.768 
