# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3124       6410       1446        268        224      0.134      0.455      0.795      0.636      0.707 
2     1.2599       6412       1444        266        226      0.135      0.459      0.795      0.638      0.692 
3     1.2608       6378       1478        300        192      0.115      0.390      0.787      0.601      0.659 
4     1.2748       6375       1481        303        189      0.113      0.384      0.786      0.598      0.659 
5     1.2768       6400       1456        278        214      0.128      0.435      0.792      0.625      0.683 
6     1.2574       6416       1440        262        230      0.138      0.467      0.796      0.642      0.702 
7     1.2483       6412       1444        266        226      0.135      0.459      0.795      0.638      0.712 
8     1.2361       6413       1443        265        227      0.136      0.461      0.795      0.639      0.717 
9     1.2382       6412       1444        266        226      0.135      0.459      0.795      0.638      0.718 
10     1.2378       6415       1441        263        229      0.137      0.465      0.796      0.641      0.719 
11     1.2407       6414       1442        264        228      0.137      0.463      0.796      0.640      0.720 
12     1.2277       6416       1440        262        230      0.138      0.467      0.796      0.642      0.720 
13     1.2291       6417       1439        261        231      0.138      0.470      0.796      0.643      0.721 
14     1.2212       6419       1437        259        233      0.140      0.474      0.797      0.645      0.720 
15     1.2192       6420       1436        258        234      0.140      0.476      0.797      0.646      0.719 
16      1.215       6422       1434        256        236      0.141      0.480      0.798      0.649      0.717 
17      1.209       6421       1435        257        235      0.141      0.478      0.797      0.647      0.717 
18     1.2172       6422       1434        256        236      0.141      0.480      0.798      0.649      0.718 
19     1.2111       6420       1436        258        234      0.140      0.476      0.797      0.646      0.719 
20     1.2139       6420       1436        258        234      0.140      0.476      0.797      0.646      0.721 
21     1.2096       6418       1438        260        232      0.139      0.472      0.797      0.644      0.723 
22     1.2037       6419       1437        259        233      0.140      0.474      0.797      0.645      0.724 
23     1.2005       6420       1436        258        234      0.140      0.476      0.797      0.646      0.725 
24     1.1984       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
25     1.1969       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
26     1.1935       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
27     1.1906       6420       1436        258        234      0.140      0.476      0.797      0.646      0.725 
28     1.1847       6421       1435        257        235      0.141      0.478      0.797      0.647      0.724 
29     1.1807       6421       1435        257        235      0.141      0.478      0.797      0.647      0.723 
30     1.1863       6422       1434        256        236      0.141      0.480      0.798      0.649      0.722 
31     1.1908       6421       1435        257        235      0.141      0.478      0.797      0.647      0.722 
32     1.1828       6421       1435        257        235      0.141      0.478      0.797      0.647      0.723 
33     1.1792       6421       1435        257        235      0.141      0.478      0.797      0.647      0.724 
34      1.181       6419       1437        259        233      0.140      0.474      0.797      0.645      0.725 
35     1.1816       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
36     1.1789       6420       1436        258        234      0.140      0.476      0.797      0.646      0.726 
37     1.1669       6421       1435        257        235      0.141      0.478      0.797      0.647      0.726 
38     1.1668       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
39     1.1732       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
40     1.1735       6420       1436        258        234      0.140      0.476      0.797      0.646      0.724 
41     1.1744       6420       1436        258        234      0.140      0.476      0.797      0.646      0.724 
42     1.1753       6420       1436        258        234      0.140      0.476      0.797      0.646      0.724 
43     1.1675       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
44     1.1667       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
45     1.1641       6420       1436        258        234      0.140      0.476      0.797      0.646      0.725 
46     1.1635       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
47     1.1666       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
48     1.1653       6423       1433        255        237      0.142      0.482      0.798      0.650      0.725 
49     1.1589       6421       1435        257        235      0.141      0.478      0.797      0.647      0.725 
50     1.1584       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
51     1.1646       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
52     1.1647       6423       1433        255        237      0.142      0.482      0.798      0.650      0.725 
53     1.1519       6422       1434        256        236      0.141      0.480      0.798      0.649      0.725 
54     1.1627       6420       1436        258        234      0.140      0.476      0.797      0.646      0.725 
55     1.1607       6419       1437        259        233      0.140      0.474      0.797      0.645      0.726 
56     1.1612       6419       1437        259        233      0.140      0.474      0.797      0.645      0.726 
57     1.1577       6419       1437        259        233      0.140      0.474      0.797      0.645      0.726 
58     1.1593       6421       1435        257        235      0.141      0.478      0.797      0.647      0.726 
59     1.1496       6421       1435        257        235      0.141      0.478      0.797      0.647      0.726 
