# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.6249       1565        400        109         14      0.034      0.114      0.756      0.455      0.370 
Train:          1     1.6249       6235       1621        443         49      0.029      0.100      0.753      0.447      0.365 
All:          1     1.6249       7796       2025        552         63      0.030      0.102      0.753      0.448      0.366 
Test:          2     1.4003       1583        382         75         48      0.112      0.390      0.781      0.598      0.636 
Train:          2     1.4003       6352       1504        326        166      0.099      0.337      0.781      0.573      0.613 
All:          2     1.4003       7946       1875        402        213      0.102      0.346      0.782      0.578      0.618 
Test:          3     1.3092       1605        360         69         54      0.130      0.439      0.795      0.628      0.686 
Train:          3     1.3092       6382       1474        296        196      0.117      0.398      0.788      0.605      0.666 
All:          3     1.3092       7983       1838        365        250      0.120      0.407      0.789      0.610      0.670 
Test:          4     1.3011       1602        363         68         55      0.132      0.447      0.794      0.631      0.695 
Train:          4     1.3011       6391       1465        287        205      0.123      0.417      0.790      0.615      0.675 
All:          4     1.3011       7993       1828        355        260      0.125      0.423      0.791      0.618      0.679 
Test:          5     1.3378       1603        362         67         56      0.134      0.455      0.795      0.636      0.698 
Train:          5     1.3378       6395       1461        283        209      0.125      0.425      0.791      0.619      0.678 
All:          5     1.3378       7998       1823        350        265      0.127      0.431      0.792      0.623      0.682 
Test:          6     1.3722       1599        366         66         57      0.135      0.463      0.793      0.639      0.700 
Train:          6     1.3722       6396       1460        282        210      0.126      0.427      0.791      0.620      0.680 
All:          6     1.3722       7999       1822        349        266      0.127      0.433      0.792      0.623      0.684 
Test:          7     1.3699       1598        367         67         56      0.132      0.455      0.792      0.634      0.701 
Train:          7     1.3699       6398       1458        280        212      0.127      0.431      0.792      0.623      0.682 
All:          7     1.3699       8001       1820        347        268      0.128      0.436      0.792      0.625      0.686 
Test:          8     1.3541       1601        364         68         55      0.131      0.447      0.793      0.631      0.703 
Train:          8     1.3541       6394       1462        284        208      0.125      0.423      0.791      0.618      0.683 
All:          8     1.3541       7996       1825        352        263      0.126      0.428      0.791      0.621      0.687 
Test:          9     1.3274       1598        367         69         54      0.128      0.439      0.791      0.626      0.705 
Train:          9     1.3274       6393       1463        285        207      0.124      0.421      0.791      0.617      0.684 
All:          9     1.3274       7993       1828        355        260      0.125      0.423      0.791      0.618      0.689 
Test:         10     1.2956       1604        361         70         53      0.128      0.431      0.794      0.624      0.705 
Train:         10     1.2956       6393       1463        285        207      0.124      0.421      0.791      0.617      0.685 
All:         10     1.2956       7993       1828        355        260      0.125      0.423      0.791      0.618      0.689 
Test:         11     1.2643       1607        358         71         52      0.127      0.423      0.795      0.620      0.701 
Train:         11     1.2643       6392       1464        286        206      0.123      0.419      0.790      0.616      0.684 
All:         11     1.2643       7991       1830        357        258      0.124      0.420      0.790      0.617      0.687 
Test:         12     1.2714       1601        364         72         51      0.123      0.415      0.791      0.615      0.691 
Train:         12     1.2714       6380       1476        298        194      0.116      0.394      0.787      0.603      0.675 
All:         12     1.2714       7978       1843        370        245      0.117      0.398      0.788      0.605      0.678 
Test:         13     1.2625       1594        371         76         47      0.112      0.382      0.786      0.597      0.671 
Train:         13     1.2625       6366       1490        312        180      0.108      0.366      0.784      0.588      0.655 
All:         13     1.2625       7960       1861        388        227      0.109      0.369      0.784      0.590      0.658 
Test:         14     1.2852       1596        369         80         43      0.104      0.350      0.785      0.581      0.653 
Train:         14     1.2852       6350       1506        328        164      0.098      0.333      0.780      0.571      0.639 
All:         14     1.2852       7940       1881        408        207      0.099      0.337      0.781      0.573      0.641 
Test:         15     1.2854       1599        366         81         42      0.103      0.341      0.786      0.578      0.651 
Train:         15     1.2854       6350       1506        328        164      0.098      0.333      0.780      0.571      0.638 
All:         15     1.2854       7940       1881        408        207      0.099      0.337      0.781      0.573      0.640 
Test:         16      1.284       1598        367         76         47      0.114      0.382      0.788      0.598      0.668 
Train:         16      1.284       6363       1493        315        177      0.106      0.360      0.783      0.585      0.653 
All:         16      1.284       7957       1864        391        224      0.107      0.364      0.784      0.587      0.656 
Test:         17     1.2752       1601        364         69         54      0.129      0.439      0.793      0.627      0.689 
Train:         17     1.2752       6376       1480        302        190      0.114      0.386      0.787      0.599      0.673 
All:         17     1.2752       7977       1844        371        244      0.117      0.397      0.788      0.604      0.676 
Test:         18     1.2754       1617        348         71         52      0.130      0.423      0.799      0.623      0.705 
Train:         18     1.2754       6393       1463        285        207      0.124      0.421      0.791      0.617      0.690 
All:         18     1.2754       7993       1828        355        260      0.125      0.423      0.791      0.618      0.693 
Test:         19     1.2648       1605        360         67         56      0.135      0.455      0.795      0.636      0.715 
Train:         19     1.2648       6401       1455        277        215      0.129      0.437      0.793      0.626      0.699 
All:         19     1.2648       8004       1817        344        271      0.130      0.441      0.793      0.628      0.703 
Test:         20     1.2614       1616        349         67         56      0.138      0.455      0.801      0.639      0.721 
Train:         20     1.2614       6406       1450        272        220      0.132      0.447      0.794      0.631      0.704 
All:         20     1.2614       8010       1811        338        277      0.133      0.450      0.794      0.633      0.708 
Test:         21     1.2538       1607        358         67         56      0.135      0.455      0.796      0.637      0.724 
Train:         21     1.2538       6404       1452        274        218      0.131      0.443      0.793      0.629      0.707 
All:         21     1.2538       8008       1813        340        275      0.132      0.447      0.794      0.631      0.710 
Test:         22     1.2468       1608        357         67         56      0.136      0.455      0.797      0.637      0.725 
Train:         22     1.2468       6404       1452        274        218      0.131      0.443      0.793      0.629      0.709 
All:         22     1.2468       8007       1814        341        274      0.131      0.446      0.794      0.630      0.712 
Test:         23     1.2567       1607        358         67         56      0.135      0.455      0.796      0.637      0.726 
Train:         23     1.2567       6406       1450        272        220      0.132      0.447      0.794      0.631      0.710 
All:         23     1.2567       8009       1812        339        276      0.132      0.449      0.794      0.632      0.713 
Test:         24     1.2537       1606        359         67         56      0.135      0.455      0.796      0.636      0.726 
Train:         24     1.2537       6405       1451        273        219      0.131      0.445      0.793      0.630      0.711 
All:         24     1.2537       8008       1813        340        275      0.132      0.447      0.794      0.631      0.714 
Test:         25     1.2495       1605        360         66         57      0.137      0.463      0.796      0.640      0.727 
Train:         25     1.2495       6405       1451        273        219      0.131      0.445      0.793      0.630      0.713 
All:         25     1.2495       8009       1812        339        276      0.132      0.449      0.794      0.632      0.716 
Test:         26     1.2418       1608        357         66         57      0.138      0.463      0.797      0.641      0.729 
Train:         26     1.2418       6404       1452        274        218      0.131      0.443      0.793      0.629      0.714 
All:         26     1.2418       8008       1813        340        275      0.132      0.447      0.794      0.631      0.717 
Test:         27     1.2421       1609        356         65         58      0.140      0.472      0.798      0.645      0.730 
Train:         27     1.2421       6409       1447        269        223      0.134      0.453      0.794      0.635      0.715 
