# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4113       7944       1877        404        211      0.101      0.343      0.781      0.576      0.601 
2     1.3292       7890       1931        458        157      0.075      0.255      0.771      0.529      0.550 
3     1.3127       7843       1978        505        110      0.053      0.179      0.762      0.489      0.485 
4     1.3251       7844       1977        504        111      0.053      0.180      0.762      0.490      0.481 
5     1.3126       7871       1950        477        138      0.066      0.224      0.767      0.513      0.517 
6     1.3184       7918       1903        430        185      0.089      0.301      0.776      0.554      0.575 
7     1.3009       7955       1866        393        222      0.106      0.361      0.784      0.585      0.617 
8     1.2696       7971       1850        377        238      0.114      0.387      0.787      0.599      0.640 
9     1.2794       7987       1834        361        254      0.122      0.413      0.790      0.613      0.655 
10     1.2753       7996       1825        352        263      0.126      0.428      0.791      0.621      0.665 
11      1.273       8000       1821        348        267      0.128      0.434      0.792      0.624      0.673 
12     1.2692       8006       1815        342        273      0.131      0.444      0.793      0.630      0.680 
13     1.2631       8004       1817        344        271      0.130      0.441      0.793      0.628      0.687 
14     1.2448       8000       1821        348        267      0.128      0.434      0.792      0.624      0.693 
15     1.2392       8008       1813        340        275      0.132      0.447      0.794      0.631      0.699 
16     1.2319       8016       1805        332        283      0.136      0.460      0.795      0.638      0.704 
17      1.227       8017       1804        331        284      0.136      0.462      0.795      0.639      0.708 
18     1.2343       8020       1801        328        287      0.137      0.467      0.796      0.642      0.713 
19     1.2206       8025       1796        323        292      0.140      0.475      0.797      0.646      0.717 
20     1.2221       8023       1798        325        290      0.139      0.472      0.797      0.644      0.721 
21     1.2116       8027       1794        321        294      0.141      0.478      0.797      0.648      0.724 
22      1.201       8026       1795        322        293      0.140      0.476      0.797      0.647      0.727 
23     1.1993       8027       1794        321        294      0.141      0.478      0.797      0.648      0.728 
24     1.2011       8028       1793        320        295      0.141      0.480      0.798      0.649      0.730 
25     1.1977       8029       1792        319        296      0.142      0.481      0.798      0.649      0.731 
26     1.1903       8029       1792        319        296      0.142      0.481      0.798      0.649      0.733 
27      1.182       8028       1793        320        295      0.141      0.480      0.798      0.649      0.734 
28      1.186       8028       1793        320        295      0.141      0.480      0.798      0.649      0.734 
29     1.1785       8026       1795        322        293      0.140      0.476      0.797      0.647      0.734 
30      1.182       8030       1791        318        297      0.142      0.483      0.798      0.650      0.734 
31     1.1807       8030       1791        318        297      0.142      0.483      0.798      0.650      0.734 
32     1.1739       8030       1791        318        297      0.142      0.483      0.798      0.650      0.735 
33     1.1652       8031       1790        317        298      0.143      0.485      0.798      0.651      0.736 
34     1.1637       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
35     1.1622       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
36     1.1575       8033       1788        315        300      0.144      0.488      0.798      0.653      0.736 
37     1.1664       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
38     1.1541       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
39     1.1656       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
40     1.1542       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
41     1.1575       8031       1790        317        298      0.143      0.485      0.798      0.651      0.735 
42     1.1477       8032       1789        316        299      0.143      0.486      0.798      0.652      0.735 
43     1.1494       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
44     1.1396       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
45     1.1469       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
46     1.1373       8031       1790        317        298      0.143      0.485      0.798      0.651      0.736 
47     1.1458       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
48     1.1447       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
49     1.1388       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
50     1.1371       8033       1788        315        300      0.144      0.488      0.798      0.653      0.735 
51      1.148       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
52     1.1403       8032       1789        316        299      0.143      0.486      0.798      0.652      0.735 
53     1.1362       8032       1789        316        299      0.143      0.486      0.798      0.652      0.736 
54      1.135       8031       1790        317        298      0.143      0.485      0.798      0.651      0.736 
55     1.1362       8033       1788        315        300      0.144      0.488      0.798      0.653      0.736 
56     1.1314       8034       1787        314        301      0.144      0.489      0.799      0.654      0.736 
57     1.1383       8033       1788        315        300      0.144      0.488      0.798      0.653      0.736 
58     1.1377       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
59     1.1366       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
60     1.1371       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
61     1.1188       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
62     1.1274       8036       1785        312        303      0.145      0.493      0.799      0.655      0.735 
63     1.1306       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
64     1.1296       8032       1789        316        299      0.143      0.486      0.798      0.652      0.735 
65     1.1251       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
66     1.1308       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
67     1.1256       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
68     1.1289       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
69     1.1293       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
70     1.1316       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
71     1.1292       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
72     1.1253       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
73     1.1198       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
74     1.1298       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
75     1.1288       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
76     1.1197       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
77     1.1328       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
78     1.1168       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
79     1.1284       8035       1786        313        302      0.145      0.491      0.799      0.655      0.735 
80     1.1127       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
81     1.1272       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
82      1.119       8033       1788        315        300      0.144      0.488      0.798      0.653      0.735 
83     1.1256       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
84     1.1304       8033       1788        315        300      0.144      0.488      0.798      0.653      0.735 
85     1.1315       8033       1788        315        300      0.144      0.488      0.798      0.653      0.735 
