# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4508       7795       2026        553         62      0.030      0.101      0.753      0.447      0.374 
2     1.3833       7797       2024        551         64      0.031      0.104      0.753      0.449      0.381 
3       1.38       7907       1914        441        174      0.083      0.283      0.774      0.544      0.579 
4        1.3       7979       1842        369        246      0.118      0.400      0.788      0.606      0.664 
5      1.283       8003       1818        345        270      0.129      0.439      0.793      0.627      0.679 
6     1.2891       8004       1817        344        271      0.130      0.441      0.793      0.628      0.687 
7     1.2853       8007       1814        341        274      0.131      0.446      0.794      0.630      0.695 
8     1.2631       8005       1816        343        272      0.130      0.442      0.793      0.629      0.698 
9     1.2378       7996       1825        352        263      0.126      0.428      0.791      0.621      0.683 
10     1.2368       7972       1849        376        239      0.114      0.389      0.787      0.600      0.664 
11      1.254       7980       1841        368        247      0.118      0.402      0.788      0.607      0.671 
12     1.2472       8003       1818        345        270      0.129      0.439      0.793      0.627      0.694 
13     1.2189       8014       1807        334        281      0.135      0.457      0.795      0.636      0.708 
14     1.2125       8013       1808        335        280      0.134      0.455      0.795      0.636      0.714 
15     1.2299       8012       1809        336        279      0.134      0.454      0.794      0.635      0.716 
16     1.2237       8012       1809        336        279      0.134      0.454      0.794      0.635      0.717 
17      1.211       8014       1807        334        281      0.135      0.457      0.795      0.636      0.715 
18     1.1983       8014       1807        334        281      0.135      0.457      0.795      0.636      0.708 
19     1.1933       8009       1812        339        276      0.132      0.449      0.794      0.632      0.700 
20     1.1978       8009       1812        339        276      0.132      0.449      0.794      0.632      0.701 
21     1.2065       8020       1801        328        287      0.137      0.467      0.796      0.642      0.711 
22     1.1827       8022       1799        326        289      0.138      0.470      0.796      0.643      0.719 
23     1.1874       8025       1796        323        292      0.140      0.475      0.797      0.646      0.724 
24     1.1963       8025       1796        323        292      0.140      0.475      0.797      0.646      0.725 
25     1.1901       8025       1796        323        292      0.140      0.475      0.797      0.646      0.724 
26     1.1769       8025       1796        323        292      0.140      0.475      0.797      0.646      0.720 
27     1.1756       8025       1796        323        292      0.140      0.475      0.797      0.646      0.717 
28     1.1738       8026       1795        322        293      0.140      0.476      0.797      0.647      0.720 
29     1.1725       8024       1797        324        291      0.139      0.473      0.797      0.645      0.727 
30     1.1599       8027       1794        321        294      0.141      0.478      0.797      0.648      0.732 
31     1.1569       8026       1795        322        293      0.140      0.476      0.797      0.647      0.732 
32     1.1545       8026       1795        322        293      0.140      0.476      0.797      0.647      0.731 
33      1.167       8027       1794        321        294      0.141      0.478      0.797      0.648      0.729 
34     1.1662       8027       1794        321        294      0.141      0.478      0.797      0.648      0.730 
35     1.1545       8028       1793        320        295      0.141      0.480      0.798      0.649      0.733 
36     1.1471       8033       1788        315        300      0.144      0.488      0.798      0.653      0.736 
37      1.156       8032       1789        316        299      0.143      0.486      0.798      0.652      0.737 
38     1.1354       8028       1793        320        295      0.141      0.480      0.798      0.649      0.736 
39     1.1461       8034       1787        314        301      0.144      0.489      0.799      0.654      0.734 
40     1.1397       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
41     1.1458       8038       1783        310        305      0.146      0.496      0.799      0.657      0.739 
42     1.1415       8040       1781        308        307      0.147      0.499      0.800      0.659      0.741 
43     1.1444       8039       1782        309        306      0.147      0.498      0.800      0.658      0.742 
44     1.1457       8040       1781        308        307      0.147      0.499      0.800      0.659      0.740 
45       1.14       8039       1782        309        306      0.147      0.498      0.800      0.658      0.739 
46     1.1402       8041       1780        307        308      0.148      0.501      0.800      0.660      0.740 
47     1.1348       8046       1775        302        313      0.150      0.509      0.801      0.664      0.742 
48     1.1395       8046       1775        302        313      0.150      0.509      0.801      0.664      0.743 
49     1.1367       8044       1777        304        311      0.149      0.506      0.801      0.662      0.743 
50     1.1413       8043       1778        305        310      0.148      0.504      0.800      0.662      0.742 
51     1.1381       8042       1779        306        309      0.148      0.502      0.800      0.661      0.743 
