# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3491       6330       1526        348        144      0.086      0.293      0.776      0.549      0.599 
2     1.3168       6402       1454        276        216      0.129      0.439      0.793      0.627      0.701 
3     1.3155       6401       1455        277        215      0.129      0.437      0.793      0.626      0.710 
4     1.2497       6353       1503        325        167      0.100      0.339      0.781      0.574      0.629 
5     1.2904       6386       1470        292        200      0.120      0.407      0.789      0.610      0.690 
6     1.2532       6421       1435        257        235      0.141      0.478      0.797      0.647      0.729 
7     1.2255       6428       1428        250        242      0.145      0.492      0.799      0.655      0.735 
8     1.2305       6428       1428        250        242      0.145      0.492      0.799      0.655      0.737 
9     1.2228       6423       1433        255        237      0.142      0.482      0.798      0.650      0.733 
10     1.1986       6392       1464        286        206      0.123      0.419      0.790      0.616      0.709 
11      1.209       6393       1463        285        207      0.124      0.421      0.791      0.617      0.708 
12     1.2135       6417       1439        261        231      0.138      0.470      0.796      0.643      0.731 
13     1.1805       6430       1426        248        244      0.146      0.496      0.799      0.657      0.740 
14     1.1857       6430       1426        248        244      0.146      0.496      0.799      0.657      0.741 
15     1.1977       6431       1425        247        245      0.147      0.498      0.800      0.658      0.740 
16     1.1731       6425       1431        253        239      0.143      0.486      0.798      0.652      0.734 
17     1.1758       6414       1442        264        228      0.137      0.463      0.796      0.640      0.724 
18     1.1731       6425       1431        253        239      0.143      0.486      0.798      0.652      0.729 
19     1.1854       6430       1426        248        244      0.146      0.496      0.799      0.657      0.739 
20     1.1664       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
21     1.1728       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
22     1.1592       6433       1423        245        247      0.148      0.502      0.800      0.660      0.741 
23     1.1536       6429       1427        249        243      0.146      0.494      0.799      0.656      0.735 
24     1.1585       6427       1429        251        241      0.144      0.490      0.799      0.654      0.733 
25     1.1791       6435       1421        243        249      0.149      0.506      0.801      0.663      0.741 
26     1.1581       6439       1417        239        253      0.151      0.514      0.802      0.667      0.746 
27     1.1561       6438       1418        240        252      0.151      0.512      0.801      0.666      0.747 
28     1.1614       6437       1419        241        251      0.150      0.510      0.801      0.665      0.745 
29     1.1552       6433       1423        245        247      0.148      0.502      0.800      0.660      0.741 
30     1.1485       6431       1425        247        245      0.147      0.498      0.800      0.658      0.738 
31     1.1539       6435       1421        243        249      0.149      0.506      0.801      0.663      0.742 
32     1.1482       6437       1419        241        251      0.150      0.510      0.801      0.665      0.746 
33     1.1385       6434       1422        244        248      0.149      0.504      0.800      0.662      0.748 
34     1.1436       6436       1420        242        250      0.150      0.508      0.801      0.664      0.747 
35     1.1408       6436       1420        242        250      0.150      0.508      0.801      0.664      0.745 
36     1.1409       6429       1427        249        243      0.146      0.494      0.799      0.656      0.742 
37     1.1462       6429       1427        249        243      0.146      0.494      0.799      0.656      0.742 
38     1.1484       6435       1421        243        249      0.149      0.506      0.801      0.663      0.745 
39     1.1425       6437       1419        241        251      0.150      0.510      0.801      0.665      0.748 
40     1.1383       6435       1421        243        249      0.149      0.506      0.801      0.663      0.749 
41      1.146       6438       1418        240        252      0.151      0.512      0.801      0.666      0.748 
