# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gcn2.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3239       1588        377         67         56      0.129      0.455      0.787      0.632      0.731 
Train:          1     1.3239       6413       1443        265        227      0.136      0.461      0.795      0.639      0.714 
All:          1     1.3239       8014       1807        334        281      0.135      0.457      0.795      0.636      0.717 
Test:          2     1.3387       1638        327         86         37      0.102      0.301      0.802      0.567      0.618 
Train:          2     1.3387       6332       1524        346        146      0.087      0.297      0.776      0.551      0.616 
All:          2     1.3387       7923       1898        425        190      0.091      0.309      0.777      0.558      0.616 
Test:          3     1.2848       1638        327         85         38      0.104      0.309      0.803      0.571      0.621 
Train:          3     1.2848       6336       1520        342        150      0.090      0.305      0.777      0.556      0.619 
All:          3     1.2848       7924       1897        424        191      0.091      0.311      0.778      0.559      0.619 
Test:          4     1.2864       1600        365         63         60      0.141      0.488      0.795      0.651      0.745 
Train:          4     1.2864       6412       1444        266        226      0.135      0.459      0.795      0.638      0.720 
All:          4     1.2864       8017       1804        331        284      0.136      0.462      0.795      0.639      0.725 
Test:          5     1.2396       1601        364         55         68      0.157      0.553      0.799      0.684      0.751 
Train:          5     1.2396       6425       1431        253        239      0.143      0.486      0.798      0.652      0.731 
All:          5     1.2396       8039       1782        309        306      0.147      0.498      0.800      0.658      0.735 
Test:          6     1.2462       1603        362         55         68      0.158      0.553      0.800      0.684      0.752 
Train:          6     1.2462       6426       1430        252        240      0.144      0.488      0.799      0.653      0.732 
All:          6     1.2462       8040       1781        308        307      0.147      0.499      0.800      0.659      0.736 
Test:          7     1.2428       1591        374         60         63      0.144      0.512      0.792      0.661      0.752 
Train:          7     1.2428       6420       1436        258        234      0.140      0.476      0.797      0.646      0.727 
All:          7     1.2428       8029       1792        319        296      0.142      0.481      0.798      0.649      0.732 
Test:          8     1.2187       1609        356         66         57      0.138      0.463      0.798      0.641      0.733 
Train:          8     1.2187       6408       1448        270        222      0.133      0.451      0.794      0.633      0.707 
All:          8     1.2187       8012       1809        336        279      0.134      0.454      0.794      0.635      0.713 
Test:          9     1.2274       1610        355         68         55      0.134      0.447      0.797      0.633      0.726 
Train:          9     1.2274       6405       1451        273        219      0.131      0.445      0.793      0.630      0.701 
All:          9     1.2274       8007       1814        341        274      0.131      0.446      0.794      0.630      0.706 
Test:         10     1.1951       1598        367         63         60      0.141      0.488      0.794      0.651      0.745 
Train:         10     1.1951       6418       1438        260        232      0.139      0.472      0.797      0.644      0.718 
All:         10     1.1951       8025       1796        323        292      0.140      0.475      0.797      0.646      0.723 
Test:         11     1.2059       1586        379         58         65      0.146      0.528      0.791      0.668      0.756 
Train:         11     1.2059       6425       1431        253        239      0.143      0.486      0.798      0.652      0.731 
All:         11     1.2059       8035       1786        313        302      0.145      0.491      0.799      0.655      0.736 
Test:         12     1.1889       1591        374         54         69      0.156      0.561      0.795      0.685      0.757 
Train:         12     1.1889       6429       1427        249        243      0.146      0.494      0.799      0.656      0.733 
All:         12     1.1889       8043       1778        305        310      0.148      0.504      0.800      0.662      0.738 
Test:         13      1.201       1587        378         53         70      0.156      0.569      0.794      0.688      0.758 
Train:         13      1.201       6430       1426        248        244      0.146      0.496      0.799      0.657      0.732 
All:         13      1.201       8042       1779        306        309      0.148      0.502      0.800      0.661      0.737 
Test:         14     1.1849       1595        370         58         65      0.149      0.528      0.795      0.670      0.756 
Train:         14     1.1849       6426       1430        252        240      0.144      0.488      0.799      0.653      0.727 
All:         14     1.1849       8035       1786        313        302      0.145      0.491      0.799      0.655      0.733 
Test:         15      1.178       1600        365         60         63      0.147      0.512      0.796      0.663      0.751 
Train:         15      1.178       6419       1437        259        233      0.140      0.474      0.797      0.645      0.721 
All:         15      1.178       8028       1793        320        295      0.141      0.480      0.798      0.649      0.727 
Test:         16     1.1753       1603        362         59         64      0.150      0.520      0.798      0.668      0.752 
Train:         16     1.1753       6419       1437        259        233      0.140      0.474      0.797      0.645      0.721 
All:         16     1.1753       8029       1792        319        296      0.142      0.481      0.798      0.649      0.727 
Test:         17     1.1803       1599        366         57         66      0.153      0.537      0.797      0.675      0.758 
Train:         17     1.1803       6427       1429        251        241      0.144      0.490      0.799      0.654      0.729 
All:         17     1.1803       8040       1781        308        307      0.147      0.499      0.800      0.659      0.735 
Test:         18     1.1713       1604        361         56         67      0.157      0.545      0.800      0.681      0.761 
Train:         18     1.1713       6430       1426        248        244      0.146      0.496      0.799      0.657      0.734 
All:         18     1.1713       8042       1779        306        309      0.148      0.502      0.800      0.661      0.739 
Test:         19     1.1815       1602        363         56         67      0.156      0.545      0.799      0.680      0.761 
Train:         19     1.1815       6430       1426        248        244      0.146      0.496      0.799      0.657      0.734 
All:         19     1.1815       8043       1778        305        310      0.148      0.504      0.800      0.662      0.739 
Test:         20     1.1589       1599        366         57         66      0.153      0.537      0.797      0.675      0.761 
Train:         20     1.1589       6429       1427        249        243      0.146      0.494      0.799      0.656      0.731 
All:         20     1.1589       8040       1781        308        307      0.147      0.499      0.800      0.659      0.737 
Test:         21     1.1629       1597        368         56         67      0.154      0.545      0.797      0.679      0.759 
Train:         21     1.1629       6431       1425        247        245      0.147      0.498      0.800      0.658      0.728 
All:         21     1.1629       8043       1778        305        310      0.148      0.504      0.800      0.662      0.735 
Test:         22     1.1582       1600        365         56         67      0.155      0.545      0.798      0.679      0.760 
Train:         22     1.1582       6430       1426        248        244      0.146      0.496      0.799      0.657      0.729 
All:         22     1.1582       8042       1779        306        309      0.148      0.502      0.800      0.661      0.735 
Test:         23     1.1675       1608        357         55         68      0.160      0.553      0.803      0.686      0.762 
Train:         23     1.1675       6429       1427        249        243      0.146      0.494      0.799      0.656      0.732 
All:         23     1.1675       8043       1778        305        310      0.148      0.504      0.800      0.662      0.738 
Test:         24     1.1463       1605        360         55         68      0.159      0.553      0.801      0.685      0.763 
Train:         24     1.1463       6430       1426        248        244      0.146      0.496      0.799      0.657      0.734 
All:         24     1.1463       8044       1777        304        311      0.149      0.506      0.801      0.662      0.740 
Test:         25     1.1412       1609        356         55         68      0.160      0.553      0.803      0.686      0.762 
Train:         25     1.1412       6429       1427        249        243      0.146      0.494      0.799      0.656      0.734 
All:         25     1.1412       8044       1777        304        311      0.149      0.506      0.801      0.662      0.740 
Test:         26     1.1776       1605        360         55         68      0.159      0.553      0.801      0.685      0.762 
Train:         26     1.1776       6429       1427        249        243      0.146      0.494      0.799      0.656      0.733 
All:         26     1.1776       8044       1777        304        311      0.149      0.506      0.801      0.662      0.739 
Test:         27     1.1582       1606        359         54         69      0.161      0.561      0.802      0.689      0.763 
Train:         27     1.1582       6427       1429        251        241      0.144      0.490      0.799      0.654      0.734 
All:         27     1.1582       8043       1778        305        310      0.148      0.504      0.800      0.662      0.740 
