# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      1.347       8003       1818        345        270      0.129      0.439      0.793      0.627      0.682 
2     1.2854       7992       1829        356        259      0.124      0.421      0.791      0.617      0.659 
3     1.2723       7953       1868        395        220      0.105      0.358      0.783      0.584      0.653 
4     1.2552       7991       1830        357        258      0.124      0.420      0.790      0.617      0.661 
5     1.2378       7995       1826        353        262      0.125      0.426      0.791      0.620      0.672 
6     1.2272       8000       1821        348        267      0.128      0.434      0.792      0.624      0.683 
7      1.221       8003       1818        345        270      0.129      0.439      0.793      0.627      0.687 
8     1.2143       8008       1813        340        275      0.132      0.447      0.794      0.631      0.692 
9     1.2009       8022       1799        326        289      0.138      0.470      0.796      0.643      0.695 
10     1.2069       8022       1799        326        289      0.138      0.470      0.796      0.643      0.696 
11     1.1944       8022       1799        326        289      0.138      0.470      0.796      0.643      0.698 
12     1.1903       8027       1794        321        294      0.141      0.478      0.797      0.648      0.701 
13     1.1832       8030       1791        318        297      0.142      0.483      0.798      0.650      0.702 
14     1.1832       8032       1789        316        299      0.143      0.486      0.798      0.652      0.705 
15     1.1788       8032       1789        316        299      0.143      0.486      0.798      0.652      0.708 
16      1.187       8033       1788        315        300      0.144      0.488      0.798      0.653      0.712 
17     1.1709       8032       1789        316        299      0.143      0.486      0.798      0.652      0.717 
18     1.1698       8033       1788        315        300      0.144      0.488      0.798      0.653      0.720 
19     1.1659       8035       1786        313        302      0.145      0.491      0.799      0.655      0.723 
20     1.1677       8034       1787        314        301      0.144      0.489      0.799      0.654      0.726 
21     1.1526       8030       1791        318        297      0.142      0.483      0.798      0.650      0.726 
22     1.1442       8036       1785        312        303      0.145      0.493      0.799      0.655      0.729 
23     1.1503       8034       1787        314        301      0.144      0.489      0.799      0.654      0.736 
24      1.163       8035       1786        313        302      0.145      0.491      0.799      0.655      0.737 
25     1.1407       8039       1782        309        306      0.147      0.498      0.800      0.658      0.733 
26      1.138       8040       1781        308        307      0.147      0.499      0.800      0.659      0.732 
27     1.1439       8035       1786        313        302      0.145      0.491      0.799      0.655      0.737 
28     1.1412       8033       1788        315        300      0.144      0.488      0.798      0.653      0.741 
29     1.1448       8033       1788        315        300      0.144      0.488      0.798      0.653      0.739 
30     1.1404       8036       1785        312        303      0.145      0.493      0.799      0.655      0.737 
