# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3208       1607        358         79         44      0.109      0.358      0.791      0.588      0.639 
Train:          1     1.3208       6379       1477        299        193      0.116      0.392      0.787      0.602      0.684 
All:          1     1.3208       7972       1849        376        239      0.114      0.389      0.787      0.600      0.675 
Test:          2     1.2782       1603        362         73         50      0.121      0.407      0.792      0.611      0.658 
Train:          2     1.2782       6397       1459        281        211      0.126      0.429      0.792      0.622      0.693 
All:          2     1.2782       7997       1824        351        264      0.126      0.429      0.792      0.622      0.686 
Test:          3     1.2578       1605        360         74         49      0.120      0.398      0.792      0.608      0.659 
Train:          3     1.2578       6396       1460        282        210      0.126      0.427      0.791      0.620      0.694 
All:          3     1.2578       7992       1829        356        259      0.124      0.421      0.791      0.617      0.687 
Test:          4     1.2436       1609        356         75         48      0.119      0.390      0.794      0.605      0.660 
Train:          4     1.2436       6396       1460        282        210      0.126      0.427      0.791      0.620      0.694 
All:          4     1.2436       7993       1828        355        260      0.125      0.423      0.791      0.618      0.688 
Test:          5     1.2272       1608        357         74         49      0.121      0.398      0.794      0.608      0.662 
Train:          5     1.2272       6398       1458        280        212      0.127      0.431      0.792      0.623      0.696 
All:          5     1.2272       7996       1825        352        263      0.126      0.428      0.791      0.621      0.689 
Test:          6     1.2271       1610        355         74         49      0.121      0.398      0.795      0.609      0.669 
Train:          6     1.2271       6403       1453        275        217      0.130      0.441      0.793      0.628      0.701 
All:          6     1.2271       8000       1821        348        267      0.128      0.434      0.792      0.624      0.695 
Test:          7     1.2111       1621        344         68         55      0.138      0.447      0.803      0.636      0.679 
Train:          7     1.2111       6424       1432        254        238      0.143      0.484      0.798      0.651      0.713 
All:          7     1.2111       8029       1792        319        296      0.142      0.481      0.798      0.649      0.706 
Test:          8     1.2085       1644        321         71         52      0.139      0.423      0.812      0.630      0.687 
Train:          8     1.2085       6430       1426        248        244      0.146      0.496      0.799      0.657      0.723 
All:          8     1.2085       8033       1788        314        301      0.144      0.489      0.799      0.654      0.716 
Test:          9     1.2058       1636        329         72         51      0.134      0.415      0.808      0.624      0.678 
Train:          9     1.2058       6427       1429        251        241      0.144      0.490      0.799      0.654      0.713 
All:          9     1.2058       8026       1795        322        293      0.140      0.476      0.797      0.647      0.706 
Test:         10     1.2024       1646        319         71         52      0.140      0.423      0.813      0.630      0.683 
Train:         10     1.2024       6430       1426        248        244      0.146      0.496      0.799      0.657      0.721 
