# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gin.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1       1.32       6398       1458        280        212      0.127      0.431      0.792      0.623      0.681 
2     1.2721       6391       1465        287        205      0.123      0.417      0.790      0.615      0.676 
3     1.2323       6394       1462        284        208      0.125      0.423      0.791      0.618      0.677 
4     1.2199       6393       1463        285        207      0.124      0.421      0.791      0.617      0.691 
5     1.2135       6394       1462        284        208      0.125      0.423      0.791      0.618      0.698 
6     1.2031       6403       1453        275        217      0.130      0.441      0.793      0.628      0.705 
7     1.1924       6418       1438        260        232      0.139      0.472      0.797      0.644      0.714 
8     1.1817       6428       1428        250        242      0.145      0.492      0.799      0.655      0.719 
9     1.1789       6432       1424        246        246      0.147      0.500      0.800      0.659      0.721 
10     1.1687       6431       1425        247        245      0.147      0.498      0.800      0.658      0.718 
11     1.1621       6436       1420        242        250      0.150      0.508      0.801      0.664      0.722 
12     1.1582       6430       1426        248        244      0.146      0.496      0.799      0.657      0.727 
13     1.1517       6435       1421        243        249      0.149      0.506      0.801      0.663      0.726 
14     1.1593       6433       1423        245        247      0.148      0.502      0.800      0.660      0.727 
15     1.1552       6432       1424        246        246      0.147      0.500      0.800      0.659      0.727 
16     1.1555       6434       1422        244        248      0.149      0.504      0.800      0.662      0.729 
17     1.1505       6430       1426        248        244      0.146      0.496      0.799      0.657      0.730 
18     1.1448       6428       1428        250        242      0.145      0.492      0.799      0.655      0.734 
19     1.1523       6428       1428        250        242      0.145      0.492      0.799      0.655      0.735 
20     1.1529       6430       1426        248        244      0.146      0.496      0.799      0.657      0.732 
21     1.1393       6428       1428        250        242      0.145      0.492      0.799      0.655      0.736 
22      1.147       6433       1423        245        247      0.148      0.502      0.800      0.660      0.735 
23     1.1395       6433       1423        245        247      0.148      0.502      0.800      0.660      0.739 
24     1.1438       6432       1424        246        246      0.147      0.500      0.800      0.659      0.740 
25     1.1423       6433       1423        245        247      0.148      0.502      0.800      0.660      0.732 
26     1.1346       6423       1433        255        237      0.142      0.482      0.798      0.650      0.728 
27     1.1457       6431       1425        247        245      0.147      0.498      0.800      0.658      0.733 
28     1.1358       6436       1420        242        250      0.150      0.508      0.801      0.664      0.736 
29     1.1363       6413       1443        265        227      0.136      0.461      0.795      0.639      0.729 
30      1.133       6410       1446        268        224      0.134      0.455      0.795      0.636      0.726 
31     1.1329       6415       1441        263        229      0.137      0.465      0.796      0.641      0.729 
32     1.1348       6436       1420        242        250      0.150      0.508      0.801      0.664      0.736 
33     1.1296       6433       1423        245        247      0.148      0.502      0.800      0.660      0.734 
34     1.1341       6425       1431        253        239      0.143      0.486      0.798      0.652      0.731 
35     1.1355       6431       1425        247        245      0.147      0.498      0.800      0.658      0.734 
36     1.1368       6439       1417        239        253      0.151      0.514      0.802      0.667      0.738 
37     1.1342       6428       1428        250        242      0.145      0.492      0.799      0.655      0.733 
38     1.1241       6427       1429        251        241      0.144      0.490      0.799      0.654      0.732 
39     1.1282       6437       1419        241        251      0.150      0.510      0.801      0.665      0.738 
40     1.1151       6435       1421        243        249      0.149      0.506      0.801      0.663      0.738 
41     1.1213       6429       1427        249        243      0.146      0.494      0.799      0.656      0.736 
42     1.1139       6420       1436        258        234      0.140      0.476      0.797      0.646      0.734 
43      1.136       6435       1421        243        249      0.149      0.506      0.801      0.663      0.740 
44     1.1309       6419       1437        259        233      0.140      0.474      0.797      0.645      0.735 
45     1.1147       6417       1439        261        231      0.138      0.470      0.796      0.643      0.733 
46     1.1149       6425       1431        253        239      0.143      0.486      0.798      0.652      0.737 
47     1.1157       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
48     1.1239       6436       1420        242        250      0.150      0.508      0.801      0.664      0.741 
49     1.1103       6437       1419        241        251      0.150      0.510      0.801      0.665      0.743 
50     1.1116       6440       1416        238        254      0.152      0.516      0.802      0.668      0.750 
51     1.1156       6439       1417        239        253      0.151      0.514      0.802      0.667      0.749 
52     1.1106       6438       1418        240        252      0.151      0.512      0.801      0.666      0.747 
53     1.1101       6439       1417        239        253      0.151      0.514      0.802      0.667      0.751 
54     1.1123       6437       1419        241        251      0.150      0.510      0.801      0.665      0.754 
55     1.1066       6435       1421        243        249      0.149      0.506      0.801      0.663      0.751 
56     1.1127       6439       1417        239        253      0.151      0.514      0.802      0.667      0.756 
57     1.0993       6437       1419        241        251      0.150      0.510      0.801      0.665      0.760 
