# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.5875       1607        358         68         55      0.133      0.447      0.796      0.632      0.723 
Train:          1     1.5875       6418       1438        260        232      0.139      0.472      0.797      0.644      0.719 
All:          1     1.5875       8020       1801        328        287      0.137      0.467      0.796      0.642      0.719 
Test:          2      2.721       1614        351         71         52      0.129      0.423      0.798      0.622      0.709 
Train:          2      2.721       6418       1438        260        232      0.139      0.472      0.797      0.644      0.716 
All:          2      2.721       8017       1804        331        284      0.136      0.462      0.795      0.639      0.715 
Test:          3     1.6377       1606        359         86         37      0.093      0.301      0.787      0.559      0.555 
Train:          3     1.6377       6374       1482        304        188      0.113      0.382      0.786      0.597      0.616 
All:          3     1.6377       7960       1861        388        227      0.109      0.369      0.784      0.590      0.604 
Test:          4     1.3565       1577        388         97         26      0.063      0.211      0.768      0.507      0.447 
Train:          4     1.3565       6305       1551        373        119      0.071      0.242      0.770      0.522      0.508 
All:          4     1.3565       7879       1942        469        146      0.070      0.237      0.769      0.520      0.496 
Test:          5     1.4442       1610        355         82         41      0.104      0.333      0.791      0.576      0.569 
Train:          5     1.4442       6369       1487        309        183      0.110      0.372      0.785      0.591      0.617 
All:          5     1.4442       7958       1863        390        225      0.108      0.366      0.784      0.588      0.607 
Test:          6     1.3705       1610        355         75         48      0.119      0.390      0.794      0.605      0.650 
Train:          6     1.3705       6412       1444        266        226      0.135      0.459      0.795      0.638      0.690 
All:          6     1.3705       8008       1813        340        275      0.132      0.447      0.794      0.631      0.682 
Test:          7      1.237       1616        349         71         52      0.130      0.423      0.799      0.623      0.695 
Train:          7      1.237       6431       1425        247        245      0.147      0.498      0.800      0.658      0.722 
All:          7      1.237       8030       1791        318        297      0.142      0.483      0.798      0.650      0.717 
Test:          8     1.1786       1613        352         66         57      0.139      0.463      0.800      0.642      0.718 
Train:          8     1.1786       6436       1420        242        250      0.150      0.508      0.801      0.664      0.738 
All:          8     1.1786       8041       1780        307        308      0.148      0.501      0.800      0.660      0.734 
Test:          9     1.1932       1612        353         63         60      0.145      0.488      0.801      0.654      0.725 
Train:          9     1.1932       6442       1414        236        256      0.153      0.520      0.802      0.670      0.748 
All:          9     1.1932       8049       1772        299        316      0.151      0.514      0.802      0.667      0.743 
Test:         10     1.2116       1608        357         64         59      0.142      0.480      0.798      0.649      0.728 
Train:         10     1.2116       6440       1416        238        254      0.152      0.516      0.802      0.668      0.753 
All:         10     1.2116       8047       1774        301        314      0.150      0.511      0.801      0.665      0.748 
Test:         11     1.2008       1601        364         66         57      0.135      0.463      0.794      0.639      0.727 
Train:         11     1.2008       6445       1411        233        259      0.155      0.526      0.803      0.673      0.754 
All:         11     1.2008       8049       1772        299        316      0.151      0.514      0.802      0.667      0.748 
Test:         12     1.1848       1613        352         65         58      0.141      0.472      0.800      0.646      0.724 
Train:         12     1.1848       6441       1415        237        255      0.153      0.518      0.802      0.669      0.751 
All:         12     1.1848       8046       1775        302        313      0.150      0.509      0.801      0.664      0.745 
Test:         13      1.152       1602        363         65         58      0.138      0.472      0.795      0.643      0.719 
Train:         13      1.152       6439       1417        239        253      0.151      0.514      0.802      0.667      0.745 
All:         13      1.152       8044       1777        304        311      0.149      0.506      0.801      0.662      0.739 
Test:         14     1.1472       1620        345         68         55      0.138      0.447      0.802      0.636      0.715 
Train:         14     1.1472       6438       1418        240        252      0.151      0.512      0.801      0.666      0.740 
All:         14     1.1472       8043       1778        305        310      0.148      0.504      0.800      0.662      0.735 
Test:         15     1.1777       1612        353         68         55      0.135      0.447      0.798      0.634      0.717 
Train:         15     1.1777       6437       1419        241        251      0.150      0.510      0.801      0.665      0.742 
All:         15     1.1777       8041       1780        307        308      0.148      0.501      0.800      0.660      0.737 
Test:         16     1.1506       1610        355         62         61      0.147      0.496      0.800      0.658      0.724 
Train:         16     1.1506       6441       1415        237        255      0.153      0.518      0.802      0.669      0.748 
All:         16     1.1506       8050       1771        298        317      0.152      0.515      0.802      0.668      0.743 
Test:         17     1.1595       1615        350         63         60      0.146      0.488      0.802      0.655      0.733 
Train:         17     1.1595       6447       1409        231        261      0.156      0.530      0.804      0.676      0.757 
All:         17     1.1595       8054       1767        294        321      0.154      0.522      0.803      0.671      0.752 
Test:         18     1.1378       1618        347         62         61      0.150      0.496      0.804      0.660      0.740 
Train:         18     1.1378       6454       1402        224        268      0.160      0.545      0.805      0.683      0.764 
