# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.9857       6422       1434        256        236      0.141      0.480      0.798      0.649      0.728 
2     1.6206       6399       1457        279        213      0.128      0.433      0.792      0.624      0.675 
3     1.4609       6352       1504        326        166      0.099      0.337      0.781      0.573      0.568 
4      1.373       6342       1514        336        156      0.093      0.317      0.778      0.562      0.556 
5     1.3539       6363       1493        315        177      0.106      0.360      0.783      0.585      0.622 
6     1.2779       6400       1456        278        214      0.128      0.435      0.792      0.625      0.682 
7     1.2474       6409       1447        269        223      0.134      0.453      0.794      0.635      0.707 
8     1.2189       6410       1446        268        224      0.134      0.455      0.795      0.636      0.717 
9      1.238       6416       1440        262        230      0.138      0.467      0.796      0.642      0.720 
10     1.2044       6420       1436        258        234      0.140      0.476      0.797      0.646      0.719 
11     1.1878       6418       1438        260        232      0.139      0.472      0.797      0.644      0.717 
12     1.1766       6422       1434        256        236      0.141      0.480      0.798      0.649      0.714 
13     1.1602       6427       1429        251        241      0.144      0.490      0.799      0.654      0.716 
14     1.1648       6431       1425        247        245      0.147      0.498      0.800      0.658      0.725 
15     1.1545       6437       1419        241        251      0.150      0.510      0.801      0.665      0.737 
16      1.152       6443       1413        235        257      0.154      0.522      0.803      0.671      0.746 
17     1.1357       6445       1411        233        259      0.155      0.526      0.803      0.673      0.753 
18     1.1339       6446       1410        232        260      0.156      0.528      0.803      0.674      0.756 
19     1.1299       6447       1409        231        261      0.156      0.530      0.804      0.676      0.758 
20     1.1296       6450       1406        228        264      0.158      0.537      0.804      0.679      0.760 
21     1.1212       6450       1406        228        264      0.158      0.537      0.804      0.679      0.761 
22     1.1136       6449       1407        229        263      0.157      0.535      0.804      0.678      0.762 
23      1.116       6448       1408        230        262      0.157      0.533      0.804      0.677      0.765 
24     1.1144       6451       1405        227        265      0.159      0.539      0.805      0.680      0.767 
25     1.1018       6454       1402        224        268      0.160      0.545      0.805      0.683      0.770 
26     1.0962       6455       1401        223        269      0.161      0.547      0.805      0.684      0.774 
27     1.1005       6458       1398        220        272      0.163      0.553      0.806      0.687      0.776 
28     1.0934       6461       1395        217        275      0.165      0.559      0.807      0.691      0.779 
29     1.0907       6461       1395        217        275      0.165      0.559      0.807      0.691      0.780 
30     1.0993       6460       1396        218        274      0.164      0.557      0.807      0.690      0.781 
31     1.0914       6467       1389        211        281      0.168      0.571      0.808      0.697      0.782 
32     1.0806       6470       1386        208        284      0.170      0.577      0.809      0.700      0.783 
