# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: gtn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.7668       7762       2059        586         29      0.014      0.047      0.747      0.419      0.278 
2     4.5042       7864       1957        484        131      0.063      0.213      0.766      0.507      0.468 
3     1.7782       8031       1790        317        298      0.143      0.485      0.798      0.651      0.716 
4     1.8484       8044       1777        304        311      0.149      0.506      0.801      0.662      0.733 
5     2.1565       8021       1800        327        288      0.138      0.468      0.796      0.643      0.726 
6      1.948       8006       1815        342        273      0.131      0.444      0.793      0.630      0.696 
7     1.5525       7972       1849        376        239      0.114      0.389      0.787      0.600      0.620 
8     1.3085       7940       1881        408        207      0.099      0.337      0.781      0.573      0.538 
9      1.322       7921       1900        427        188      0.090      0.306      0.777      0.556      0.515 
10     1.3654       7915       1906        433        182      0.087      0.296      0.776      0.551      0.525 
11     1.3571       7928       1893        420        195      0.093      0.317      0.778      0.562      0.554 
12     1.3339       7967       1854        381        234      0.112      0.380      0.786      0.596      0.592 
13     1.2985       7988       1833        360        255      0.122      0.415      0.790      0.614      0.629 
14       1.24       8001       1820        347        268      0.128      0.436      0.792      0.625      0.659 
15     1.2311       8012       1809        336        279      0.134      0.454      0.794      0.635      0.680 
16     1.2245       8015       1806        333        282      0.135      0.459      0.795      0.637      0.694 
17     1.2135       8020       1801        328        287      0.137      0.467      0.796      0.642      0.704 
18     1.2269       8019       1802        329        286      0.137      0.465      0.796      0.641      0.710 
19     1.2247       8022       1799        326        289      0.138      0.470      0.796      0.643      0.715 
20     1.2295       8025       1796        323        292      0.140      0.475      0.797      0.646      0.717 
21     1.2239       8025       1796        323        292      0.140      0.475      0.797      0.646      0.719 
22     1.2265       8026       1795        322        293      0.140      0.476      0.797      0.647      0.720 
23     1.2047       8028       1793        320        295      0.141      0.480      0.798      0.649      0.720 
24     1.2027       8030       1791        318        297      0.142      0.483      0.798      0.650      0.719 
25     1.1898       8034       1787        314        301      0.144      0.489      0.799      0.654      0.719 
26       1.19       8031       1790        317        298      0.143      0.485      0.798      0.651      0.718 
27     1.1775       8029       1792        319        296      0.142      0.481      0.798      0.649      0.717 
28     1.1772       8031       1790        317        298      0.143      0.485      0.798      0.651      0.716 
29     1.1706       8031       1790        317        298      0.143      0.485      0.798      0.651      0.716 
30     1.1822       8031       1790        317        298      0.143      0.485      0.798      0.651      0.716 
31     1.1746       8029       1792        319        296      0.142      0.481      0.798      0.649      0.717 
32     1.1663       8026       1795        322        293      0.140      0.476      0.797      0.647      0.719 
33     1.1677       8028       1793        320        295      0.141      0.480      0.798      0.649      0.722 
34     1.1678       8030       1791        318        297      0.142      0.483      0.798      0.650      0.725 
35     1.1637       8031       1790        317        298      0.143      0.485      0.798      0.651      0.728 
36     1.1552       8033       1788        315        300      0.144      0.488      0.798      0.653      0.731 
37       1.16       8035       1786        313        302      0.145      0.491      0.799      0.655      0.733 
38     1.1497       8034       1787        314        301      0.144      0.489      0.799      0.654      0.735 
39     1.1585       8034       1787        314        301      0.144      0.489      0.799      0.654      0.737 
40     1.1477       8036       1785        312        303      0.145      0.493      0.799      0.655      0.739 
41     1.1448       8036       1785        312        303      0.145      0.493      0.799      0.655      0.740 
42     1.1487       8037       1784        311        304      0.146      0.494      0.799      0.656      0.742 
43     1.1374       8040       1781        308        307      0.147      0.499      0.800      0.659      0.743 
44     1.1399       8040       1781        308        307      0.147      0.499      0.800      0.659      0.744 
45      1.131       8040       1781        308        307      0.147      0.499      0.800      0.659      0.746 
46      1.127       8040       1781        308        307      0.147      0.499      0.800      0.659      0.747 
47     1.1257       8045       1776        303        312      0.149      0.507      0.801      0.663      0.749 
48     1.1264       8049       1772        299        316      0.151      0.514      0.802      0.667      0.750 
49      1.119       8049       1772        299        316      0.151      0.514      0.802      0.667      0.752 
50     1.1195       8053       1768        295        320      0.153      0.520      0.802      0.670      0.754 
51     1.1032       8059       1762        289        326      0.156      0.530      0.803      0.675      0.757 
52     1.1115       8057       1764        291        324      0.155      0.527      0.803      0.674      0.760 
53     1.1015       8063       1758        285        330      0.158      0.537      0.804      0.679      0.763 
54     1.1092       8065       1756        283        332      0.159      0.540      0.805      0.681      0.765 
55     1.0943       8070       1751        278        337      0.161      0.548      0.806      0.685      0.768 
56     1.0906       8074       1747        274        341      0.163      0.554      0.806      0.688      0.769 
57     1.0972       8067       1754        281        334      0.160      0.543      0.805      0.682      0.771 
58     1.0835       8067       1754        281        334      0.160      0.543      0.805      0.682      0.772 
59     1.0824       8061       1760        287        328      0.157      0.533      0.804      0.677      0.774 
