# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3148       1558        407         77         46      0.102      0.374      0.768      0.583      0.635 
Train:          1     1.3148       6384       1472        294        198      0.119      0.402      0.788      0.608      0.655 
All:          1     1.3148       7974       1847        374        241      0.115      0.392      0.787      0.602      0.651 
Test:          2     1.2878       1563        402         67         56      0.122      0.455      0.775      0.625      0.684 
Train:          2     1.2878       6408       1448        270        222      0.133      0.451      0.794      0.633      0.682 
All:          2     1.2878       8007       1814        341        274      0.131      0.446      0.794      0.630      0.682 
Test:          3     1.2789       1579        386         68         55      0.125      0.447      0.783      0.625      0.699 
Train:          3     1.2789       6413       1443        265        227      0.136      0.461      0.795      0.639      0.691 
All:          3     1.2789       8014       1807        334        281      0.135      0.457      0.795      0.636      0.693 
Test:          4     1.2658       1589        376         68         55      0.128      0.447      0.787      0.628      0.706 
Train:          4     1.2658       6413       1443        265        227      0.136      0.461      0.795      0.639      0.696 
All:          4     1.2658       8014       1807        334        281      0.135      0.457      0.795      0.636      0.698 
Test:          5     1.2533       1592        373         72         51      0.120      0.415      0.787      0.612      0.707 
Train:          5     1.2533       6408       1448        270        222      0.133      0.451      0.794      0.633      0.698 
All:          5     1.2533       8006       1815        342        273      0.131      0.444      0.793      0.630      0.700 
Test:          6      1.239       1599        366         73         50      0.120      0.407      0.790      0.610      0.711 
Train:          6      1.239       6408       1448        270        222      0.133      0.451      0.794      0.633      0.700 
All:          6      1.239       8005       1816        343        272      0.130      0.442      0.793      0.629      0.703 
Test:          7     1.2344       1589        376         72         51      0.119      0.415      0.785      0.612      0.717 
Train:          7     1.2344       6417       1439        261        231      0.138      0.470      0.796      0.643      0.704 
All:          7     1.2344       8015       1806        333        282      0.135      0.459      0.795      0.637      0.707 
Test:          8     1.2259       1596        369         67         56      0.132      0.455      0.791      0.634      0.723 
Train:          8     1.2259       6423       1433        255        237      0.142      0.482      0.798      0.650      0.708 
All:          8     1.2259       8026       1795        322        293      0.140      0.476      0.797      0.647      0.711 
Test:          9     1.2092       1596        369         66         57      0.134      0.463      0.792      0.638      0.726 
Train:          9     1.2092       6427       1429        251        241      0.144      0.490      0.799      0.654      0.711 
All:          9     1.2092       8031       1790        317        298      0.143      0.485      0.798      0.651      0.714 
Test:         10     1.1974       1592        373         65         58      0.135      0.472      0.790      0.641      0.727 
Train:         10     1.1974       6427       1429        251        241      0.144      0.490      0.799      0.654      0.714 
All:         10     1.1974       8032       1789        316        299      0.143      0.486      0.798      0.652      0.717 
Test:         11     1.1963       1592        373         67         56      0.131      0.455      0.789      0.633      0.728 
Train:         11     1.1963       6428       1428        250        242      0.145      0.492      0.799      0.655      0.718 
All:         11     1.1963       8030       1791        318        297      0.142      0.483      0.798      0.650      0.720 
Test:         12     1.1903       1588        377         67         56      0.129      0.455      0.787      0.632      0.730 
Train:         12     1.1903       6425       1431        253        239      0.143      0.486      0.798      0.652      0.721 
All:         12     1.1903       8028       1793        320        295      0.141      0.480      0.798      0.649      0.723 
Test:         13     1.1766       1583        382         65         58      0.132      0.472      0.786      0.639      0.732 
Train:         13     1.1766       6431       1425        247        245      0.147      0.498      0.800      0.658      0.724 
All:         13     1.1766       8035       1786        313        302      0.145      0.491      0.799      0.655      0.726 
Test:         14     1.1697       1585        380         65         58      0.132      0.472      0.787      0.639      0.735 
Train:         14     1.1697       6430       1426        248        244      0.146      0.496      0.799      0.657      0.726 
All:         14     1.1697       8034       1787        314        301      0.144      0.489      0.799      0.654      0.728 
Test:         15     1.1657       1594        371         66         57      0.133      0.463      0.791      0.637      0.736 
Train:         15     1.1657       6431       1425        247        245      0.147      0.498      0.800      0.658      0.729 
All:         15     1.1657       8035       1786        313        302      0.145      0.491      0.799      0.655      0.731 
Test:         16     1.1552       1593        372         66         57      0.133      0.463      0.790      0.637      0.737 
Train:         16     1.1552       6434       1422        244        248      0.149      0.504      0.800      0.662      0.732 
All:         16     1.1552       8035       1786        313        302      0.145      0.491      0.799      0.655      0.733 
Test:         17     1.1582       1587        378         65         58      0.133      0.472      0.788      0.640      0.739 
Train:         17     1.1582       6434       1422        244        248      0.149      0.504      0.800      0.662      0.733 
All:         17     1.1582       8039       1782        309        306      0.147      0.498      0.800      0.658      0.734 
Test:         18     1.1594       1590        375         65         58      0.134      0.472      0.789      0.640      0.739 
Train:         18     1.1594       6433       1423        245        247      0.148      0.502      0.800      0.660      0.734 
All:         18     1.1594       8037       1784        311        304      0.146      0.494      0.799      0.656      0.735 
Test:         19     1.1505       1583        382         65         58      0.132      0.472      0.786      0.639      0.738 
Train:         19     1.1505       6439       1417        239        253      0.151      0.514      0.802      0.667      0.737 
All:         19     1.1505       8039       1782        309        306      0.147      0.498      0.800      0.658      0.737 
Test:         20     1.1487       1589        376         66         57      0.132      0.463      0.788      0.636      0.738 
Train:         20     1.1487       6435       1421        243        249      0.149      0.506      0.801      0.663      0.736 
All:         20     1.1487       8036       1785        312        303      0.145      0.493      0.799      0.655      0.737 
Test:         21     1.1555       1597        368         62         61      0.142      0.496      0.794      0.654      0.738 
Train:         21     1.1555       6432       1424        246        246      0.147      0.500      0.800      0.659      0.735 
All:         21     1.1555       8039       1782        309        306      0.147      0.498      0.800      0.658      0.735 
Test:         22     1.1544       1591        374         65         58      0.134      0.472      0.790      0.641      0.737 
Train:         22     1.1544       6435       1421        243        249      0.149      0.506      0.801      0.663      0.737 
All:         22     1.1544       8040       1781        308        307      0.147      0.499      0.800      0.659      0.737 
Test:         23     1.1472       1592        373         61         62      0.143      0.504      0.792      0.657      0.736 
Train:         23     1.1472       6435       1421        243        249      0.149      0.506      0.801      0.663      0.738 
All:         23     1.1472       8043       1778        305        310      0.148      0.504      0.800      0.662      0.738 
Test:         24     1.1482       1589        376         61         62      0.142      0.504      0.791      0.656      0.736 
Train:         24     1.1482       6436       1420        242        250      0.150      0.508      0.801      0.664      0.737 
All:         24     1.1482       8043       1778        305        310      0.148      0.504      0.800      0.662      0.737 
Test:         25     1.1352       1589        376         62         61      0.140      0.496      0.790      0.652      0.735 
Train:         25     1.1352       6430       1426        248        244      0.146      0.496      0.799      0.657      0.736 
All:         25     1.1352       8037       1784        311        304      0.146      0.494      0.799      0.656      0.736 
Test:         26     1.1426       1587        378         60         63      0.143      0.512      0.790      0.660      0.735 
Train:         26     1.1426       6430       1426        248        244      0.146      0.496      0.799      0.657      0.738 
All:         26     1.1426       8038       1783        310        305      0.146      0.496      0.799      0.657      0.737 
Test:         27     1.1438       1586        379         60         63      0.143      0.512      0.790      0.660      0.733 
Train:         27     1.1438       6431       1425        247        245      0.147      0.498      0.800      0.658      0.739 
All:         27     1.1438       8039       1782        309        306      0.147      0.498      0.800      0.658      0.738 
Test:         28     1.1373       1586        379         59         64      0.144      0.520      0.790      0.664      0.733 
