# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.2798       6400       1456        278        214      0.128      0.435      0.792      0.625      0.684 
2     1.2726       6406       1450        272        220      0.132      0.447      0.794      0.631      0.687 
3     1.2513       6410       1446        268        224      0.134      0.455      0.795      0.636      0.689 
4     1.2427       6411       1445        267        225      0.135      0.457      0.795      0.637      0.692 
5     1.2338       6413       1443        265        227      0.136      0.461      0.795      0.639      0.694 
6     1.2216       6411       1445        267        225      0.135      0.457      0.795      0.637      0.696 
7     1.2068       6410       1446        268        224      0.134      0.455      0.795      0.636      0.699 
8     1.1948       6412       1444        266        226      0.135      0.459      0.795      0.638      0.704 
9     1.1837       6411       1445        267        225      0.135      0.457      0.795      0.637      0.708 
10     1.1886       6413       1443        265        227      0.136      0.461      0.795      0.639      0.712 
11     1.1816       6414       1442        264        228      0.137      0.463      0.796      0.640      0.715 
12     1.1698       6415       1441        263        229      0.137      0.465      0.796      0.641      0.718 
13     1.1683       6420       1436        258        234      0.140      0.476      0.797      0.646      0.723 
14     1.1726       6418       1438        260        232      0.139      0.472      0.797      0.644      0.725 
15     1.1675       6417       1439        261        231      0.138      0.470      0.796      0.643      0.726 
16      1.162       6420       1436        258        234      0.140      0.476      0.797      0.646      0.728 
17     1.1561       6422       1434        256        236      0.141      0.480      0.798      0.649      0.730 
18     1.1553       6421       1435        257        235      0.141      0.478      0.797      0.647      0.731 
19     1.1603       6422       1434        256        236      0.141      0.480      0.798      0.649      0.731 
20     1.1481       6423       1433        255        237      0.142      0.482      0.798      0.650      0.733 
21     1.1506       6426       1430        252        240      0.144      0.488      0.799      0.653      0.735 
22     1.1389       6423       1433        255        237      0.142      0.482      0.798      0.650      0.735 
23     1.1409       6423       1433        255        237      0.142      0.482      0.798      0.650      0.734 
24     1.1306       6424       1432        254        238      0.143      0.484      0.798      0.651      0.735 
