# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: hgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3326       7971       1850        377        238      0.114      0.387      0.787      0.599      0.649 
2     1.3114       7988       1833        360        255      0.122      0.415      0.790      0.614      0.669 
3      1.292       7996       1825        352        263      0.126      0.428      0.791      0.621      0.681 
4     1.2799       8005       1816        343        272      0.130      0.442      0.793      0.629      0.692 
5     1.2726       8016       1805        332        283      0.136      0.460      0.795      0.638      0.699 
6     1.2621       8018       1803        330        285      0.136      0.463      0.796      0.640      0.702 
7     1.2472       8020       1801        328        287      0.137      0.467      0.796      0.642      0.704 
8     1.2391       8020       1801        328        287      0.137      0.467      0.796      0.642      0.707 
9     1.2246       8022       1799        326        289      0.138      0.470      0.796      0.643      0.711 
10     1.2141       8024       1797        324        291      0.139      0.473      0.797      0.645      0.715 
11     1.2026       8030       1791        318        297      0.142      0.483      0.798      0.650      0.719 
12     1.1945       8027       1794        321        294      0.141      0.478      0.797      0.648      0.720 
13     1.1772       8029       1792        319        296      0.142      0.481      0.798      0.649      0.722 
14     1.1771       8029       1792        319        296      0.142      0.481      0.798      0.649      0.725 
15      1.174       8030       1791        318        297      0.142      0.483      0.798      0.650      0.728 
16     1.1685       8031       1790        317        298      0.143      0.485      0.798      0.651      0.729 
17     1.1701       8032       1789        316        299      0.143      0.486      0.798      0.652      0.730 
18     1.1576       8035       1786        313        302      0.145      0.491      0.799      0.655      0.733 
19     1.1703       8036       1785        312        303      0.145      0.493      0.799      0.655      0.733 
20     1.1593       8036       1785        312        303      0.145      0.493      0.799      0.655      0.733 
21     1.1729       8035       1786        313        302      0.145      0.491      0.799      0.655      0.733 
22     1.1614       8036       1785        312        303      0.145      0.493      0.799      0.655      0.734 
23     1.1607       8032       1789        316        299      0.143      0.486      0.798      0.652      0.732 
24     1.1528       8034       1787        314        301      0.144      0.489      0.799      0.654      0.731 
