# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.4339       7802       2019        546         69      0.033      0.112      0.754      0.453      0.398 
2     1.3221       7969       1852        379        236      0.113      0.384      0.786      0.598      0.639 
3     1.3235       7992       1829        356        259      0.124      0.421      0.791      0.617      0.665 
4     1.3245       7998       1823        350        265      0.127      0.431      0.792      0.623      0.674 
5     1.3048       8000       1821        348        267      0.128      0.434      0.792      0.624      0.681 
6     1.2788       8006       1815        342        273      0.131      0.444      0.793      0.630      0.691 
7     1.2669       8009       1812        339        276      0.132      0.449      0.794      0.632      0.704 
8     1.2646       8014       1807        334        281      0.135      0.457      0.795      0.636      0.714 
9     1.2666       8021       1800        327        288      0.138      0.468      0.796      0.643      0.717 
10     1.2543       8016       1805        332        283      0.136      0.460      0.795      0.638      0.715 
11     1.2419       8019       1802        329        286      0.137      0.465      0.796      0.641      0.712 
12     1.2323       8023       1798        325        290      0.139      0.472      0.797      0.644      0.710 
13     1.2236       8021       1800        327        288      0.138      0.468      0.796      0.643      0.709 
14     1.2315       8021       1800        327        288      0.138      0.468      0.796      0.643      0.710 
15     1.2251       8020       1801        328        287      0.137      0.467      0.796      0.642      0.712 
16       1.21       8025       1796        323        292      0.140      0.475      0.797      0.646      0.715 
17     1.2069       8026       1795        322        293      0.140      0.476      0.797      0.647      0.719 
18     1.1953       8028       1793        320        295      0.141      0.480      0.798      0.649      0.722 
19     1.1989       8031       1790        317        298      0.143      0.485      0.798      0.651      0.724 
20      1.197       8030       1791        318        297      0.142      0.483      0.798      0.650      0.725 
21     1.1876       8028       1793        320        295      0.141      0.480      0.798      0.649      0.725 
22     1.1877       8028       1793        320        295      0.141      0.480      0.798      0.649      0.725 
23     1.1842       8028       1793        320        295      0.141      0.480      0.798      0.649      0.726 
24     1.1742       8029       1792        319        296      0.142      0.481      0.798      0.649      0.729 
25     1.1835       8032       1789        316        299      0.143      0.486      0.798      0.652      0.732 
26     1.1634       8028       1793        320        295      0.141      0.480      0.798      0.649      0.734 
27     1.1649       8030       1791        318        297      0.142      0.483      0.798      0.650      0.734 
28     1.1602       8032       1789        316        299      0.143      0.486      0.798      0.652      0.734 
29     1.1745       8033       1788        315        300      0.144      0.488      0.798      0.653      0.735 
30     1.1655       8031       1790        317        298      0.143      0.485      0.798      0.651      0.736 
31     1.1589       8032       1789        316        299      0.143      0.486      0.798      0.652      0.737 
32     1.1572       8033       1788        315        300      0.144      0.488      0.798      0.653      0.737 
33      1.153       8033       1788        315        300      0.144      0.488      0.798      0.653      0.737 
34     1.1447       8033       1788        315        300      0.144      0.488      0.798      0.653      0.737 
35     1.1546       8034       1787        314        301      0.144      0.489      0.799      0.654      0.737 
36     1.1541       8031       1790        317        298      0.143      0.485      0.798      0.651      0.736 
37      1.147       8029       1792        319        296      0.142      0.481      0.798      0.649      0.736 
38     1.1506       8028       1793        320        295      0.141      0.480      0.798      0.649      0.736 
39     1.1524       8028       1793        320        295      0.141      0.480      0.798      0.649      0.736 
40     1.1484       8030       1791        318        297      0.142      0.483      0.798      0.650      0.736 
41     1.1442       8028       1793        320        295      0.141      0.480      0.798      0.649      0.736 
42       1.15       8028       1793        320        295      0.141      0.480      0.798      0.649      0.737 
43     1.1363       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
44     1.1408       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
45     1.1385       8027       1794        321        294      0.141      0.478      0.797      0.648      0.737 
46     1.1538       8025       1796        323        292      0.140      0.475      0.797      0.646      0.738 
47     1.1447       8029       1792        319        296      0.142      0.481      0.798      0.649      0.738 
48     1.1404       8029       1792        319        296      0.142      0.481      0.798      0.649      0.738 
49     1.1352       8030       1791        318        297      0.142      0.483      0.798      0.650      0.738 
50     1.1487       8031       1790        317        298      0.143      0.485      0.798      0.651      0.738 
51     1.1509       8031       1790        317        298      0.143      0.485      0.798      0.651      0.738 
52     1.1365       8031       1790        317        298      0.143      0.485      0.798      0.651      0.738 
53     1.1407       8031       1790        317        298      0.143      0.485      0.798      0.651      0.738 
54     1.1281       8029       1792        319        296      0.142      0.481      0.798      0.649      0.739 
55     1.1405       8028       1793        320        295      0.141      0.480      0.798      0.649      0.739 
56     1.1405       8028       1793        320        295      0.141      0.480      0.798      0.649      0.739 
57     1.1398       8029       1792        319        296      0.142      0.481      0.798      0.649      0.739 
58     1.1348       8028       1793        320        295      0.141      0.480      0.798      0.649      0.739 
59     1.1459       8029       1792        319        296      0.142      0.481      0.798      0.649      0.739 
60     1.1375       8030       1791        318        297      0.142      0.483      0.798      0.650      0.739 
61     1.1465       8029       1792        319        296      0.142      0.481      0.798      0.649      0.740 
62     1.1382       8030       1791        318        297      0.142      0.483      0.798      0.650      0.740 
63     1.1398       8031       1790        317        298      0.143      0.485      0.798      0.651      0.740 
64     1.1391       8031       1790        317        298      0.143      0.485      0.798      0.651      0.740 
65     1.1307       8029       1792        319        296      0.142      0.481      0.798      0.649      0.740 
66     1.1444       8030       1791        318        297      0.142      0.483      0.798      0.650      0.740 
67     1.1365       8030       1791        318        297      0.142      0.483      0.798      0.650      0.740 
68     1.1333       8029       1792        319        296      0.142      0.481      0.798      0.649      0.740 
69     1.1342       8029       1792        319        296      0.142      0.481      0.798      0.649      0.741 
70     1.1274       8028       1793        320        295      0.141      0.480      0.798      0.649      0.741 
71     1.1332       8029       1792        319        296      0.142      0.481      0.798      0.649      0.741 
72     1.1452       8029       1792        319        296      0.142      0.481      0.798      0.649      0.741 
73     1.1419       8030       1791        318        297      0.142      0.483      0.798      0.650      0.741 
74     1.1342       8031       1790        317        298      0.143      0.485      0.798      0.651      0.741 
75     1.1362       8031       1790        317        298      0.143      0.485      0.798      0.651      0.741 
76     1.1353       8033       1788        315        300      0.144      0.488      0.798      0.653      0.741 
77     1.1395       8033       1788        315        300      0.144      0.488      0.798      0.653      0.741 
78      1.127       8032       1789        316        299      0.143      0.486      0.798      0.652      0.742 
79     1.1314       8033       1788        315        300      0.144      0.488      0.798      0.653      0.742 
80     1.1393       8035       1786        313        302      0.145      0.491      0.799      0.655      0.742 
81     1.1316       8032       1789        316        299      0.143      0.486      0.798      0.652      0.742 
82     1.1316       8033       1788        315        300      0.144      0.488      0.798      0.653      0.742 
83     1.1406       8035       1786        313        302      0.145      0.491      0.799      0.655      0.742 
84     1.1339       8033       1788        315        300      0.144      0.488      0.798      0.653      0.742 
85     1.1303       8031       1790        317        298      0.143      0.485      0.798      0.651      0.742 
86     1.1271       8032       1789        316        299      0.143      0.486      0.798      0.652      0.742 
87     1.1393       8031       1790        317        298      0.143      0.485      0.798      0.651      0.742 
88     1.1283       8031       1790        317        298      0.143      0.485      0.798      0.651      0.742 
89     1.1286       8031       1790        317        298      0.143      0.485      0.798      0.651      0.743 
90     1.1324       8030       1791        318        297      0.142      0.483      0.798      0.650      0.743 
91     1.1331       8032       1789        316        299      0.143      0.486      0.798      0.652      0.743 
92     1.1284       8031       1790        317        298      0.143      0.485      0.798      0.651      0.743 
93     1.1336       8032       1789        316        299      0.143      0.486      0.798      0.652      0.743 
94      1.136       8032       1789        316        299      0.143      0.486      0.798      0.652      0.743 
95     1.1287       8033       1788        315        300      0.144      0.488      0.798      0.653      0.743 
96     1.1288       8031       1790        317        298      0.143      0.485      0.798      0.651      0.743 
97      1.145       8032       1789        316        299      0.143      0.486      0.798      0.652      0.743 
98     1.1309       8033       1788        315        300      0.144      0.488      0.798      0.653      0.744 
99      1.136       8033       1788        315        300      0.144      0.488      0.798      0.653      0.744 
100     1.1256       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
101     1.1347       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
102     1.1324       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
103     1.1386       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
104     1.1278       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
105     1.1334       8031       1790        317        298      0.143      0.485      0.798      0.651      0.744 
106      1.135       8033       1788        315        300      0.144      0.488      0.798      0.653      0.744 
107     1.1334       8032       1789        316        299      0.143      0.486      0.798      0.652      0.745 
108     1.1372       8031       1790        317        298      0.143      0.485      0.798      0.651      0.745 
109     1.1368       8034       1787        314        301      0.144      0.489      0.799      0.654      0.745 
110     1.1426       8037       1784        311        304      0.146      0.494      0.799      0.656      0.745 
111      1.139       8034       1787        314        301      0.144      0.489      0.799      0.654      0.745 
112     1.1392       8032       1789        316        299      0.143      0.486      0.798      0.652      0.745 
113     1.1319       8033       1788        315        300      0.144      0.488      0.798      0.653      0.745 
114     1.1286       8038       1783        310        305      0.146      0.496      0.799      0.657      0.745 
115     1.1368       8038       1783        310        305      0.146      0.496      0.799      0.657      0.745 
116      1.125       8035       1786        313        302      0.145      0.491      0.799      0.655      0.746 
117     1.1305       8033       1788        315        300      0.144      0.488      0.798      0.653      0.746 
118     1.1303       8035       1786        313        302      0.145      0.491      0.799      0.655      0.746 
