# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1      1.304       6411       1445        267        225      0.135      0.457      0.795      0.637      0.691 
2     1.2756       6419       1437        259        233      0.140      0.474      0.797      0.645      0.702 
3      1.258       6415       1441        263        229      0.137      0.465      0.796      0.641      0.710 
4      1.239       6418       1438        260        232      0.139      0.472      0.797      0.644      0.715 
5     1.2196       6419       1437        259        233      0.140      0.474      0.797      0.645      0.719 
6     1.2024       6424       1432        254        238      0.143      0.484      0.798      0.651      0.724 
7     1.1846       6423       1433        255        237      0.142      0.482      0.798      0.650      0.727 
8     1.1869       6422       1434        256        236      0.141      0.480      0.798      0.649      0.729 
9     1.1729       6430       1426        248        244      0.146      0.496      0.799      0.657      0.735 
10     1.1863       6429       1427        249        243      0.146      0.494      0.799      0.656      0.735 
11     1.1473       6427       1429        251        241      0.144      0.490      0.799      0.654      0.735 
12     1.1695       6431       1425        247        245      0.147      0.498      0.800      0.658      0.738 
13      1.149       6434       1422        244        248      0.149      0.504      0.800      0.662      0.741 
14     1.1858       6429       1427        249        243      0.146      0.494      0.799      0.656      0.741 
15     1.1519       6430       1426        248        244      0.146      0.496      0.799      0.657      0.740 
16     1.1603       6433       1423        245        247      0.148      0.502      0.800      0.660      0.742 
17     1.1495       6432       1424        246        246      0.147      0.500      0.800      0.659      0.744 
18     1.1553       6432       1424        246        246      0.147      0.500      0.800      0.659      0.744 
19     1.1403       6432       1424        246        246      0.147      0.500      0.800      0.659      0.743 
20     1.1398       6429       1427        249        243      0.146      0.494      0.799      0.656      0.743 
21     1.1494       6430       1426        248        244      0.146      0.496      0.799      0.657      0.744 
22     1.1251       6433       1423        245        247      0.148      0.502      0.800      0.660      0.745 
23     1.1426       6432       1424        246        246      0.147      0.500      0.800      0.659      0.745 
24     1.1378       6430       1426        248        244      0.146      0.496      0.799      0.657      0.744 
25     1.1373       6432       1424        246        246      0.147      0.500      0.800      0.659      0.744 
26     1.1269       6430       1426        248        244      0.146      0.496      0.799      0.657      0.744 
27     1.1353       6435       1421        243        249      0.149      0.506      0.801      0.663      0.744 
28     1.1324       6436       1420        242        250      0.150      0.508      0.801      0.664      0.744 
29     1.1413       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
30     1.1295       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
31      1.139       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
32     1.1246       6434       1422        244        248      0.149      0.504      0.800      0.662      0.744 
33     1.1276       6435       1421        243        249      0.149      0.506      0.801      0.663      0.744 
34     1.1218       6433       1423        245        247      0.148      0.502      0.800      0.660      0.744 
35     1.1326       6437       1419        241        251      0.150      0.510      0.801      0.665      0.744 
36      1.127       6436       1420        242        250      0.150      0.508      0.801      0.664      0.744 
