# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: phgcn.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.3205       1607        358         62         61      0.146      0.496      0.799      0.657      0.731 
Train:          1     1.3205       6402       1454        276        216      0.129      0.439      0.793      0.627      0.682 
All:          1     1.3205       8010       1811        338        277      0.133      0.450      0.794      0.633      0.692 
Test:          2     1.2986       1610        355         63         60      0.145      0.488      0.800      0.654      0.734 
Train:          2     1.2986       6404       1452        274        218      0.131      0.443      0.793      0.629      0.685 
All:          2     1.2986       8011       1810        337        278      0.133      0.452      0.794      0.634      0.695 
Test:          3     1.2916       1598        367         63         60      0.141      0.488      0.794      0.651      0.733 
Train:          3     1.2916       6406       1450        272        220      0.132      0.447      0.794      0.631      0.688 
All:          3     1.2916       8013       1808        335        280      0.134      0.455      0.795      0.636      0.697 
Test:          4     1.2772       1593        372         61         62      0.143      0.504      0.793      0.657      0.731 
Train:          4     1.2772       6408       1448        270        222      0.133      0.451      0.794      0.633      0.690 
All:          4     1.2772       8016       1805        332        283      0.136      0.460      0.795      0.638      0.698 
Test:          5     1.2627       1587        378         63         60      0.137      0.488      0.789      0.648      0.731 
Train:          5     1.2627       6407       1449        271        221      0.132      0.449      0.794      0.632      0.693 
All:          5     1.2627       8012       1809        336        279      0.134      0.454      0.794      0.635      0.701 
Test:          6     1.2498       1588        377         63         60      0.137      0.488      0.789      0.648      0.736 
Train:          6     1.2498       6410       1446        268        224      0.134      0.455      0.795      0.636      0.697 
All:          6     1.2498       8017       1804        331        284      0.136      0.462      0.795      0.639      0.704 
Test:          7     1.2392       1598        367         59         64      0.148      0.520      0.796      0.667      0.741 
Train:          7     1.2392       6410       1446        268        224      0.134      0.455      0.795      0.636      0.699 
All:          7     1.2392       8017       1804        331        284      0.136      0.462      0.795      0.639      0.707 
Test:          8     1.2221       1607        358         60         63      0.150      0.512      0.800      0.665      0.745 
Train:          8     1.2221       6412       1444        266        226      0.135      0.459      0.795      0.638      0.699 
All:          8     1.2221       8022       1799        326        289      0.138      0.470      0.796      0.643      0.709 
Test:          9     1.2165       1607        358         59         64      0.152      0.520      0.800      0.669      0.748 
Train:          9     1.2165       6416       1440        262        230      0.138      0.467      0.796      0.642      0.700 
All:          9     1.2165       8027       1794        321        294      0.141      0.478      0.797      0.648      0.710 
Test:         10     1.2128       1603        362         59         64      0.150      0.520      0.798      0.668      0.749 
Train:         10     1.2128       6416       1440        262        230      0.138      0.467      0.796      0.642      0.703 
All:         10     1.2128       8025       1796        323        292      0.140      0.475      0.797      0.646      0.712 
Test:         11     1.2078       1594        371         60         63      0.145      0.512      0.794      0.662      0.750 
Train:         11     1.2078       6412       1444        266        226      0.135      0.459      0.795      0.638      0.707 
All:         11     1.2078       8022       1799        326        289      0.138      0.470      0.796      0.643      0.715 
Test:         12     1.1875       1598        367         57         66      0.152      0.537      0.797      0.675      0.752 
Train:         12     1.1875       6413       1443        265        227      0.136      0.461      0.795      0.639      0.711 
All:         12     1.1875       8025       1796        323        292      0.140      0.475      0.797      0.646      0.719 
Test:         13     1.1895       1595        370         56         67      0.153      0.545      0.796      0.678      0.754 
Train:         13     1.1895       6414       1442        264        228      0.137      0.463      0.796      0.640      0.713 
All:         13     1.1895       8027       1794        321        294      0.141      0.478      0.797      0.648      0.721 
Test:         14     1.1771       1594        371         56         67      0.153      0.545      0.795      0.678      0.757 
Train:         14     1.1771       6416       1440        262        230      0.138      0.467      0.796      0.642      0.714 
All:         14     1.1771       8030       1791        318        297      0.142      0.483      0.798      0.650      0.723 
Test:         15     1.1834       1597        368         55         68      0.156      0.553      0.797      0.683      0.759 
Train:         15     1.1834       6416       1440        262        230      0.138      0.467      0.796      0.642      0.715 
All:         15     1.1834       8030       1791        318        297      0.142      0.483      0.798      0.650      0.724 
Test:         16     1.1758       1603        362         55         68      0.158      0.553      0.800      0.684      0.761 
Train:         16     1.1758       6418       1438        260        232      0.139      0.472      0.797      0.644      0.719 
All:         16     1.1758       8032       1789        316        299      0.143      0.486      0.798      0.652      0.727 
Test:         17     1.1765       1595        370         53         70      0.159      0.569      0.797      0.690      0.762 
Train:         17     1.1765       6417       1439        261        231      0.138      0.470      0.796      0.643      0.724 
All:         17     1.1765       8032       1789        316        299      0.143      0.486      0.798      0.652      0.731 
Test:         18     1.1727       1596        369         53         70      0.159      0.569      0.798      0.691      0.763 
Train:         18     1.1727       6416       1440        262        230      0.138      0.467      0.796      0.642      0.726 
All:         18     1.1727       8032       1789        316        299      0.143      0.486      0.798      0.652      0.733 
Test:         19     1.1731       1608        357         53         70      0.164      0.569      0.804      0.694      0.765 
Train:         19     1.1731       6421       1435        257        235      0.141      0.478      0.797      0.647      0.726 
All:         19     1.1731       8036       1785        312        303      0.145      0.493      0.799      0.655      0.734 
Test:         20     1.1753       1611        354         53         70      0.165      0.569      0.805      0.694      0.766 
Train:         20     1.1753       6419       1437        259        233      0.140      0.474      0.797      0.645      0.728 
All:         20     1.1753       8036       1785        312        303      0.145      0.493      0.799      0.655      0.735 
Test:         21     1.1654       1603        362         54         69      0.160      0.561      0.801      0.688      0.767 
Train:         21     1.1654       6420       1436        258        234      0.140      0.476      0.797      0.646      0.731 
All:         21     1.1654       8035       1786        313        302      0.145      0.491      0.799      0.655      0.738 
Test:         22     1.1639       1609        356         53         70      0.164      0.569      0.804      0.694      0.767 
Train:         22     1.1639       6419       1437        259        233      0.140      0.474      0.797      0.645      0.731 
All:         22     1.1639       8036       1785        312        303      0.145      0.493      0.799      0.655      0.739 
Test:         23     1.1518       1603        362         52         71      0.164      0.577      0.802      0.697      0.767 
