# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.3832       7877       1944        471        144      0.069      0.234      0.769      0.518      0.513 
2     1.3633       7898       1923        450        165      0.079      0.268      0.773      0.536      0.532 
3      1.328       7936       1885        412        203      0.097      0.330      0.780      0.569      0.567 
4     1.3206       7953       1868        395        220      0.105      0.358      0.783      0.584      0.601 
5     1.3255       7956       1865        392        223      0.107      0.363      0.784      0.586      0.622 
6     1.2922       7964       1857        384        231      0.111      0.376      0.785      0.593      0.633 
7     1.2892       7973       1848        375        240      0.115      0.390      0.787      0.601      0.643 
8     1.2834       7980       1841        368        247      0.118      0.402      0.788      0.607      0.655 
9     1.2718       7986       1835        362        253      0.121      0.411      0.789      0.612      0.668 
10     1.2533       7988       1833        360        255      0.122      0.415      0.790      0.614      0.681 
11      1.264       7994       1827        354        261      0.125      0.424      0.791      0.619      0.694 
12      1.246       8003       1818        345        270      0.129      0.439      0.793      0.627      0.704 
13     1.2476       8011       1810        337        278      0.133      0.452      0.794      0.634      0.710 
14     1.2534       8014       1807        334        281      0.135      0.457      0.795      0.636      0.714 
15      1.258       8016       1805        332        283      0.136      0.460      0.795      0.638      0.716 
16     1.2461       8019       1802        329        286      0.137      0.465      0.796      0.641      0.718 
17     1.2323       8019       1802        329        286      0.137      0.465      0.796      0.641      0.720 
18     1.2418       8022       1799        326        289      0.138      0.470      0.796      0.643      0.723 
19     1.2098       8021       1800        327        288      0.138      0.468      0.796      0.643      0.726 
20     1.2077       8022       1799        326        289      0.138      0.470      0.796      0.643      0.729 
21     1.2151       8023       1798        325        290      0.139      0.472      0.797      0.644      0.730 
22     1.2218       8024       1797        324        291      0.139      0.473      0.797      0.645      0.730 
23     1.2176       8030       1791        318        297      0.142      0.483      0.798      0.650      0.731 
24     1.2037       8027       1794        321        294      0.141      0.478      0.797      0.648      0.732 
25     1.2126       8025       1796        323        292      0.140      0.475      0.797      0.646      0.733 
26      1.208       8023       1798        325        290      0.139      0.472      0.797      0.644      0.734 
27     1.2155       8024       1797        324        291      0.139      0.473      0.797      0.645      0.736 
28     1.1989       8027       1794        321        294      0.141      0.478      0.797      0.648      0.738 
29     1.2002       8026       1795        322        293      0.140      0.476      0.797      0.647      0.739 
30     1.1998       8028       1793        320        295      0.141      0.480      0.798      0.649      0.740 
31     1.2016       8029       1792        319        296      0.142      0.481      0.798      0.649      0.740 
32     1.2061       8031       1790        317        298      0.143      0.485      0.798      0.651      0.740 
33     1.1932       8033       1788        315        300      0.144      0.488      0.798      0.653      0.741 
34     1.1922       8032       1789        316        299      0.143      0.486      0.798      0.652      0.741 
35     1.2087       8035       1786        313        302      0.145      0.491      0.799      0.655      0.742 
36     1.1973       8034       1787        314        301      0.144      0.489      0.799      0.654      0.743 
37     1.1968       8032       1789        316        299      0.143      0.486      0.798      0.652      0.744 
38     1.1939       8033       1788        315        300      0.144      0.488      0.798      0.653      0.744 
39     1.1995       8032       1789        316        299      0.143      0.486      0.798      0.652      0.745 
40     1.1913       8030       1791        318        297      0.142      0.483      0.798      0.650      0.745 
41     1.2017       8031       1790        317        298      0.143      0.485      0.798      0.651      0.745 
42     1.1946       8029       1792        319        296      0.142      0.481      0.798      0.649      0.746 
43     1.2044       8032       1789        316        299      0.143      0.486      0.798      0.652      0.747 
44     1.1857       8034       1787        314        301      0.144      0.489      0.799      0.654      0.747 
45     1.1806       8035       1786        313        302      0.145      0.491      0.799      0.655      0.748 
46     1.1951       8035       1786        313        302      0.145      0.491      0.799      0.655      0.748 
47     1.1846       8034       1787        314        301      0.144      0.489      0.799      0.654      0.749 
48     1.1792       8034       1787        314        301      0.144      0.489      0.799      0.654      0.749 
49     1.1753       8036       1785        312        303      0.145      0.493      0.799      0.655      0.750 
50     1.1867       8040       1781        308        307      0.147      0.499      0.800      0.659      0.750 
51     1.1828       8038       1783        310        305      0.146      0.496      0.799      0.657      0.750 
52     1.1797       8041       1780        307        308      0.148      0.501      0.800      0.660      0.750 
53     1.1983       8042       1779        306        309      0.148      0.502      0.800      0.661      0.750 
54     1.1793       8041       1780        307        308      0.148      0.501      0.800      0.660      0.750 
55     1.1818       8041       1780        307        308      0.148      0.501      0.800      0.660      0.751 
56     1.1823       8040       1781        308        307      0.147      0.499      0.800      0.659      0.751 
57     1.1863       8044       1777        304        311      0.149      0.506      0.801      0.662      0.751 
58     1.1785       8046       1775        302        313      0.150      0.509      0.801      0.664      0.751 
59     1.1805       8045       1776        303        312      0.149      0.507      0.801      0.663      0.751 
60     1.1799       8045       1776        303        312      0.149      0.507      0.801      0.663      0.752 
61     1.1764       8044       1777        304        311      0.149      0.506      0.801      0.662      0.752 
62     1.1812       8043       1778        305        310      0.148      0.504      0.800      0.662      0.752 
63     1.1747       8043       1778        305        310      0.148      0.504      0.800      0.662      0.753 
64     1.1807       8042       1779        306        309      0.148      0.502      0.800      0.661      0.753 
65     1.1759       8042       1779        306        309      0.148      0.502      0.800      0.661      0.754 
66     1.1786       8043       1778        305        310      0.148      0.504      0.800      0.662      0.754 
67      1.181       8044       1777        304        311      0.149      0.506      0.801      0.662      0.755 
68     1.1738       8044       1777        304        311      0.149      0.506      0.801      0.662      0.755 
69     1.1823       8043       1778        305        310      0.148      0.504      0.800      0.662      0.756 
70     1.1947       8044       1777        304        311      0.149      0.506      0.801      0.662      0.756 
71      1.183       8044       1777        304        311      0.149      0.506      0.801      0.662      0.756 
