# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
1     1.5221       6330       1526        348        144      0.086      0.293      0.776      0.549      0.544 
2     1.4174       6310       1546        368        124      0.074      0.252      0.771      0.528      0.504 
3     1.3982       6295       1561        383        109      0.065      0.222      0.767      0.511      0.477 
4     1.3927       6282       1574        396         96      0.057      0.195      0.764      0.497      0.463 
5      1.413       6257       1599        406         86      0.051      0.175      0.760      0.486      0.459 
6     1.4323       6265       1591        403         89      0.053      0.181      0.761      0.489      0.462 
7     1.4039       6295       1561        383        109      0.065      0.222      0.767      0.511      0.473 
8     1.4134       6306       1550        372        120      0.072      0.244      0.770      0.523      0.492 
9     1.3772       6323       1533        355        137      0.082      0.278      0.774      0.542      0.519 
10     1.3622       6342       1514        336        156      0.093      0.317      0.778      0.562      0.553 
11     1.3106       6355       1501        323        169      0.101      0.343      0.782      0.576      0.588 
12      1.336       6367       1489        311        181      0.108      0.368      0.784      0.589      0.620 
13     1.3349       6373       1483        305        187      0.112      0.380      0.786      0.596      0.641 
14     1.3405       6378       1478        300        192      0.115      0.390      0.787      0.601      0.649 
15     1.3373       6378       1478        300        192      0.115      0.390      0.787      0.601      0.649 
16     1.2926       6378       1478        300        192      0.115      0.390      0.787      0.601      0.642 
17     1.2995       6376       1480        302        190      0.114      0.386      0.787      0.599      0.634 
18     1.2725       6369       1487        309        183      0.110      0.372      0.785      0.591      0.627 
19     1.2879       6370       1486        308        184      0.110      0.374      0.785      0.592      0.624 
20     1.2666       6370       1486        308        184      0.110      0.374      0.785      0.592      0.627 
21     1.2762       6376       1480        302        190      0.114      0.386      0.787      0.599      0.639 
22     1.2906       6385       1471        293        199      0.119      0.404      0.789      0.609      0.656 
23     1.2781       6388       1468        290        202      0.121      0.411      0.789      0.612      0.673 
24     1.2574       6395       1461        283        209      0.125      0.425      0.791      0.619      0.689 
25     1.2611       6397       1459        281        211      0.126      0.429      0.792      0.622      0.700 
26      1.257       6403       1453        275        217      0.130      0.441      0.793      0.628      0.707 
27     1.2495       6407       1449        271        221      0.132      0.449      0.794      0.632      0.710 
28     1.2624       6405       1451        273        219      0.131      0.445      0.793      0.630      0.712 
29     1.2427       6406       1450        272        220      0.132      0.447      0.794      0.631      0.711 
30     1.2501       6404       1452        274        218      0.131      0.443      0.793      0.629      0.709 
31     1.2458       6404       1452        274        218      0.131      0.443      0.793      0.629      0.708 
32     1.2233       6407       1449        271        221      0.132      0.449      0.794      0.632      0.707 
33      1.235       6408       1448        270        222      0.133      0.451      0.794      0.633      0.708 
34     1.2439       6405       1451        273        219      0.131      0.445      0.793      0.630      0.711 
35     1.2325       6405       1451        273        219      0.131      0.445      0.793      0.630      0.714 
36     1.2321       6407       1449        271        221      0.132      0.449      0.794      0.632      0.717 
37     1.2168       6407       1449        271        221      0.132      0.449      0.794      0.632      0.719 
38     1.2235       6409       1447        269        223      0.134      0.453      0.794      0.635      0.721 
39     1.2276       6412       1444        266        226      0.135      0.459      0.795      0.638      0.722 
40     1.2201       6411       1445        267        225      0.135      0.457      0.795      0.637      0.722 
41     1.2329       6411       1445        267        225      0.135      0.457      0.795      0.637      0.723 
42     1.2228       6413       1443        265        227      0.136      0.461      0.795      0.639      0.723 
43     1.2215       6413       1443        265        227      0.136      0.461      0.795      0.639      0.722 
44     1.2144       6414       1442        264        228      0.137      0.463      0.796      0.640      0.723 
45     1.2231       6415       1441        263        229      0.137      0.465      0.796      0.641      0.723 
46     1.2239       6414       1442        264        228      0.137      0.463      0.796      0.640      0.724 
47     1.2161       6415       1441        263        229      0.137      0.465      0.796      0.641      0.726 
48     1.2122       6416       1440        262        230      0.138      0.467      0.796      0.642      0.727 
49     1.2076       6415       1441        263        229      0.137      0.465      0.796      0.641      0.729 
