# Number of nodes=10436; Number of edges=824342; Number of node features=5; Model: sage.
     epoch       loss         tn         fp         fn         tp       prec        rec        acc       bacc        auc 
Test:          1     1.7253       1565        400         85         38      0.087      0.309      0.768      0.553      0.586 
Train:          1     1.7253       6361       1495        317        175      0.105      0.356      0.783      0.583      0.626 
All:          1     1.7253       7945       1876        403        212      0.102      0.345      0.782      0.577      0.618 
Test:          2     1.4882       1567        398         85         38      0.087      0.309      0.769      0.553      0.556 
Train:          2     1.4882       6353       1503        325        167      0.100      0.339      0.781      0.574      0.603 
All:          2     1.4882       7935       1886        413        202      0.097      0.328      0.780      0.568      0.594 
Test:          3     1.3745       1563        402         88         35      0.080      0.285      0.765      0.540      0.526 
Train:          3     1.3745       6349       1507        329        163      0.098      0.331      0.780      0.570      0.579 
All:          3     1.3745       7930       1891        418        197      0.094      0.320      0.779      0.564      0.569 
Test:          4     1.3206       1555        410         90         33      0.074      0.268      0.761      0.530      0.508 
Train:          4     1.3206       6328       1528        350        142      0.085      0.289      0.775      0.547      0.561 
All:          4     1.3206       7908       1913        440        175      0.084      0.285      0.775      0.545      0.551 
Test:          5     1.3215       1570        395         90         33      0.077      0.268      0.768      0.534      0.501 
Train:          5     1.3215       6324       1532        354        138      0.083      0.280      0.774      0.543      0.555 
All:          5     1.3215       7904       1917        444        171      0.082      0.278      0.774      0.541      0.544 
Test:          6      1.339       1563        402         90         33      0.076      0.268      0.764      0.532      0.503 
Train:          6      1.339       6321       1535        357        135      0.081      0.274      0.773      0.539      0.558 
All:          6      1.339       7901       1920        447        168      0.080      0.273      0.773      0.539      0.547 
Test:          7     1.3399       1570        395         87         36      0.084      0.293      0.769      0.546      0.510 
Train:          7     1.3399       6328       1528        350        142      0.085      0.289      0.775      0.547      0.569 
All:          7     1.3399       7911       1910        437        178      0.085      0.289      0.775      0.547      0.557 
Test:          8     1.3418       1566        399         88         35      0.081      0.285      0.767      0.541      0.519 
Train:          8     1.3418       6333       1523        345        147      0.088      0.299      0.776      0.552      0.582 
All:          8     1.3418       7915       1906        433        182      0.087      0.296      0.776      0.551      0.570 
Test:          9     1.3295       1563        402         87         36      0.082      0.293      0.766      0.544      0.531 
Train:          9     1.3295       6334       1522        344        148      0.089      0.301      0.776      0.554      0.595 
All:          9     1.3295       7917       1904        431        184      0.088      0.299      0.776      0.553      0.583 
Test:         10     1.3165       1555        410         86         37      0.083      0.301      0.762      0.546      0.544 
Train:         10     1.3165       6339       1517        339        153      0.092      0.311      0.778      0.559      0.608 
All:         10     1.3165       7920       1901        428        187      0.090      0.304      0.777      0.555      0.595 
Test:         11     1.2981       1573        392         84         39      0.090      0.317      0.772      0.559      0.557 
Train:         11     1.2981       6359       1497        319        173      0.104      0.352      0.782      0.581      0.620 
All:         11     1.2981       7945       1876        403        212      0.102      0.345      0.782      0.577      0.608 
Test:         12      1.289       1569        396         81         42      0.096      0.341      0.772      0.570      0.569 
Train:         12      1.289       6370       1486        308        184      0.110      0.374      0.785      0.592      0.632 
All:         12      1.289       7958       1863        390        225      0.108      0.366      0.784      0.588      0.620 
Test:         13     1.2756       1573        392         79         44      0.101      0.358      0.774      0.579      0.581 
Train:         13     1.2756       6382       1474        296        196      0.117      0.398      0.788      0.605      0.643 
All:         13     1.2756       7972       1849        376        239      0.114      0.389      0.787      0.600      0.631 
Test:         14     1.2699       1577        388         79         44      0.102      0.358      0.776      0.580      0.592 
Train:         14     1.2699       6388       1468        290        202      0.121      0.411      0.789      0.612      0.653 
All:         14     1.2699       7979       1842        369        246      0.118      0.400      0.788      0.606      0.641 
Test:         15     1.2612       1573        392         78         45      0.103      0.366      0.775      0.583      0.602 
Train:         15     1.2612       6391       1465        287        205      0.123      0.417      0.790      0.615      0.661 
All:         15     1.2612       7982       1839        366        249      0.119      0.405      0.789      0.609      0.649 
Test:         16     1.2685       1571        394         76         47      0.107      0.382      0.775      0.591      0.610 
Train:         16     1.2685       6392       1464        286        206      0.123      0.419      0.790      0.616      0.668 
All:         16     1.2685       7985       1836        363        252      0.121      0.410      0.789      0.611      0.656 
Test:         17     1.2633       1571        394         75         48      0.109      0.390      0.775      0.595      0.616 
Train:         17     1.2633       6394       1462        284        208      0.125      0.423      0.791      0.618      0.672 
All:         17     1.2633       7986       1835        362        253      0.121      0.411      0.789      0.612      0.661 
Test:         18     1.2648       1585        380         75         48      0.112      0.390      0.782      0.598      0.619 
Train:         18     1.2648       6395       1461        283        209      0.125      0.425      0.791      0.619      0.676 
All:         18     1.2648       7989       1832        359        256      0.123      0.416      0.790      0.615      0.664 
Test:         19     1.2776       1582        383         73         50      0.115      0.407      0.782      0.606      0.621 
Train:         19     1.2776       6395       1461        283        209      0.125      0.425      0.791      0.619      0.677 
All:         19     1.2776       7990       1831        358        257      0.123      0.418      0.790      0.616      0.666 
Test:         20     1.2616       1578        387         73         50      0.114      0.407      0.780      0.605      0.622 
Train:         20     1.2616       6395       1461        283        209      0.125      0.425      0.791      0.619      0.678 
All:         20     1.2616       7992       1829        356        259      0.124      0.421      0.791      0.617      0.667 
Test:         21     1.2569       1576        389         74         49      0.112      0.398      0.778      0.600      0.622 
Train:         21     1.2569       6397       1459        281        211      0.126      0.429      0.792      0.622      0.678 
All:         21     1.2569       7991       1830        357        258      0.124      0.420      0.790      0.617      0.667 
Test:         22     1.2512       1570        395         73         50      0.112      0.407      0.776      0.603      0.621 
Train:         22     1.2512       6395       1461        283        209      0.125      0.425      0.791      0.619      0.678 
All:         22     1.2512       7991       1830        357        258      0.124      0.420      0.790      0.617      0.667 
Test:         23     1.2493       1563        402         73         50      0.111      0.407      0.773      0.601      0.621 
Train:         23     1.2493       6394       1462        284        208      0.125      0.423      0.791      0.618      0.678 
All:         23     1.2493       7989       1832        359        256      0.123      0.416      0.790      0.615      0.666 
Test:         24     1.2402       1563        402         72         51      0.113      0.415      0.773      0.605      0.621 
Train:         24     1.2402       6394       1462        284        208      0.125      0.423      0.791      0.618      0.678 
All:         24     1.2402       7988       1833        360        255      0.122      0.415      0.790      0.614      0.666 
Test:         25     1.2507       1567        398         73         50      0.112      0.407      0.774      0.602      0.622 
Train:         25     1.2507       6396       1460        282        210      0.126      0.427      0.791      0.620      0.679 
All:         25     1.2507       7992       1829        356        259      0.124      0.421      0.791      0.617      0.667 
Test:         26     1.2407       1567        398         72         51      0.114      0.415      0.775      0.606      0.624 
Train:         26     1.2407       6396       1460        282        210      0.126      0.427      0.791      0.620      0.681 
All:         26     1.2407       7994       1827        354        261      0.125      0.424      0.791      0.619      0.669 
Test:         27     1.2192       1566        399         71         52      0.115      0.423      0.775      0.610      0.626 
Train:         27     1.2192       6400       1456        278        214      0.128      0.435      0.792      0.625      0.683 
All:         27     1.2192       7996       1825        352        263      0.126      0.428      0.791      0.621      0.672 
Test:         28     1.2558       1569        396         70         53      0.118      0.431      0.777      0.615      0.630 
Train:         28     1.2558       6401       1455        277        215      0.129      0.437      0.793      0.626      0.687 
All:         28     1.2558       7999       1822        349        266      0.127      0.433      0.792      0.623      0.676 
Test:         29     1.2576       1576        389         70         53      0.120      0.431      0.780      0.616      0.635 
Train:         29     1.2576       6399       1457        279        213      0.128      0.433      0.792      0.624      0.692 
All:         29     1.2576       7999       1822        349        266      0.127      0.433      0.792      0.623      0.680 
Test:         30     1.2457       1578        387         69         54      0.122      0.439      0.782      0.621      0.640 
Train:         30     1.2457       6397       1459        281        211      0.126      0.429      0.792      0.622      0.696 
All:         30     1.2457       7997       1824        351        264      0.126      0.429      0.792      0.622      0.685 
Test:         31     1.2259       1580        385         69         54      0.123      0.439      0.783      0.622      0.647 
Train:         31     1.2259       6400       1456        278        214      0.128      0.435      0.792      0.625      0.701 
All:         31     1.2259       7997       1824        351        264      0.126      0.429      0.792      0.622      0.690 
Test:         32     1.2114       1588        377         69         54      0.125      0.439      0.786      0.624      0.653 
Train:         32     1.2114       6403       1453        275        217      0.130      0.441      0.793      0.628      0.705 
All:         32     1.2114       8003       1818        345        270      0.129      0.439      0.793      0.627      0.695 
Test:         33     1.2262       1593        372         68         55      0.129      0.447      0.789      0.629      0.660 
Train:         33     1.2262       6405       1451        273        219      0.131      0.445      0.793      0.630      0.709 
All:         33     1.2262       8006       1815        342        273      0.131      0.444      0.793      0.630      0.699 
Test:         34     1.2195       1588        377         66         57      0.131      0.463      0.788      0.636      0.664 
Train:         34     1.2195       6407       1449        271        221      0.132      0.449      0.794      0.632      0.712 
All:         34     1.2195       8011       1810        337        278      0.133      0.452      0.794      0.634      0.702 
Test:         35     1.2257       1583        382         66         57      0.130      0.463      0.785      0.635      0.667 
Train:         35     1.2257       6408       1448        270        222      0.133      0.451      0.794      0.633      0.714 
All:         35     1.2257       8011       1810        337        278      0.133      0.452      0.794      0.634      0.705 
Test:         36     1.2238       1588        377         66         57      0.131      0.463      0.788      0.636      0.669 
