Model,Dataset,BACC,dropout,learning_rate,weight_decay,alpha,theta
gtn,string,0.8913255360623782,0.49826108662759105,0.002173116845017288,0.009411718120214851,,
gat,string,0.8294346978557505,0.00040042162905117376,0.019718455539262394,0.0018987859506569688,,
hgcn,string_cosmic,0.6851486377459194,0.2581806736095676,0.005906368461131044,0.0029080652370756695,,
gat3h,string,0.8328460038986355,0.14996357262257443,0.02587186284099238,0.01054479114486269,,
gat3h,string_cosmic,0.6841308260410849,0.3881425158265698,0.004681340836033553,9.980212987489459,,
gtn,biogrid,0.813835725677831,0.3062414257056646,0.11341040677547436,0.0002670835012512989,,
hgcn,biogrid,0.8544657097288676,0.507895641644048,0.0017925062790572622,0.0004930277291058461,,
gcn,string,0.8550194931773879,0.03719197885998068,0.029145551016969577,0.0037970973092805714,,
sage,string,0.838206627680312,0.032344646285068,0.0513546105014767,0.00038309359890716067,,
gcn2,string_cosmic,0.6991187240116676,0.06094307872655868,0.04327519056607843,0.06804182455829969,0.05036127310971465,0.03646009978919189
phgcn,string_cosmic,0.7082728231862471,0.13845107232359166,0.009371362166826836,0.00019326345066791604,,
phgcn,biogrid,0.8483253588516746,0.2429735580695375,0.0036580820454346287,0.0004489461385009698,,
sage,string_cosmic,0.6846397318935021,0.05761264108775479,0.008854080125437043,0.009081957036960155,,
hgcn,biogrid_cosmic,0.6615377446411929,0.2856931806866335,0.010409900412135511,0.005298935481299745,,
gcn2,biogrid,0.8393141945773525,0.3116011294854171,0.023746320334163337,4.807233377013337,0.05418428673699181,0.08265208169263076
gin,string,0.844785575048733,0.7070413862853272,0.030854039500257835,0.0030840502794135306,,
phgcn,biogrid_cosmic,0.7057315936626282,0.35186716235135906,0.016251743959895218,0.00016414313363340564,,
gcn2,biogrid_cosmic,0.6653914259086673,0.13193609334803102,0.02774222899968889,0.0009730604663361512,4.4335635220005,6.469011504523499
gin,string_cosmic,0.6909948488797866,0.6559502514563791,0.004958020632169498,0.0012769171169255398,,
gtn,biogrid_cosmic,0.6789934762348555,0.6271412297424064,0.0015250105625573324,0.0011861852238952936,,
gat,string_cosmic,0.6465276484825917,0.6495955372951937,0.022831200703701683,0.0041049848632229895,,
gat,biogrid_cosmic,0.6563233923578751,0.24707896191684378,0.003964805402351925,2.764518321074397,,
gcn,string_cosmic,0.68540929684106,0.4750758013661053,0.15190546668659358,5.762195628482411,,
gat3h,biogrid,0.8145135566188197,0.7831002245221521,0.02356104187461792,0.00099937904468484,,
gcn,biogrid_cosmic,0.6827213420316869,0.5224509676022449,0.15246198846055542,0.007409171555406347,,
gin,biogrid_cosmic,0.6947110904007455,0.5343832730321445,0.004503149690238735,0.0007749896220259886,,
phgcn,string,0.8564814814814815,0.41784458377507294,0.0081249773644649,3.60724687812081,,
gtn,string_cosmic,0.7003909886427109,0.3194942457118656,0.0025084800825103883,0.005271014084795011,,
sage,biogrid,0.7769537480063795,0.703134308163081,0.033875201815134405,4.337219483008092,,
gat3h,biogrid_cosmic,0.6421295433364399,0.4987254845683652,0.03156645513840281,0.00012182176891658367,,
gcn2,string,0.86817738791423,0.43218042194161665,0.022588327137050772,3.253811985982659,0.026014568310015817,0.035785712989172797
sage,biogrid_cosmic,0.662255358807083,0.3797305415373174,0.05371608729469399,0.00040919279904716986,,
gat,biogrid,0.7708133971291866,0.382143794809566,0.013398527854419499,0.002765926061292725,,
hgcn,string,0.8555068226120858,0.2699585641975424,0.03063508769972957,0.00025435391003716864,,
gcn,biogrid,0.850518341307815,0.41821167540278203,0.048124248128039365,2.9735608731889505,,
gin,biogrid,0.8263556618819776,0.30140071992990225,0.0014837311713785273,1.017127150873503,,
